lat,lon,depth
-27.3987,-64.5170,397.2538
-27.3938,-64.3613,427.9014
-27.3957,-64.1161,458.8209
-27.3990,-63.8064,495.3761
-27.4007,-63.5189,536.3459
-27.4008,-63.2392,576.2845
-27.4003,-63.0094,613.0439
-27.1512,-65.7216,155.6505
-27.1332,-65.4200,157.5817
-27.1358,-65.2351,179.6668
-27.1686,-65.2174,223.6053
-27.1913,-65.1464,258.1773
-27.2062,-65.0426,288.1284
-27.2168,-64.9300,317.2692
-27.2222,-64.8258,346.6762
-27.2188,-64.6869,372.8678
-27.2132,-64.5392,399.9006
-27.2097,-64.4141,431.3754
-27.2065,-64.2021,463.0650
-27.2043,-63.8752,498.6253
-27.2029,-63.5585,538.6356
-27.2019,-63.2785,579.1170
-27.2010,-63.0282,615.4291
-26.9822,-65.7899,169.7096
-26.9885,-65.6815,200.2761
-26.9760,-65.3780,202.7367
-26.9755,-65.1898,223.2737
-26.9967,-65.1730,264.2347
-27.0088,-65.0711,294.1735
-27.0220,-64.9654,323.9938
-27.0362,-64.8688,353.8290
-27.0436,-64.7396,380.1959
-27.0485,-64.6207,408.4290
-27.0436,-64.4473,435.7529
-27.0310,-64.2193,466.0456
-27.0174,-63.8938,501.3636
-27.0083,-63.5679,540.7661
-27.0078,-63.3763,585.3789
-27.0049,-63.1035,621.2761
-26.8004,-66.0379,210.8206
-26.8041,-65.8984,233.1320
-26.8099,-65.7479,253.8372
-26.8082,-65.4912,262.2851
-26.8113,-65.3030,281.0501
-26.8184,-65.1439,304.2665
-26.8499,-65.1139,341.4929
-26.8682,-64.9619,365.7175
-26.8808,-64.7953,388.8952
-26.8891,-64.6428,414.8920
-26.8790,-64.4423,440.8230
-26.8533,-64.1960,470.0899
-26.8293,-63.8913,505.6292
-26.8186,-63.6553,548.0505
-26.8135,-63.4632,592.0459
-26.8068,-63.1687,626.8220
-26.5956,-66.1451,226.5971
-26.6010,-65.9367,238.2838
-26.6071,-65.7766,257.7644
-26.6147,-65.6134,277.6036
-26.6282,-65.4949,303.1676
-26.6394,-65.3234,324.0973
-26.6679,-65.2199,353.6934
-26.6915,-65.0477,376.5930
-26.7013,-64.8324,396.8916
-26.7070,-64.6430,421.5249
-26.6954,-64.4295,447.6973
-26.6635,-64.1727,476.3274
-26.6436,-63.9460,514.3038
-26.6314,-63.7600,557.4006
-26.6172,-63.5092,597.2673
-26.6072,-63.2049,630.6014
-26.3915,-66.1953,232.3521
-26.3989,-65.9645,241.2710
-26.4045,-65.7805,258.0739
-26.4145,-65.6726,284.5789
-26.4298,-65.5731,311.9372
-26.4432,-65.4055,333.3045
-26.4760,-65.3256,364.6325
-26.4928,-65.0925,383.4247
-26.5058,-64.8743,405.3589
-26.5045,-64.6386,428.4742
-26.4953,-64.4196,455.5848
-26.4710,-64.1971,485.9015
-26.4557,-64.0186,524.7601
-26.4371,-63.8042,564.6405
-26.4184,-63.5249,601.2433
-26.4073,-63.2216,633.2053
-26.1935,-66.2117,233.0443
-26.1995,-65.9428,237.7073
-26.2030,-65.7443,253.5872
-26.2111,-65.6634,283.7060
-26.2230,-65.5649,311.6274
-26.2354,-65.4205,335.8005
-26.2602,-65.3311,366.3369
-26.2775,-65.1222,388.5699
-26.2881,-64.8936,411.5976
-26.2970,-64.6969,439.0913
-26.2811,-64.4214,463.5960
-26.2746,-64.2785,498.1433
-26.2650,-64.1477,538.0190
-26.2352,-63.8190,570.3320
-26.2158,-63.4928,602.5669
-26.2079,-63.2380,635.7727
-26.0003,-66.0772,213.7873
-26.0020,-65.9382,236.8691
-26.0038,-65.7526,254.6740
-26.0071,-65.6030,277.6401
-26.0127,-65.4800,304.0761
-26.0152,-65.2702,323.7163
-26.0318,-65.2511,361.1503
-26.0437,-65.0904,388.4794
-26.0525,-64.8942,415.3014
-26.0632,-64.7394,446.8081
-26.0897,-64.7640,490.7707
-26.0721,-64.5289,517.9717
-26.0430,-64.1357,542.6561
-26.0218,-63.7494,570.5839
-26.0105,-63.4245,601.2910
-25.8000,-66.0119,204.7802
-25.7999,-65.9135,233.7654
-25.8007,-65.7333,252.5987
-25.8022,-65.5759,275.1063
-25.8036,-65.3776,294.8417
-25.8057,-65.2017,318.6300
-25.8104,-65.0755,348.3385
-25.8109,-64.8173,370.1276
-25.8304,-64.8982,417.7688
-25.8325,-64.6635,444.7758
-25.8248,-64.0118,539.3650
-25.8154,-63.6819,569.6958
-25.8084,-63.3674,600.1679
-25.6001,-66.0592,211.2986
-25.5994,-65.8206,262.5133
-25.6001,-65.6117,278.8523
-25.6012,-65.4302,299.9986
-25.6026,-65.2647,324.4156
-25.6049,-65.1093,351.5152
-25.6075,-64.9194,378.4461
-25.6116,-64.7703,410.3469
-25.6068,-64.3748,427.7176
-25.6077,-64.1772,459.5776
-25.6121,-63.8802,534.4764
-25.6117,-63.6626,570.8042
-25.6070,-63.3484,601.0667
-25.4009,-65.9477,277.0223
-25.4000,-65.7748,295.6886
-25.4000,-65.5123,307.7311
-25.4004,-65.3743,333.8487
-25.4017,-65.2408,361.7918
-25.4042,-65.1062,392.0782
-25.4043,-64.7016,406.3429
-25.4039,-64.4014,430.3886
-25.4042,-64.1773,460.7391
-25.4056,-64.0202,496.4688
-25.4064,-63.8240,532.9022
-25.4074,-63.6249,570.3694
-25.2047,-65.8087,299.5677
-25.2023,-65.7208,327.4130
-25.2008,-65.4993,344.5296
-25.2011,-65.3394,369.3462
-25.2029,-65.1914,398.1720
-25.2033,-64.7450,409.5746
-25.2032,-64.4365,433.1893
-25.2028,-64.1772,461.4164
-25.2044,-64.0754,500.3896
-25.2040,-63.8333,534.3514
-25.2039,-63.6060,570.4233
-25.0111,-65.7211,291.4643
-25.0098,-65.7180,327.9180
-25.0056,-65.5293,347.4490
-25.0049,-65.3390,369.4965
-25.0059,-65.0894,391.2184
-25.0065,-64.7969,413.4272
-25.0091,-64.6828,449.5503
-25.0073,-64.3813,474.9005
-25.0037,-64.0565,499.9782
-25.0024,-63.8609,536.4633
-24.9997,-63.3348,556.0238
-24.8086,-65.6470,285.1680
-24.8021,-65.6757,325.1349
-24.7952,-65.4567,341.6273
-24.7966,-65.1010,351.2795
-24.7971,-65.0388,387.6324
-24.8000,-64.9449,423.3836
-24.8029,-64.7091,451.6541
-24.8033,-64.4694,481.0380
-24.8012,-64.1200,504.0970
-24.7995,-63.8973,538.7625
-24.8006,-63.3257,555.4076
-24.5914,-65.9556,203.3949
-24.6061,-65.5336,274.3124
-24.6024,-65.6101,320.1624
-24.5987,-65.0994,310.5302
-24.5936,-65.0645,388.9512
-24.5954,-64.9714,424.8123
-24.5984,-64.7090,451.6544
-24.5987,-64.4594,480.6613
-24.5974,-64.1646,506.7708
-24.5948,-63.9705,542.6691
-24.4139,-66.0658,223.2830
-24.4130,-65.8737,238.5408
-24.4103,-65.6842,254.5232
-24.3993,-65.1720,276.4859
-24.4002,-65.0758,308.3689
-24.3952,-65.1578,395.0227
-24.3958,-64.9713,424.4819
-24.3961,-64.7436,453.7296
-24.3947,-64.4932,482.8135
-24.3930,-64.1996,508.5723
-24.3911,-63.9318,539.9866
-24.2536,-66.4305,242.8983
-24.2610,-66.2951,261.7617
-24.1991,-65.5942,244.7466
-24.1816,-65.2244,239.7680
-24.1937,-65.1039,269.9788
-24.2060,-65.2326,400.4682
-24.2010,-64.9698,424.5071
-24.1968,-64.7242,452.5493
-24.1914,-64.5261,484.8534
-24.1885,-64.2155,509.0279
-24.1879,-63.8930,536.7836
-24.1979,-63.4366,558.0865
-24.0681,-66.5606,267.3726
-24.0931,-66.5166,298.3512
-24.1006,-66.3491,316.3733
-24.0963,-66.1577,326.9218
-23.9716,-65.2151,240.4457
-23.9772,-65.0176,262.1877
-23.9916,-64.9111,295.3401
-24.0309,-65.2732,366.1343
-24.0248,-65.2029,399.9175
-24.0115,-64.9920,427.0065
-23.9997,-64.6510,448.3038
-23.9889,-64.5311,485.2336
-23.9855,-64.1764,506.0183
-23.9842,-63.8724,534.0814
-23.9891,-63.5360,561.4296
-23.8829,-66.7094,292.6197
-23.8922,-66.5333,302.4334
-23.9083,-66.3498,317.9963
-23.9203,-66.1615,329.5436
-23.8119,-65.0732,313.8540
-23.8411,-65.1547,360.3383
-23.8186,-64.8630,378.2430
-23.8079,-64.6953,408.7003
-23.7906,-64.8178,460.3177
-23.7788,-64.4209,477.7170
-23.7762,-64.1095,500.4660
-23.7736,-63.8508,530.1471
-23.7695,-63.6235,562.8639
-23.6817,-66.7610,300.0215
-23.6966,-66.5838,310.2410
-23.7050,-66.3299,315.2513
-23.7127,-66.0903,321.0550
-23.7086,-65.8421,326.2199
-23.6865,-65.5642,330.4566
-23.6945,-65.4648,356.0116
-23.6607,-65.2015,369.3165
-23.6287,-64.9056,385.1511
-23.6102,-64.6809,409.8270
-23.5908,-64.7215,455.1964
-23.5736,-64.4227,477.1866
-23.5685,-64.1309,499.5685
-23.5646,-63.8734,527.7901
-23.5561,-63.6641,560.3295
-23.5501,-63.4420,591.7241
-23.4929,-66.8773,316.2425
-23.4983,-66.6202,315.3066
-23.4969,-66.3109,312.5490
-23.5015,-66.0556,317.7585
-23.5116,-65.8574,331.0626
-23.5092,-65.6476,344.2738
-23.5094,-65.5025,365.7463
-23.4804,-65.2760,381.8613
-23.4365,-64.9291,391.5485
-23.4143,-64.6818,412.5821
-23.3976,-64.5940,447.4947
-23.3788,-64.3984,474.9977
-23.3695,-64.1427,498.2137
-23.3627,-63.8954,525.4266
-23.3513,-63.6952,557.1595
-23.3455,-63.4647,586.8566
-23.2684,-66.9757,292.8863
-23.2870,-66.8302,308.2214
-23.3051,-66.6862,324.3746
-23.3099,-66.4308,328.2489
-23.3208,-66.2097,337.8886
-23.3207,-65.9601,345.6995
-23.2957,-65.6374,347.8257
-23.3006,-65.4988,371.3086
-23.2822,-65.2966,389.9196
-23.2238,-64.7982,384.8012
-23.2213,-64.7060,417.6697
-23.2080,-64.5688,447.4055
-23.1928,-64.3751,473.4367
-23.1677,-64.3837,513.9238
-23.1414,-64.2367,545.6220
-23.1570,-63.7351,555.6465
-23.1549,-63.4711,581.8370
-23.0487,-66.7391,256.2581
-23.0776,-66.7238,293.3822
-23.0903,-66.5975,313.5541
-23.0911,-66.3852,323.5095
-23.0961,-66.1948,337.7747
-23.0863,-65.9212,344.1973
-23.0769,-65.6688,355.1140
-23.0792,-65.5122,377.4588
-23.0665,-65.2839,393.7581
-23.0413,-64.9533,402.5808
-23.0280,-64.7001,420.3875
-23.0236,-64.5462,447.9316
-23.0157,-64.3692,474.3007
-23.0076,-64.4678,521.0003
-22.9861,-64.2718,547.9948
-22.9730,-63.9116,565.8890
-22.9715,-63.5373,583.2589
-22.8251,-66.5565,229.8337
-22.8514,-66.5306,267.7298
-22.8634,-66.4188,291.9296
-22.8572,-66.1868,301.0547
-22.8573,-65.9952,316.9116
-22.8666,-65.8697,341.3394
-22.8758,-65.7471,366.4951
-22.8675,-65.4978,379.4934
-22.8619,-65.2610,395.0411
-22.8459,-64.9367,404.4849
-22.8398,-64.6901,422.8459
-22.8391,-64.4954,446.8949
-22.8385,-64.3242,473.6538
-22.8647,-64.5401,529.6760
-22.8376,-64.3121,553.3606
-22.8110,-64.0570,577.3400
-22.7935,-63.5752,585.4989
-22.6074,-66.4431,214.7252
-22.6473,-66.4966,265.3497
-22.6613,-66.4075,292.9128
-22.6479,-66.1368,297.4939
-22.6500,-65.9760,317.3862
-22.6554,-65.8433,341.1613
-22.6648,-65.7414,368.6027
-22.6562,-65.4707,379.5016
-22.6538,-65.2270,394.4709
-22.6455,-64.9237,406.4209
-22.6405,-64.6602,423.8935
-22.6408,-64.4478,446.9464
-22.6480,-64.2972,475.7575
-22.6954,-64.5120,532.5860
-22.6687,-64.2827,555.6339
-22.6343,-63.9286,571.0395
-22.6135,-63.6516,592.7816
-22.4284,-66.5618,235.8372
-22.4348,-66.4160,256.5323
-22.4374,-66.2507,274.7355
-22.4429,-66.1109,297.0471
-22.4493,-65.9944,322.3434
-22.4564,-65.8968,349.7323
-22.4562,-65.7279,369.6328
-22.4484,-65.4584,380.5356
-22.4437,-65.1866,392.9231
-22.4357,-64.8740,404.9164
-22.4334,-64.6238,424.4825
-22.4369,-64.4253,449.4048
-22.4418,-64.2488,476.4972
-22.4565,-64.1818,511.8252
-22.4540,-64.0517,542.7677
-22.4405,-63.8621,569.7455
-22.4263,-63.6682,596.7650
-22.2301,-66.5721,240.2287
-22.2290,-66.3812,254.2822
-22.2366,-66.2503,277.3647
-22.2433,-66.1220,301.2560
-22.2544,-66.0511,331.8298
-22.2592,-65.9493,358.1760
-22.2500,-65.7067,369.7329
-22.2361,-65.3804,374.9382
-22.2247,-65.0545,383.0082
-22.2232,-64.8152,402.5458
-22.2245,-64.6027,426.0923
-22.2259,-64.3955,450.8712
-22.2299,-64.2176,478.1935
-22.2363,-64.0919,508.9425
-22.2383,-63.9663,540.1469
-22.2339,-63.8153,569.6294
-22.2260,-63.6454,597.7491
-22.0732,-67.0118,270.6883
-22.0386,-66.6312,252.1133
-22.0400,-66.4602,268.4068
-22.0394,-66.2796,283.9521
-22.0434,-66.1331,305.3947
-22.0501,-66.0230,331.2538
-22.0551,-65.9202,357.5659
-22.0421,-65.6427,365.3847
-22.0154,-65.1789,357.1493
-22.0105,-64.9350,374.3076
-22.0124,-64.7699,401.0020
-22.0134,-64.5881,427.4814
-22.0138,-64.3964,453.7837
-22.0150,-64.2179,481.1957
-22.0150,-64.0437,507.8801
-22.0168,-63.9165,538.8241
-22.0138,-63.7165,563.8917
-22.0134,-63.5938,595.4563
-21.8584,-66.9749,267.1934
-21.8311,-66.6197,252.8460
-21.8317,-66.4536,269.9519
-21.8322,-66.2966,288.6625
-21.8301,-66.1192,306.0527
-21.8291,-65.9696,327.2163
-21.8242,-65.7840,344.4861
-21.8167,-65.5439,356.8763
-21.8036,-65.0997,350.7394
-21.8024,-64.9047,372.8624
-21.8014,-64.7232,398.1609
-21.8001,-64.5720,427.1685
-21.7983,-64.4354,457.9261
-21.7972,-64.2488,484.6171
-21.7977,-64.0673,510.5422
-21.7998,-63.8767,536.1854
-21.8025,-63.6845,561.9105
-21.8064,-63.5694,594.1312
-21.6275,-66.7778,236.9425
-21.6251,-66.5807,249.1130
-21.6236,-66.3955,263.7474
-21.6259,-66.2529,284.9473
-21.6251,-66.0919,304.6736
-21.6217,-65.9153,322.6028
-21.6151,-65.6947,335.9613
-21.6085,-65.4451,347.5615
-21.6013,-65.0636,347.7726
-21.6003,-64.8741,370.4399
-21.5987,-64.6992,396.1275
-21.5955,-64.5552,425.4806
-21.5912,-64.4185,455.9500
-21.5877,-64.2717,485.7665
-21.5890,-64.0997,512.3433
-21.5943,-63.8862,536.2888
-21.6000,-63.6703,560.4523
-21.6068,-63.5631,593.6993
-21.4141,-66.6805,222.9493
-21.4151,-66.4947,237.8170
-21.4172,-66.3215,255.0744
-21.4201,-66.1628,274.7605
-21.4234,-66.0163,296.9202
-21.4215,-65.8367,314.8274
-21.4123,-65.5681,322.7480
-21.4060,-65.3076,333.6571
-21.4017,-65.0420,346.2415
-21.4009,-64.8440,367.9433
-21.4002,-64.7209,398.0222
-21.3976,-64.5539,424.9222
-21.3944,-64.4017,453.7181
-21.3913,-64.2716,484.6403
-21.3934,-64.0933,510.6026
-21.3986,-63.8965,536.2465
-21.4045,-63.6726,560.3508
-21.4128,-63.5416,592.1215
-21.2043,-66.6200,215.3275
-21.1926,-66.3636,219.3028
-21.2010,-66.2055,240.1862
-21.2159,-66.0921,267.4641
-21.2171,-65.9068,284.8359
-21.2153,-65.7045,300.4825
-21.2033,-65.4255,307.7674
-21.2030,-65.2266,326.3842
-21.2000,-65.0000,343.3435
-21.2034,-64.8435,369.1035
-21.2058,-64.6971,396.7665
-21.2067,-64.5526,425.3121
-21.2065,-64.4006,453.7738
-21.2066,-64.2325,481.1575
-21.2081,-64.0545,507.2385
-21.2124,-63.8902,535.8111
-21.2166,-63.6905,562.3576
-21.2221,-63.5031,590.0298
-21.0198,-66.8727,215.4217
-21.0109,-66.6400,222.0979
-20.9986,-66.3948,227.8250
-20.9873,-66.1511,235.3937
-20.9618,-65.8466,236.0790
-20.9687,-65.6712,256.3041
-20.9518,-65.3945,263.8148
-20.9775,-65.2993,295.7572
-20.9876,-65.1410,319.9114
