lon,lat,az,bound,slab
119.8411961276,10.1948265382,359.01427189,SU/PS,man
119.841961276,11.1948265382,359.01427189,SU/PS,man
119.8411961276,13.1948265382,359.01427189,SU/PS,man
119.618806442,13.3801356994,359.01427189,SU/PS,man
119.425012137,13.5170332676,359.01427189,SU/PS,man
119.241424567,13.7591695321,359.01427189,SU/PS,man
119.148875055,14.0403114911,359.01427189,SU/PS,man
119.103788332,14.3886492779,3.11014322962,SU/PS,man
119.123376986,14.7373028249,2.56160925648,SU/PS,man
119.144718513,15.1976537824,6.3832425092,SU/PS,man
119.179290221,15.4954493753,2.54571201524,SU/PS,man
119.192088293,15.7724658418,3.7305221271,SU/PS,man
119.214449838,16.1019698124,4.89278014244,SU/PS,man
119.254997253,16.5559997563,7.77129321049,SU/PS,man
119.267068119,16.6407441506,0.622899231576,SU/PS,man
119.271645344,17.043265964,1.15755948622,SU/PS,man
119.279622571,17.4199571419,10.6869755351,SU/PS,man
119.399552958,18.0242505968,29.8897557305,SU/PS,man
119.640849418,18.4223908241,34.2159007446,SU/PS,man
119.99794711,18.9188322399,26.4527455431,SU/PS,man
120.174957691,19.254612231,14.6789945322,SU/PS,man
120.308937223,19.73598823,2.73757238239,SU/PS,man
120.328377501,20.117748541,357.119421418,SU/PS,man
120.309964312,20.4606002601,355.703742106,SU/PS,man
120.281865504,20.8102282719,4.14273201893,SU/PS,man
120.314138482,21.2255735318,16.8690716704,SU/PS,man
120.4191457137,21.5485855879,16.8690716704,SU/PS,man
120.419457137,23.5485855879,1.8690716704,SU/PS,man
120.4191457137,24.5485855879,1.8690716704,SU/PS,man
-28.6469993591,-55.0050010684,111.744409712,SA/SC,sco
-27.6040000914,-55.0950012204,111.744409712,SA/SC,sco
-26.9950008395,-55.2319984434,120.39138935,SA/SC,sco
-26.4139995576,-55.4239997864,137.045247461,SA/SC,sco
-25.7210006714,-55.8400001529,144.997956413,SA/SC,sco
-25.1490001679,-56.291999817,150.70148663,SA/SC,sco
-24.6959991455,-56.7340011595,150.345872435,SA/SC,sco
-24.2329998015,-57.1739997865,167.543190546,SA/SC,sco
-24.1299991606,-57.4249992367,167.988505012,SA/SC,sco
-23.819000244,-58.1949996944,186.971682878,SA/SC,sco
-23.9909992221,-58.9210014343,206.946597393,SA/SC,sco
-24.4559993743,-59.3860015873,207.533937613,SA/SC,sco
-25.0690002442,-59.9729995729,229.571109243,SA/SC,sco
-26.0709991455,-60.39099884,229.571109243,SA/SC,sco
138.673995972,35.0340003964,250.201519158,PS/EU,ryu
138.507995606,34.5820007322,250.201519158,PS/EU,ryu
138.382995606,34.0589981078,250.501757568,PS/EU,ryu
138.065994263,33.7500000001,250.611626689,PS/EU,ryu
137.546005249,33.404998779,230.944303385,PS/EU,ryu
137.02999878,33.0530014034,246.59242626,PS/EU,ryu
136.524002075,32.8680000307,246.68460125,PS/EU,ryu
136.024993896,32.6860008243,246.925434354,PS/EU,ryu
135.611999512,32.5369987492,250.441036772,PS/EU,ryu
135.356002808,32.4599990843,244.406324051,PS/EU,ryu
135.026000977,32.3260002136,246.110866227,PS/EU,ryu
134.690994263,32.2000007631,240.142346714,PS/EU,ryu
134.042007446,31.8819999696,231.628764229,PS/EU,ryu
133.5,31.5149993896,220.947609969,PS/EU,ryu
133.197006225,31.2159996036,218.985331025,PS/EU,ryu
132.964996338,30.9699993137,209.298710131,PS/EU,ryu
132.824005127,30.7539997103,212.653725502,PS/EU,ryu
132.630004883,30.4930000309,216.601972732,PS/EU,ryu
132.438041568,30.2696364648,202.646093388,PS/EU,ryu
132.340138951,30.0665113076,201.988904658,PS/EU,ryu
132.230604341,29.8311495073,199.108284856,PS/EU,ryu
132.05987275,29.6057845098,196.227665054,PS/EU,ryu
131.952691968,29.2845474493,206.038483034,PS/EU,ryu
131.796727595,29.0052652632,224.378944635,PS/EU,ryu
131.591366568,28.8212430193,218.715487305,PS/EU,ryu
131.423461222,28.6372982942,220.55158393,PS/EU,ryu
131.244079707,28.4528569725,236.261718256,PS/EU,ryu
130.907772248,28.254591641,227.368522339,PS/EU,ryu
130.705442003,28.0901247404,202.974307295,PS/EU,ryu
130.522994995,27.708999634,197.248652303,PS/EU,ryu
