dist,depth,avlon,avlat
16.5,5.1,80.8,29.7
16.6,5.1,80.8,29.7
16.7,5.1,80.8,29.7
16.8,5.1,80.8,29.7
16.9,5.0,80.8,29.7
17.0,4.9,80.8,29.7
17.1,4.8,80.8,29.7
17.2,4.8,80.8,29.7
17.3,4.8,80.8,29.7
17.4,4.8,80.8,29.7
17.5,4.9,80.8,29.7
17.6,4.9,80.8,29.7
17.7,4.9,80.8,29.7
17.8,4.9,80.8,29.7
17.9,4.9,80.8,29.7
18.0,4.9,80.8,29.7
18.1,4.9,80.8,29.7
18.2,4.9,80.8,29.7
18.3,4.9,80.8,29.7
18.4,4.9,80.8,29.7
18.5,4.9,80.8,29.7
18.6,5.0,80.8,29.7
18.7,5.0,80.8,29.7
18.8,5.1,80.8,29.7
18.9,5.2,80.8,29.7
19.0,5.3,80.8,29.7
19.1,5.3,80.8,29.7
19.2,5.2,80.8,29.7
19.3,5.2,80.8,29.7
19.4,5.1,80.8,29.7
19.5,5.1,80.8,29.7
19.6,5.1,80.8,29.7
19.7,5.1,80.8,29.7
19.8,5.1,80.8,29.7
19.9,5.0,80.8,29.7
20.0,5.0,80.8,29.7
20.1,5.0,80.8,29.7
20.2,5.0,80.8,29.7
20.3,5.0,80.8,29.7
20.4,5.0,80.8,29.7
20.5,5.0,80.8,29.7
20.6,5.0,80.8,29.7
20.7,5.0,80.8,29.7
20.8,5.0,80.8,29.7
20.9,5.0,80.8,29.7
21.0,5.1,80.8,29.7
21.1,5.1,80.8,29.7
21.2,5.1,80.8,29.7
21.3,5.1,80.8,29.7
21.4,5.1,80.8,29.7
21.5,5.1,80.8,29.7
21.6,5.1,80.8,29.7
21.7,5.1,80.8,29.7
21.8,5.1,80.8,29.7
21.9,5.1,80.8,29.7
22.0,5.1,80.8,29.7
22.1,5.1,80.8,29.7
22.2,5.1,80.8,29.7
22.3,5.1,80.8,29.7
22.4,5.1,80.8,29.7
22.5,5.1,80.8,29.7
22.6,5.1,80.8,29.7
22.7,5.1,80.8,29.7
22.8,5.1,80.8,29.7
22.9,5.1,80.8,29.7
23.0,5.0,80.8,29.7
23.1,5.0,80.8,29.7
23.2,5.0,80.8,29.7
23.3,5.0,80.8,29.7
23.4,5.0,80.8,29.7
23.5,5.0,80.8,29.7
23.6,5.0,80.8,29.7
23.7,5.0,80.8,29.7
23.8,5.0,80.8,29.7
23.9,5.0,80.8,29.7
24.0,5.0,80.8,29.7
24.1,5.0,80.8,29.7
24.2,5.0,80.8,29.7
24.3,5.0,80.8,29.7
24.4,5.1,80.8,29.7
24.5,5.1,80.8,29.7
24.6,5.1,80.8,29.7
24.7,5.1,80.8,29.7
24.8,5.1,80.8,29.7
24.9,5.1,80.8,29.7
25.0,5.1,80.8,29.7
25.1,5.2,80.8,29.7
25.2,5.2,80.8,29.7
25.3,5.2,80.8,29.7
25.4,5.2,80.8,29.7
25.5,5.2,80.8,29.7
25.6,5.2,80.8,29.7
25.7,5.2,80.8,29.7
25.8,5.1,80.8,29.7
25.9,5.1,80.8,29.7
26.0,5.1,80.8,29.7
26.1,5.1,80.8,29.7
26.2,5.1,80.8,29.7
26.3,5.1,80.8,29.7
26.4,5.1,80.8,29.7
26.5,5.1,80.8,29.7
26.6,5.1,80.8,29.7
26.7,5.1,80.8,29.7
26.8,5.1,80.8,29.7
26.9,5.1,80.8,29.7
27.0,5.1,80.8,29.7
27.1,5.1,80.8,29.7
27.2,5.1,80.8,29.7
27.3,5.1,80.8,29.7
27.4,5.1,80.8,29.7
27.5,5.1,80.8,29.7
27.6,5.1,80.8,29.7
27.7,5.1,80.8,29.7
27.8,5.1,80.8,29.7
27.9,5.1,80.8,29.7
28.0,5.1,80.8,29.7
28.1,5.1,80.8,29.7
28.2,5.1,80.8,29.7
28.3,5.1,80.8,29.7
28.4,5.2,80.8,29.7
28.5,5.2,80.8,29.7
28.6,5.2,80.8,29.7
28.7,5.2,80.8,29.7
28.8,5.2,80.8,29.7
28.9,5.2,80.8,29.7
29.0,5.2,80.8,29.7
29.1,5.2,80.8,29.7
29.2,5.2,80.8,29.7
29.3,5.2,80.8,29.7
29.4,5.2,80.8,29.7
29.5,5.1,80.8,29.7
29.6,5.1,80.8,29.7
29.7,5.2,80.8,29.7
29.8,5.2,80.8,29.7
29.9,5.2,80.8,29.7
30.0,5.2,80.8,29.7
30.1,5.2,80.8,29.7
30.2,5.2,80.8,29.7
30.3,5.2,80.8,29.7
30.4,5.2,80.8,29.7
30.5,5.2,80.8,29.7
30.6,5.2,80.8,29.7
30.7,5.3,80.8,29.7
30.8,5.3,80.8,29.7
30.9,5.3,80.8,29.7
31.0,5.3,80.8,29.7
31.1,5.3,80.8,29.7
31.2,5.3,80.8,29.7
31.3,5.3,80.8,29.7
31.4,5.3,80.8,29.7
31.5,5.3,80.8,29.7
31.6,5.3,80.8,29.7
31.7,5.3,80.8,29.7
31.8,5.4,80.8,29.7
31.9,5.4,80.8,29.7
32.0,5.4,80.8,29.7
32.1,5.4,80.8,29.7
32.2,5.4,80.8,29.7
32.3,5.4,80.8,29.7
32.4,5.4,80.8,29.7
32.5,5.4,80.8,29.7
32.6,5.4,80.8,29.7
32.7,5.5,80.8,29.7
32.8,5.5,80.8,29.7
32.9,5.5,80.8,29.7
33.0,5.4,80.8,29.7
33.1,5.4,80.8,29.7
33.2,5.4,80.8,29.7
33.3,5.3,80.8,29.7
33.4,5.3,80.8,29.7
33.5,5.3,80.8,29.7
33.6,5.3,80.8,29.7
33.7,5.3,80.8,29.7
33.8,5.3,80.8,29.7
33.9,5.4,80.8,29.7
34.0,5.4,80.8,29.7
34.1,5.4,80.8,29.7
34.2,5.4,80.8,29.7
34.3,5.4,80.8,29.7
34.4,5.4,80.8,29.7
34.5,5.4,80.8,29.7
34.6,5.4,80.8,29.7
34.7,5.5,80.8,29.7
34.8,5.5,80.8,29.7
34.9,5.5,80.8,29.7
35.0,5.5,80.8,29.7
35.1,5.5,80.8,29.7
35.2,5.5,80.8,29.7
35.3,5.6,80.8,29.7
35.4,5.6,80.8,29.7
35.5,5.6,80.8,29.7
35.6,5.6,80.8,29.7
35.7,5.6,80.8,29.7
35.8,5.6,80.8,29.7
35.9,5.7,80.8,29.7
36.0,5.7,80.8,29.7
36.1,5.7,80.8,29.7
36.2,5.7,80.8,29.7
36.3,5.7,80.8,29.7
36.4,5.7,80.8,29.7
36.5,5.8,80.8,29.7
36.6,5.8,80.8,29.7
36.7,5.7,80.8,29.7
36.8,5.6,80.8,29.7
36.9,5.6,80.8,29.7
37.0,5.7,80.8,29.7
37.1,5.7,80.8,29.7
37.2,5.7,80.8,29.7
37.3,5.7,80.8,29.7
37.4,5.6,80.8,29.7
37.5,5.6,80.8,29.7
37.6,5.6,80.8,29.7
37.7,5.6,80.8,29.7
37.8,5.6,80.8,29.7
37.9,5.6,80.8,29.7
38.0,5.5,80.8,29.7
38.1,5.5,80.8,29.7
38.2,5.6,80.8,29.7
38.3,5.6,80.8,29.7
38.4,5.6,80.8,29.7
38.5,5.7,80.8,29.7
38.6,5.7,80.8,29.7
38.7,5.7,80.8,29.7
38.8,5.7,80.8,29.7
38.9,5.8,80.8,29.7
39.0,5.8,80.8,29.7
39.1,5.8,80.8,29.7
39.2,5.8,80.8,29.7
39.3,5.9,80.8,29.7
39.4,5.9,80.8,29.7
39.5,5.9,80.8,29.7
39.6,5.9,80.8,29.7
39.7,5.9,80.8,29.7
39.8,5.9,80.8,29.7
39.9,5.9,80.8,29.7
40.0,5.8,80.8,29.7
40.1,5.8,80.8,29.7
40.2,5.8,80.8,29.7
40.3,5.8,80.8,29.7
40.4,5.7,80.8,29.7
40.5,5.7,80.8,29.7
