dist depth
0.501797497378 -0.391
0.690631170849 -0.308
0.976922133706 -0.269
1.08869416686 -0.306
1.16772815899 -0.278
1.45601851229 -0.295
1.67608737844 -0.331
2.02021831498 -0.37
2.41351224263 -0.331
2.76982757161 0.604
3.10292580693 -0.298
3.48932085507 1.01
4.49604291335 0.925
4.54779549255 1.425
4.90523000417 1.057
4.91390682285 0.77
5.03680280428 1.694
5.09039619422 1.483
5.79989437766 0.85
6.08961162951 1.905
6.62582675175 2.405
6.7079671021 1.375
7.37026602814 1.856
7.6323933893 2.229
7.90716372522 1.975
7.98195913939 2.855
8.4078088117 3.038
8.71383031717 2.69
8.88846869902 2.103
9.85298636821 3.385
10.1813196962 2.864
10.5858237001 2.686
10.6720742953 3.509
10.6792802554 3.94
10.7498824868 3.191
12.5677223085 4.365
12.6239490176 4.142
12.9903288551 3.908
13.1334468148 4.376
13.3287374815 4.52
13.7598379681 4.488
14.1356814859 4.361
15.1389735365 4.676
15.7459287346 5.083
16.2401071664 4.824
16.4740244236 4.783
16.7645844179 5.054
17.6546590973 4.927
18.0545623375 4.973
18.2947034796 4.752
18.3901578824 4.849
18.4435410554 5.222
19.0775150242 5.272
19.701149403 5.346
19.8657921589 4.794
20.6268931725 5.084
20.7441871952 4.99
20.912104455 4.818
21.7224061931 5.251
22.0136718536 4.957
22.3522763148 5.35
22.7809387378 4.909
22.8876013989 5.295
23.2121054763 4.997
23.8432782033 5.135
24.4069637451 5.107
24.5892402306 5.112
24.9674293633 5.102
25.4916380734 5.088
25.5854762242 5.284
25.871438131 5.254
27.2667776335 5.009
27.9434833559 5.15
27.9531616842 5.177
28.5650756383 5.194
28.6234250305 5.208
28.7333945158 5.059
28.8404500335 5.209
30.8472219278 5.053
31.1743238013 5.147
31.3697029936 5.159
31.7522193683 5.153
32.1943963626 5.151
32.8283845662 5.166
33.0559189733 5.177
33.1759266687 5.201
33.4780770041 5.213
33.8756461059 5.21
34.4531945764 5.294
35.085630305 5.143
35.9027105878 5.201
35.9603674892 5.393
36.0922379672 5.371
37.0196530682 5.202
37.057735982 5.391
37.2328441202 5.518
37.580260982 5.49
37.6562413064 5.445
38.7506737161 5.235
39.5192000098 5.411
39.7587078703 5.572
40.049787022 5.616
40.3640459626 5.748
40.5924959839 5.446
40.6933772161 5.779
41.0489857437 5.703
41.5996692621 5.402
42.2385219107 5.764
42.3632666135 5.864
43.0416093765 5.778
43.5172885181 5.701
43.5972210389 5.93
43.9790135409 5.95
44.7393560357 5.76
44.8597537029 5.763
45.0736826921 5.847
45.1672764951 6.059
45.9797556182 7.167
46.3630946544 5.803
46.5323887209 5.969
46.6376686179 5.916
46.7756869715 6.064
47.9606559598 7.59
48.111027949 7.005
48.1651138377 6.489
48.3813656572 6.023
49.4215762961 6.19
49.5959988593 8.698
49.6740320277 6.486
49.695792498 6.314
50.4847023283 6.905
51.0077522775 7.96
51.5801311017 8.858
52.2131158778 7.163
52.5396264575 9.402
52.5774354298 7.591
53.265173126 7.81
53.3361577088 7.635
53.384359127 8.241
53.7126985548 8.909
54.1267588064 9.486
54.4770716213 9.582
55.2033889332 8.71
55.5801238023 9.964
56.6995447951 9.884
56.7550486837 9.74
56.7814393825 9.473
56.8772275659 10.065
56.9984209474 9.48
57.2004210874 9.703
58.4776949542 10.233
58.5608581806 9.959
58.6755207433 10.006
59.6998525494 10.16
59.9090171879 10.261
60.2507259078 10.389
60.3031447024 10.487
60.4625658731 10.172
60.8837464699 10.361
61.3465998593 10.442
61.9072440088 10.347
62.2736019384 10.491
62.9775136024 10.523
63.0910620669 10.444
63.3846947553 10.706
63.4914277102 10.649
63.8154673345 10.709
64.3592416516 10.641
64.5608366621 10.618
64.5935175181 10.824
64.6241684064 10.763
