dist depth
64.8066799678 10.577
65.5030646621 10.822
67.3059013415 10.885
67.3329988101 10.962
67.3646429513 10.974
67.6209863693 11.002
67.6312777953 10.994
67.6751244015 11.078
67.7147778686 11.05
67.9706662304 11.112
68.509820936 11.099
68.7646004899 11.112
69.2140677348 11.172
70.6098041472 11.301
70.9679921392 11.311
71.3367781734 11.393
71.5306395881 11.394
71.5544056083 11.435
71.6133452478 11.417
71.8229597529 11.478
72.0226489516 11.534
72.1024657603 11.536
72.1388505005 11.54
72.3669014736 11.565
72.972700443 11.501
74.2517121558 11.729
74.39514856 11.791
74.5609706886 11.659
74.9331698834 11.805
75.1068346875 11.775
75.385605433 11.755
75.4008877598 11.936
76.0542986291 11.874
76.1637758447 11.986
76.6318203613 11.999
76.8756304303 11.811
77.6246735361 12.135
77.8180460776 12.181
78.0784375314 11.942
78.2128189078 12.133
78.8578136498 12.149
79.2067317526 12.422
79.6247880566 12.086
79.8751141938 12.307
80.7418160181 12.503
80.7779293979 12.143
81.004433807 12.446
81.1598474596 12.378
81.1608960005 12.528
81.2400334181 12.589
81.2578643097 12.291
81.2853967183 12.596
82.2784111986 12.464
83.0804978968 12.597
83.5916795458 12.957
83.6271494305 12.659
83.6712684091 12.492
84.1707554746 12.849
84.2585183541 12.828
84.4702404368 12.82
84.7223054039 13.1
84.968780348 12.729
85.063531251 12.877
85.5933351535 13.25
85.6875833823 12.823
86.6625572419 13.005
87.1394027019 13.154
87.2440863786 13.081
87.2801577307 13.358
87.3059023638 13.167
87.9234786145 13.297
88.1268305907 13.391
88.9654717641 14.764
89.0136627355 14.206
89.2493612516 13.659
89.3389236118 13.331
89.930920564 14.134
90.2300817284 13.836
90.2687930622 13.454
90.3209468606 14.045
90.7252843104 13.682
91.1510082559 13.666
91.9372332653 13.906
92.2592440012 14.363
92.2892214047 16.358
92.5794061871 13.922
93.0438338921 14.293
93.1583645723 15.646
93.4497952635 15.549
93.542109813 16.164
93.6803207747 14.344
93.9040954739 14.871
94.0822157565 15.591
94.5135305511 14.399
94.9624821934 14.416
95.3152849689 14.274
95.5645540368 18.117
95.805269446 17.76
95.8078081734 16.996
96.0176007079 16.363
97.1384686329 16.192
97.2083471395 17.448
97.3948703829 15.742
97.7154086954 15.332
98.1660478257 18.668
98.5987056502 19.35
98.6598556464 17.976
98.7428455057 15.531
98.7590063264 16.09
98.9359965663 19.793
99.2281301084 18.823
99.6625420736 16.746
100.065776293 18.281
100.472947327 17.439
100.799169467 16.903
101.29595382 20.576
101.832947048 19.903
101.928800326 17.933
102.114089217 17.309
102.162736467 21.439
102.484546467 18.975
102.756043746 19.908
103.050534754 18.285
103.175892252 21.162
103.534526254 19.949
104.086143587 19.406
104.415538354 18.681
104.618770588 22.382
105.300734277 18.617
105.533718204 23.123
105.688151582 19.907
105.811778684 20.636
105.88221996 21.715
105.972747806 22.236
106.140267396 21.056
106.420197372 21.526
106.738510583 23.309
107.004138185 20.246
107.077309268 23.21
108.129754939 20.366
108.180613181 21.666
108.361661173 22.096
108.479857326 23.269
108.615487581 24.478
108.904464024 24.768
109.246502654 24.055
109.592676636 21.947
110.08658941 23.209
110.171616132 23.577
110.447030931 25.081
111.151585229 22.238
111.368893154 24.766
111.409981244 21.843
111.783569361 23.869
111.942766304 25.451
112.034412212 26.001
112.178668262 26.345
112.182779907 23.7
113.027570668 24.724
113.352422932 23.857
113.768610913 26.498
114.117837115 25.659
114.150368932 23.332
114.396745771 26.532
114.545328865 26.358
114.608415611 25.618
114.680078226 25.226
115.099513203 24.226
115.115694896 26.937
115.557414061 25.353
115.873047236 26.034
116.191209262 26.617
116.319210689 26.983
116.711064137 24.455
116.725045191 25.518
116.795517388 24.716
117.379963142 27.357
117.727271759 27.186
118.154119774 27.431
118.326755117 25.813
118.353666922 26.532
118.389739262 26.783
118.456341737 27.22
118.850085688 27.298
118.870906959 27.484
119.836365864 26.144
119.855939416 26.961
120.314988739 27.426
120.366241856 27.805
120.4005657 27.587
120.853568275 27.683
121.182712201 27.867
121.289027254 27.545
121.444542619 27.73
121.890585307 27.441
121.909119617 27.921
122.11109665 27.624
122.673917418 27.971
122.722090344 27.896
122.847882687 28.022
122.984981364 27.869
123.302593994 28.101
123.963764785 28.223
124.223218488 27.99
124.313451306 27.974
124.358566059 27.891
124.793026503 28.204
124.941565076 28.18
125.054825164 28.085
125.622885044 28.339
126.509350138 28.234
126.573013054 28.288
126.639426291 28.336
126.720456566 28.371
126.811145837 28.544
126.972207447 28.157
127.327320805 28.524
128.401812007 28.382
128.40912877 28.445
128.547600604 28.547
128.888151886 28.432
129.626828353 28.668
129.627454743 28.581
130.041859159 28.68
130.334734079 28.844
130.471781865 28.701
130.946782388 28.929
131.994760496 28.956
132.097420578 28.792
132.314114339 28.83
132.444725961 28.881
132.831467354 28.991
133.418962137 29.02
133.702071647 29.056
133.716121994 29.08
133.744521937 29.081
133.959480666 29.086
134.408697535 29.233
135.143147716 29.314
135.892653093 29.349
136.182747227 29.284
136.402037081 29.359
136.487307296 29.414
136.535165061 29.334
136.634683167 29.427
136.728892154 29.441
136.793372047 29.396
137.329630169 29.482
137.661451647 29.589
137.874738603 29.588
138.769134333 29.637
139.236797711 29.733
139.597416729 29.762
139.605192337 29.704
139.760105255 29.809
140.109757304 29.819
140.310228887 29.843
140.34050256 29.845
140.625793804 29.896
140.628014325 29.922
140.633393414 29.879
141.80779663 30.111
142.012691338 30.037
142.629689041 30.073
143.076085718 30.149
143.618783323 30.275
143.710456303 30.297
143.754106702 30.311
144.059189448 30.32
144.091721601 30.26
144.118701208 30.297
144.202672999 30.27
144.667698349 30.384
144.766330495 30.441
145.355201609 30.483
145.829895409 30.575
146.151526965 30.514
147.495927201 30.676
147.656126607 30.675
147.8479351 30.826
147.940934235 30.837
148.057508214 30.793
148.480354028 30.895
148.643202145 30.918
148.709268388 30.935
148.741059696 30.844
148.824275271 30.817
150.436390326 31.012
150.840577052 31.158
151.019342179 31.222
151.189024052 31.166
151.405974694 31.282
151.566941304 31.238
152.345604024 31.262
152.51640665 31.414
152.519925874 31.253
152.602464573 31.329
152.688153374 31.321
152.798622066 31.422
154.050427447 31.602
154.767336363 31.537
154.784787832 31.677
155.06904401 31.672
155.132659084 31.653
155.25535884 31.765
155.28120894 31.727
155.706249164 31.66
156.249448749 31.749
156.839519956 31.948
157.129640347 31.996
157.279733973 32.009
157.359763027 31.91
157.714607205 31.891
158.738519058 32.032
158.854757926 32.057
159.200110138 32.258
159.408885968 32.215
159.455068817 32.239
159.545711481 32.275
159.853059317 32.221
160.304122184 32.387
160.880081447 32.443
161.040934442 32.318
161.823349565 32.436
162.118045702 32.584
162.267468327 32.486
162.28256087 32.634
162.520126766 32.5
162.973134413 32.642
163.047811677 32.735
163.622118526 32.709
163.974384493 32.81
164.200072261 32.863
164.318706314 32.855
164.328478179 32.773
164.554554931 32.77
164.92030591 32.948
165.202613693 32.983
165.434051973 32.91
165.637364708 32.917
165.887666843 33.083
166.510423908 33.156
166.998291605 33.219
167.333220973 33.118
167.399200264 33.194
167.4536092 33.254
167.6018742 33.191
168.233700152 33.288
168.398086687 33.341
168.817189997 33.44
168.960192718 33.445
168.977097547 33.438
169.081550317 33.371
169.678774212 33.443
170.339027249 33.606
170.360451008 33.637
170.654951042 33.663
171.014708929 33.633
171.176263902 33.68
171.547736469 33.701
171.952365114 33.734
172.254918067 33.828
172.342887515 33.859
173.0959014 33.953
173.236920355 33.977
173.3092293 33.967
173.626862317 34.04
174.28411356 34.067
174.295394674 34.043
174.309680378 34.114
174.373717349 34.063
174.39391209 34.087
175.135331866 34.205
175.313653757 34.253
176.201881207 34.325
176.473547415 34.331
177.086990713 34.482
177.31828847 34.456
177.392136755 34.498
177.559766435 34.506
177.581881322 34.505
177.735318905 34.53
177.762610167 34.548
178.040943032 34.548
178.050094119 34.547
178.440301672 34.631
178.505719183 34.602
178.779446488 34.684
179.314151529 34.73
179.897964359 34.797
180.533543219 34.891
180.866582035 34.922
180.891781978 34.922
181.219462258 34.965
181.419142119 34.994
181.907453784 35.059
182.597517894 35.142
183.289654688 35.208
183.98386427 35.3
184.584234972 35.385
