dist,depth,unc,AAID
17.40,7.89,5.43,224
17.50,7.90,5.43,225
17.60,7.91,5.42,226
17.70,7.93,5.42,227
17.80,7.94,5.41,228
17.90,7.95,5.41,229
18.00,7.96,5.40,230
18.10,7.97,5.40,231
18.20,7.97,5.39,232
18.30,7.97,5.39,233
18.40,7.98,5.38,234
18.50,7.98,5.37,235
18.60,7.98,5.37,236
18.70,7.99,5.36,237
18.80,7.99,5.36,238
18.90,7.99,5.35,239
19.00,7.99,5.35,240
19.10,8.01,5.33,241
19.20,8.02,5.32,242
19.30,8.04,5.31,243
19.40,8.05,5.29,244
19.50,8.06,5.28,245
19.60,8.08,5.27,246
19.70,8.09,5.26,247
19.80,8.11,5.24,248
19.90,8.12,5.23,249
20.00,8.13,5.22,250
20.10,8.14,5.23,251
20.20,8.15,5.24,252
20.30,8.16,5.26,253
20.40,8.17,5.27,254
20.50,8.18,5.28,255
20.60,8.19,5.29,256
20.70,8.20,5.31,257
20.80,8.20,5.32,258
20.90,8.21,5.33,259
21.00,8.22,5.35,260
21.10,8.23,5.33,261
21.20,8.23,5.32,262
21.30,8.23,5.30,263
21.40,8.24,5.29,264
21.50,8.24,5.27,265
21.60,8.25,5.26,266
21.70,8.25,5.25,267
21.80,8.26,5.23,268
21.90,8.26,5.22,269
22.00,8.26,5.20,270
22.10,8.26,5.20,271
22.20,8.26,5.20,272
22.30,8.25,5.19,273
22.40,8.25,5.19,274
22.50,8.25,5.19,275
22.60,8.24,5.18,276
22.70,8.24,5.18,277
22.80,8.24,5.18,278
22.90,8.24,5.17,279
23.00,8.23,5.17,280
23.10,8.25,5.20,281
23.20,8.27,5.23,282
23.30,8.29,5.26,283
23.40,8.32,5.29,284
23.50,8.34,5.32,285
23.60,8.36,5.35,286
23.70,8.38,5.39,287
23.80,8.40,5.42,288
23.90,8.42,5.45,289
24.00,8.44,5.48,290
24.10,8.45,5.48,291
24.20,8.45,5.49,292
24.30,8.46,5.49,293
24.40,8.46,5.50,294
24.50,8.47,5.51,295
24.60,8.47,5.51,296
24.70,8.48,5.52,297
24.80,8.49,5.52,298
24.90,8.49,5.53,299
25.00,8.50,5.54,300
25.10,8.49,5.53,301
25.20,8.48,5.52,302
25.30,8.47,5.51,303
25.40,8.47,5.51,304
25.50,8.46,5.50,305
25.60,8.45,5.49,306
25.70,8.44,5.48,307
25.80,8.43,5.48,308
25.90,8.42,5.47,309
26.00,8.42,5.46,310
26.10,8.42,5.46,311
26.20,8.43,5.46,312
26.30,8.44,5.46,313
26.40,8.45,5.45,314
26.50,8.46,5.45,315
26.60,8.47,5.45,316
26.70,8.48,5.45,317
26.80,8.49,5.45,318
26.90,8.50,5.44,319
27.00,8.51,5.44,320
27.10,8.52,5.45,321
27.20,8.52,5.45,322
27.30,8.53,5.46,323
27.40,8.54,5.46,324
27.50,8.55,5.46,325
27.60,8.56,5.47,326
27.70,8.57,5.47,327
27.80,8.58,5.48,328
27.90,8.58,5.48,329
28.00,8.59,5.49,330
28.10,8.61,5.50,331
28.20,8.63,5.52,332
28.30,8.65,5.53,333
28.40,8.67,5.54,334
28.50,8.69,5.56,335
28.60,8.70,5.57,336
28.70,8.72,5.58,337
28.80,8.74,5.60,338
28.90,8.76,5.61,339
29.00,8.78,5.63,340
29.10,8.80,5.64,341
29.20,8.82,5.66,342
29.30,8.84,5.68,343
29.40,8.86,5.70,344
29.50,8.88,5.72,345
29.60,8.90,5.74,346
29.70,8.92,5.76,347
29.80,8.94,5.78,348
29.90,8.96,5.80,349
30.00,8.98,5.82,350
30.10,8.99,5.81,351
30.20,8.99,5.81,352
30.30,9.00,5.80,353
30.40,9.01,5.80,354
30.50,9.01,5.79,355
30.60,9.02,5.79,356
30.70,9.02,5.78,357
30.80,9.03,5.78,358
30.90,9.04,5.77,359
31.00,9.04,5.77,360
31.10,9.06,5.78,361
31.20,9.09,5.79,362
31.30,9.11,5.81,363
31.40,9.13,5.82,364
31.50,9.15,5.84,365
31.60,9.18,5.85,366
31.70,9.20,5.86,367
31.80,9.22,5.88,368
31.90,9.24,5.89,369
32.00,9.27,5.90,370
32.10,9.29,5.91,371
32.20,9.31,5.91,372
32.30,9.33,5.91,373
32.40,9.35,5.91,374
32.50,9.37,5.91,375
32.60,9.39,5.91,376
32.70,9.41,5.92,377
32.80,9.43,5.92,378
32.90,9.45,5.92,379
33.00,9.47,5.92,380
33.10,9.47,5.91,381
33.20,9.47,5.90,382
33.30,9.48,5.89,383
33.40,9.48,5.87,384
33.50,9.48,5.86,385
33.60,9.48,5.85,386
33.70,9.49,5.84,387
33.80,9.49,5.83,388
33.90,9.49,5.81,389
34.00,9.50,5.80,390
34.10,9.50,5.78,391
34.20,9.51,5.76,392
34.30,9.52,5.74,393
34.40,9.53,5.72,394
34.50,9.54,5.70,395
34.60,9.55,5.68,396
34.70,9.56,5.66,397
34.80,9.57,5.64,398
34.90,9.58,5.62,399
35.00,9.59,5.60,400
35.10,9.61,5.60,401
35.20,9.63,5.60,402
35.30,9.65,5.59,403
35.40,9.67,5.59,404
35.50,9.69,5.59,405
35.60,9.71,5.59,406
35.70,9.73,5.59,407
35.80,9.75,5.59,408
35.90,9.77,5.59,409
36.00,9.79,5.58,410
36.10,9.81,5.58,411
36.20,9.83,5.59,412
36.30,9.85,5.59,413
36.40,9.87,5.59,414
36.50,9.89,5.59,415
36.60,9.91,5.59,416
36.70,9.93,5.59,417
36.80,9.95,5.59,418
36.90,9.97,5.60,419
37.00,9.99,5.60,420
37.10,9.99,5.59,421
37.20,9.99,5.58,422
37.30,9.99,5.58,423
37.40,10.00,5.57,424
37.50,10.00,5.57,425
37.60,10.00,5.56,426
37.70,10.00,5.56,427
37.80,10.00,5.55,428
37.90,10.00,5.54,429
38.00,10.01,5.54,430
38.10,10.02,5.54,431
38.20,10.04,5.55,432
38.30,10.05,5.55,433
38.40,10.07,5.56,434
38.50,10.09,5.56,435
38.60,10.10,5.56,436
