lon,lat,az,bound,slab
-26.0710,-60.3910,229.5711,SA/SC,sco
-25.8205,-60.2865,229.5711,SA/SC,sco
-25.5700,-60.1820,229.5711,SA/SC,sco
-25.3195,-60.0775,229.5711,SA/SC,sco
-25.0690,-59.9730,229.5711,SA/SC,sco
-24.9157,-59.8263,224.0618,SA/SC,sco
-24.7625,-59.6795,218.5525,SA/SC,sco
-24.6092,-59.5328,213.0432,SA/SC,sco
-24.4560,-59.3860,207.5339,SA/SC,sco
-24.3398,-59.2698,207.3871,SA/SC,sco
-24.2235,-59.1535,207.2403,SA/SC,sco
-24.1073,-59.0373,207.0934,SA/SC,sco
-23.9910,-58.9210,206.9466,SA/SC,sco
-23.9695,-58.8302,204.4497,SA/SC,sco
-23.9480,-58.7395,201.9529,SA/SC,sco
-23.9265,-58.6487,199.4560,SA/SC,sco
-23.9050,-58.5580,196.9591,SA/SC,sco
-23.8835,-58.4672,194.4622,SA/SC,sco
-23.8620,-58.3765,191.9654,SA/SC,sco
-23.8405,-58.2858,189.4685,SA/SC,sco
-23.8190,-58.1950,186.9717,SA/SC,sco
-23.8578,-58.0987,184.5988,SA/SC,sco
-23.8967,-58.0025,182.2259,SA/SC,sco
-23.9356,-57.9062,179.8530,SA/SC,sco
-23.9745,-57.8100,177.4801,SA/SC,sco
-24.0134,-57.7138,175.1072,SA/SC,sco
-24.0523,-57.6175,172.7343,SA/SC,sco
-24.0911,-57.5212,170.3614,SA/SC,sco
-24.1300,-57.4250,167.9885,SA/SC,sco
-24.1815,-57.2995,167.7659,SA/SC,sco
-24.2330,-57.1740,167.5432,SA/SC,sco
-24.3488,-57.0640,163.2439,SA/SC,sco
-24.4645,-56.9540,158.9445,SA/SC,sco
-24.5802,-56.8440,154.6452,SA/SC,sco
-24.6960,-56.7340,150.3459,SA/SC,sco
-24.8092,-56.6235,150.4348,SA/SC,sco
-24.9225,-56.5130,150.5237,SA/SC,sco
-25.0358,-56.4025,150.6126,SA/SC,sco
-25.1490,-56.2920,150.7015,SA/SC,sco
-25.2920,-56.1790,149.2756,SA/SC,sco
-25.4350,-56.0660,147.8498,SA/SC,sco
-25.5780,-55.9530,146.4239,SA/SC,sco
-25.7210,-55.8400,144.9980,SA/SC,sco
-25.8942,-55.7360,143.0098,SA/SC,sco
-26.0675,-55.6320,141.0216,SA/SC,sco
-26.2407,-55.5280,139.0334,SA/SC,sco
-26.4140,-55.4240,137.0452,SA/SC,sco
-26.5592,-55.3760,132.8818,SA/SC,sco
-26.7045,-55.3280,128.7183,SA/SC,sco
-26.8498,-55.2800,124.5549,SA/SC,sco
-26.9950,-55.2320,120.3914,SA/SC,sco
-27.1472,-55.1977,118.2296,SA/SC,sco
-27.2995,-55.1635,116.0679,SA/SC,sco
-27.4517,-55.1292,113.9061,SA/SC,sco
-27.6040,-55.0950,111.7444,SA/SC,sco
