lon,lat,az,bound,slab,depth
164.066,55.209,296.6541,PA/NA,alu,6.3034
164.2672,55.1521,296.6541,PA/NA,alu,6.2954
164.4683,55.0951,296.6541,PA/NA,alu,6.0624
164.6694,55.0382,296.6541,PA/NA,alu,5.7328
164.8706,54.9812,296.6541,PA/NA,alu,6.0268
165.1388,54.8928,298.3365,PA/NA,alu,7.3858
165.407,54.8045,300.019,PA/NA,alu,7.7028
165.5938,54.7269,302.9543,PA/NA,alu,7.7468
165.7805,54.6493,305.8897,PA/NA,alu,7.27
165.9625,54.567,306.4626,PA/NA,alu,6.405
166.1445,54.4848,307.0356,PA/NA,alu,6.4373
166.3265,54.4026,307.6086,PA/NA,alu,6.6213
166.5085,54.3203,308.1815,PA/NA,alu,7.0823
166.736,54.2204,307.9373,PA/NA,alu,6.8923
166.9634,54.1206,307.6931,PA/NA,alu,6.4983
167.1909,54.0207,307.4488,PA/NA,alu,6.9643
167.4184,53.9208,307.2046,PA/NA,alu,6.6913
167.6028,53.8342,307.5907,PA/NA,alu,6.3347
167.7872,53.7477,307.9768,PA/NA,alu,6.4467
167.9716,53.6611,308.3629,PA/NA,alu,6.4407
168.156,53.5745,308.749,PA/NA,alu,6.3327
168.3356,53.4943,308.337,PA/NA,alu,6.7488
168.5152,53.4142,307.925,PA/NA,alu,6.7178
168.6948,53.3341,307.513,PA/NA,alu,6.3115
168.8744,53.254,307.101,PA/NA,alu,5.7765
169.0994,53.1617,306.494,PA/NA,alu,4.8955
169.3245,53.0694,305.887,PA/NA,alu,6.4855
169.5496,52.9771,305.2799,PA/NA,alu,6.3985
169.7747,52.8848,304.6729,PA/NA,alu,6.7705
170.006,52.7881,304.7446,PA/NA,alu,7.4545
170.2373,52.6914,304.8164,PA/NA,alu,7.215
170.4686,52.5947,304.8881,PA/NA,alu,7.157
170.7,52.498,304.9599,PA/NA,alu,7.129
170.8453,52.4432,304.5992,PA/NA,alu,7.689
170.9907,52.3885,304.2385,PA/NA,alu,7.844
171.1361,52.3338,303.8777,PA/NA,alu,7.581
171.2814,52.279,303.517,PA/NA,alu,7.257
171.4267,52.2243,303.1562,PA/NA,alu,7.614
171.5721,52.1696,302.7955,PA/NA,alu,7.552
171.7174,52.1149,302.4348,PA/NA,alu,7.467
171.8628,52.0601,302.0741,PA/NA,alu,7.507
172.0005,52.0131,301.7374,PA/NA,alu,7.271
172.1381,51.9661,301.4007,PA/NA,alu,7.857
172.2758,51.9191,301.064,PA/NA,alu,7.909
172.4134,51.8721,300.7273,PA/NA,alu,7.799
172.5511,51.8251,300.3906,PA/NA,alu,7.837
172.6887,51.7781,300.0539,PA/NA,alu,7.674
172.8263,51.731,299.7172,PA/NA,alu,7.423
172.964,51.684,299.3804,PA/NA,alu,7.044
173.1221,51.641,298.7214,PA/NA,alu,7.335
173.2802,51.5979,298.0623,PA/NA,alu,7.538
173.4383,51.5549,297.4032,PA/NA,alu,7.654
173.5964,51.5119,296.7442,PA/NA,alu,7.381
173.7545,51.4689,296.0851,PA/NA,alu,7.843
173.9126,51.4259,295.4261,PA/NA,alu,7.737
174.0707,51.3829,294.7671,PA/NA,alu,7.833
174.2287,51.3399,294.108,PA/NA,alu,7.525
174.4155,51.2963,293.2648,PA/NA,alu,7.885
174.6022,51.2527,292.4216,PA/NA,alu,7.821
174.789,51.2091,291.5784,PA/NA,alu,7.878
174.9758,51.1656,290.7353,PA/NA,alu,7.657
175.1626,51.1264,289.6806,PA/NA,alu,7.874
175.3494,51.0872,288.6259,PA/NA,alu,7.788
175.5027,51.0525,288.9829,PA/NA,alu,7.338
175.6559,51.0178,289.3399,PA/NA,alu,7.843
175.8091,50.9831,289.6969,PA/NA,alu,7.366
175.9624,50.9483,290.0539,PA/NA,alu,7.864
176.1396,50.918,288.8998,PA/NA,alu,7.864
176.3168,50.8877,287.7457,PA/NA,alu,7.844
176.494,50.8574,286.5916,PA/NA,alu,7.845
176.6712,50.8271,285.4375,PA/NA,alu,7.846
176.8149,50.7968,286.2541,PA/NA,alu,7.85
176.9586,50.7664,287.0706,PA/NA,alu,7.797
177.1022,50.736,287.8872,PA/NA,alu,7.797
177.2459,50.7056,288.7037,PA/NA,alu,7.828
177.471,50.6691,286.6188,PA/NA,alu,7.593
177.6961,50.6326,284.5339,PA/NA,alu,7.804
177.8398,50.6082,284.6984,PA/NA,alu,7.802
177.9835,50.5838,284.863,PA/NA,alu,7.727
178.1272,50.5594,285.0275,PA/NA,alu,7.78
178.2708,50.535,285.192,PA/NA,alu,7.784
178.5151,50.5105,282.1596,PA/NA,alu,7.801
178.7593,50.4861,279.1273,PA/NA,alu,7.713
178.9365,50.4708,278.843,PA/NA,alu,7.759
179.1137,50.4556,278.5587,PA/NA,alu,7.709
179.2909,50.4403,278.2744,PA/NA,alu,7.682
179.4681,50.425,277.99,PA/NA,alu,7.703
179.7315,50.4128,276.182,PA/NA,alu,7.511
179.995,50.4005,274.374,PA/NA,alu,7.791
180.0,50.3992,291.5269,PA/NA,alu,7.791
180.2801,50.3846,283.2206,PA/NA,alu,7.731
180.5601,50.3699,274.9143,PA/NA,alu,7.701
180.7804,50.3699,273.5611,PA/NA,alu,7.669
181.0007,50.3699,272.2078,PA/NA,alu,7.439
181.2401,50.3699,272.1337,PA/NA,alu,7.409
181.4796,50.3699,272.0596,PA/NA,alu,7.46
181.7335,50.376,270.044,PA/NA,alu,7.46
181.9873,50.3821,268.0285,PA/NA,alu,7.377
182.1525,50.3882,267.7534,PA/NA,alu,7.641
182.3177,50.3944,267.4782,PA/NA,alu,7.53
182.483,50.4005,267.203,PA/NA,alu,7.535
182.6482,50.4066,266.9278,PA/NA,alu,7.588
182.8685,50.428,264.2109,PA/NA,alu,7.5
183.0888,50.4494,261.494,PA/NA,alu,7.355
183.2899,50.4631,262.1651,PA/NA,alu,7.518
183.4911,50.4769,262.8362,PA/NA,alu,7.478
183.6923,50.4907,263.5073,PA/NA,alu,7.58
183.8934,50.5044,264.1784,PA/NA,alu,7.656
184.0491,50.5258,262.6472,PA/NA,alu,7.69
184.2047,50.5472,261.1159,PA/NA,alu,7.711
184.3603,50.5686,259.5847,PA/NA,alu,7.732
184.516,50.5899,258.0535,PA/NA,alu,7.697
184.686,50.602,259.4943,PA/NA,alu,7.731
184.856,50.6142,260.9352,PA/NA,alu,7.781
185.026,50.6264,262.376,PA/NA,alu,7.86
185.1961,50.6386,263.8168,PA/NA,alu,7.872
185.3853,50.6569,263.2708,PA/NA,alu,8.064
185.5745,50.6752,262.7247,PA/NA,alu,7.581
185.7636,50.6934,262.1787,PA/NA,alu,7.564
185.9528,50.7117,261.6327,PA/NA,alu,7.921
186.1755,50.7375,261.2142,PA/NA,alu,7.749
186.3982,50.7634,260.7957,PA/NA,alu,7.948
186.6209,50.7892,260.3773,PA/NA,alu,7.937
186.8436,50.815,259.9588,PA/NA,alu,7.892
187.0304,50.8377,259.813,PA/NA,alu,8.059
187.2172,50.8605,259.6673,PA/NA,alu,8.013
187.404,50.8832,259.5216,PA/NA,alu,7.983
187.5907,50.9059,259.3758,PA/NA,alu,7.953
187.7846,50.9316,259.1363,PA/NA,alu,7.985
187.9786,50.9573,258.8967,PA/NA,alu,7.969
188.1726,50.983,258.6572,PA/NA,alu,7.885
188.3665,51.0087,258.4177,PA/NA,alu,7.835
188.5748,51.0388,258.1495,PA/NA,alu,7.836
188.7832,51.069,257.8812,PA/NA,alu,7.845
188.9916,51.0992,257.6129,PA/NA,alu,7.797
189.1999,51.1294,257.3446,PA/NA,alu,7.58
189.3963,51.1655,256.4964,PA/NA,alu,7.656
189.5926,51.2017,255.6481,PA/NA,alu,7.667
189.7889,51.2378,254.7998,PA/NA,alu,7.441
189.9853,51.2739,253.9516,PA/NA,alu,7.539
190.1697,51.3218,252.3808,PA/NA,alu,7.541
190.3541,51.3698,250.8099,PA/NA,alu,7.557
190.5385,51.4177,249.239,PA/NA,alu,7.537
190.7228,51.4657,247.6681,PA/NA,alu,7.481
190.9527,51.5314,246.584,PA/NA,alu,7.411
191.1826,51.5971,245.5,PA/NA,alu,7.621
191.4173,51.6566,246.1534,PA/NA,alu,7.581
191.6519,51.7161,246.8068,PA/NA,alu,7.623
191.8866,51.7756,247.4602,PA/NA,alu,7.514
192.1213,51.8351,248.1136,PA/NA,alu,7.548
192.3919,51.9017,248.2509,PA/NA,alu,7.585
