lon,lat,az,bound,slab
20.3001,37.8039,332.7658,AF/AN,hel1
20.3576,37.7157,332.7658,AF/AN,hel1
20.4152,37.6275,332.7658,AF/AN,hel1
20.4727,37.5393,332.7658,AF/AN,hel1
20.5302,37.4511,332.7658,AF/AN,hel1
20.5877,37.3629,332.7658,AF/AN,hel1
20.6453,37.2747,332.7658,AF/AN,hel1
20.7028,37.1865,332.7658,AF/AN,hel1
20.7603,37.0983,332.7658,AF/AN,hel1
20.9018,36.9809,328.6202,AF/AN,hel1
21.0434,36.8636,324.4746,AF/AN,hel1
21.1850,36.7463,320.3289,AF/AN,hel1
21.3266,36.6289,316.1833,AF/AN,hel1
21.3946,36.5256,320.1730,AF/AN,hel1
21.4627,36.4224,324.1627,AF/AN,hel1
21.5308,36.3192,328.1524,AF/AN,hel1
21.5988,36.2159,332.1421,AF/AN,hel1
21.6724,36.1452,329.1014,AF/AN,hel1
21.7460,36.0746,326.0607,AF/AN,hel1
21.8196,36.0040,323.0199,AF/AN,hel1
21.8932,35.9334,319.9792,AF/AN,hel1
22.0137,35.8856,314.0321,AF/AN,hel1
22.1342,35.8379,308.0849,AF/AN,hel1
22.2547,35.7901,302.1378,AF/AN,hel1
22.3752,35.7424,296.1907,AF/AN,hel1
22.4979,35.6660,299.0383,AF/AN,hel1
22.6207,35.5896,301.8859,AF/AN,hel1
22.7434,35.5131,304.7335,AF/AN,hel1
22.8662,35.4367,307.5810,AF/AN,hel1
22.9993,35.3251,309.6645,AF/AN,hel1
23.1324,35.2134,311.7480,AF/AN,hel1
23.2655,35.1017,313.8315,AF/AN,hel1
23.3986,34.9900,315.9150,AF/AN,hel1
23.5174,34.8996,315.1766,AF/AN,hel1
23.6362,34.8092,314.4381,AF/AN,hel1
23.7550,34.7188,313.6997,AF/AN,hel1
23.8739,34.6283,312.9612,AF/AN,hel1
24.0536,34.5562,308.7635,AF/AN,hel1
24.2334,34.4840,304.5658,AF/AN,hel1
24.4131,34.4119,300.3681,AF/AN,hel1
24.5928,34.3397,296.1704,AF/AN,hel1
24.7158,34.3283,293.7322,AF/AN,hel1
24.8388,34.3169,291.2940,AF/AN,hel1
24.9618,34.3055,288.8558,AF/AN,hel1
25.0847,34.2942,286.4176,AF/AN,hel1
25.2077,34.2828,283.9794,AF/AN,hel1
25.3307,34.2715,281.5412,AF/AN,hel1
25.4537,34.2601,279.1030,AF/AN,hel1
25.5767,34.2487,276.6648,AF/AN,hel1
25.6878,34.2424,276.3535,AF/AN,hel1
25.7989,34.2361,276.0421,AF/AN,hel1
25.9100,34.2298,275.7308,AF/AN,hel1
26.0210,34.2235,275.4194,AF/AN,hel1
26.1320,34.2172,275.1080,AF/AN,hel1
26.2431,34.2109,274.7966,AF/AN,hel1
26.3542,34.2046,274.4853,AF/AN,hel1
26.4653,34.1983,274.1739,AF/AN,hel1
26.6556,34.2324,270.1255,AF/AN,hel1
26.8459,34.2665,266.0772,AF/AN,hel1
27.0362,34.3006,262.0289,AF/AN,hel1
27.2265,34.3347,257.9806,AF/AN,hel1
27.3410,34.4275,249.8838,AF/AN,hel1
27.4555,34.5204,241.7871,AF/AN,hel1
27.5700,34.6132,233.6904,AF/AN,hel1
27.6845,34.7060,225.5936,AF/AN,hel1
27.8674,34.7881,233.5159,AF/AN,hel1
28.0502,34.8702,241.4382,AF/AN,hel1
28.1572,34.9344,239.5456,AF/AN,hel1
28.2641,34.9987,237.6530,AF/AN,hel1
28.3711,35.0630,235.7604,AF/AN,hel1
28.4780,35.1272,233.8678,AF/AN,hel1
28.6285,35.2194,233.5397,AF/AN,hel1
28.7789,35.3116,233.2117,AF/AN,hel1
28.9245,35.3448,243.8415,AF/AN,hel1
29.0702,35.3780,254.4712,AF/AN,hel1
29.2077,35.4014,256.3646,AF/AN,hel1
29.3451,35.4249,258.2580,AF/AN,hel1
29.5380,35.4261,263.9662,AF/AN,hel1
29.7309,35.4273,269.6744,AF/AN,hel1
29.8534,35.3590,278.3716,AF/AN,hel1
29.9759,35.2908,287.0689,AF/AN,hel1
30.0983,35.2225,295.7662,AF/AN,hel1
30.2208,35.1543,304.4635,AF/AN,hel1
30.3638,35.1134,300.7009,AF/AN,hel1
30.5069,35.0725,296.9383,AF/AN,hel1
30.6499,35.0316,293.1757,AF/AN,hel1
30.7929,34.9908,289.4131,AF/AN,hel1
30.9087,34.9496,290.4574,AF/AN,hel1
31.0245,34.9084,291.5018,AF/AN,hel1
31.1403,34.8672,292.5462,AF/AN,hel1
31.2560,34.8260,293.5905,AF/AN,hel1
31.3770,34.7780,294.1671,AF/AN,hel1
31.4979,34.7300,294.7436,AF/AN,hel1
31.6189,34.6820,295.3202,AF/AN,hel1
31.7399,34.6341,295.8967,AF/AN,hel1
31.8479,34.5973,295.0657,AF/AN,hel1
31.9559,34.5606,294.2346,AF/AN,hel1
32.0639,34.5238,293.4036,AF/AN,hel1
32.1719,34.4871,292.5726,AF/AN,hel1
32.2959,34.4628,290.3067,AF/AN,hel1
32.4198,34.4385,288.0408,AF/AN,hel1
32.5438,34.4142,285.7749,AF/AN,hel1
32.6678,34.3899,283.5091,AF/AN,hel1
32.7760,34.3650,284.0548,AF/AN,hel1
32.8843,34.3401,284.6006,AF/AN,hel1
32.9925,34.3152,285.1463,AF/AN,hel1
33.1007,34.2903,285.6921,AF/AN,hel1
33.2594,34.2931,281.5024,AF/AN,hel1
33.4181,34.2960,277.3127,AF/AN,hel1
33.5768,34.2989,273.1230,AF/AN,hel1
33.7354,34.3017,268.9333,AF/AN,hel1
