lon,lat,depth,mag,unc,date
-122.18,48.72,25.0,0.9,10.0,8/19/1985
-122.15,48.71,22.0,1.8,10.0,8/19/1985
-122.13,48.7,22.0,1.3,10.0,8/19/1985
-122.16,48.72,15.0,1.4,10.0,8/20/1985
-122.15,48.71,8.0,1.3,10.0,8/20/1985
-122.48,48.78,16.0,1.0,10.0,8/22/1985
-122.15,48.71,20.0,0.9,10.0,8/23/1985
-124.03,48.59,13.0,0.7,10.0,8/25/1985
-122.18,48.73,24.0,1.3,10.0,8/25/1985
-126.38,49.37,21.0,1.4,10.0,8/25/1985
-122.15,48.71,22.0,0.9,10.0,8/26/1985
-122.18,48.72,18.0,1.3,10.0,8/27/1985
-126.4,50.07,26.0,0.9,10.0,8/28/1985
-124.05,48.47,11.0,2.4,10.0,8/29/1985
-122.79,48.12,18.0,1.4,10.0,8/31/1985
-122.12,48.7,23.0,1.6,10.0,09/02/1985
-122.12,48.7,22.0,1.8,10.0,09/02/1985
-122.13,48.7,25.0,1.8,10.0,09/02/1985
-122.16,48.72,19.0,1.6,10.0,09/02/1985
-122.49,48.92,13.0,1.1,10.0,09/03/1985
-123.4,48.45,27.0,0.9,10.0,09/04/1985
-122.16,48.72,27.0,1.4,10.0,09/04/1985
-122.16,48.73,26.0,0.7,10.0,09/04/1985
-123.03,48.57,18.0,1.1,10.0,09/05/1985
-122.42,48.88,9.0,1.1,10.0,09/08/1985
-124.33,48.94,19.0,0.9,10.0,09/10/1985
-124.02,48.88,18.0,1.2,10.0,09/11/1985
-124.31,48.95,0.0,1.0,10.0,09/12/1985
-122.17,48.72,17.0,0.8,10.0,9/15/1985
-124.17,48.91,24.0,0.5,10.0,9/18/1985
-126.19,49.9,0.0,1.0,10.0,9/19/1985
-124.71,48.72,10.4,0.1,10.0,9/19/1985
-122.63,48.08,35.0,1.1,10.0,9/20/1985
-123.9,49.42,9.0,1.0,10.0,9/21/1985
-122.74,48.48,24.0,1.2,10.0,9/28/1985
-122.17,48.99,13.0,0.8,10.0,9/30/1985
-124.09,48.95,18.0,2.7,10.0,9/30/1985
-126.85,49.46,3.5,0.9,10.0,10/01/1985
-125.7,49.91,20.3,0.8,10.0,10/04/1985
-123.2,48.19,21.6,1.3,10.0,10/07/1985
-122.96,48.63,18.0,0.7,10.0,10/09/1985
-125.72,49.92,22.6,0.8,10.0,10/09/1985
-125.71,49.92,19.5,0.1,10.0,10/10/1985
-122.75,48.48,24.8,0.8,10.0,10/14/1985
-124.52,48.88,31.0,1.6,10.0,10/17/1985
-122.8,48.94,20.6,0.7,10.0,10/18/1985
