lon,lat,az,bound,slab,depth
82.1807,27.9956,293.9523,IN/EU,him,0.247
82.2783,27.9482,296.4009,IN/EU,him,0.284
82.3759,27.9008,298.8495,IN/EU,him,0.24
82.5208,27.8506,291.4188,IN/EU,him,0.242
82.7104,27.8506,273.459,IN/EU,him,0.313
82.8201,27.8297,275.6645,IN/EU,him,0.313
82.9298,27.8087,277.87,IN/EU,him,0.32
83.0395,27.7878,280.0755,IN/EU,him,0.164
83.1492,27.7669,282.281,IN/EU,him,0.195
83.3187,27.7206,284.7416,IN/EU,him,0.118
83.4883,27.6744,287.2022,IN/EU,him,0.151
83.5449,27.6596,286.487,IN/EU,him,0.151
83.6228,27.6392,286.4894,IN/EU,him,0.119
83.7041,27.6179,286.4872,IN/EU,him,0.121
83.8608,27.5074,308.5267,IN/EU,him,0.12
83.9893,27.4303,304.0977,IN/EU,him,0.211
84.1434,27.4252,305.1642,IN/EU,him,0.173
84.2461,27.3584,273.1246,IN/EU,him,0.158
84.4106,27.3481,274.0629,IN/EU,him,0.17
84.5852,27.343,271.9366,IN/EU,him,0.162
84.7085,27.343,275.2452,IN/EU,him,0.236
84.8156,27.339,272.4248,IN/EU,him,0.344
84.9552,27.2762,273.465,IN/EU,him,0.241
85.099,27.2762,274.5051,IN/EU,him,0.234
85.2121,27.2325,284.0216,IN/EU,him,0.174
85.3251,27.1889,293.538,IN/EU,him,0.172
85.4664,27.1503,290.3213,IN/EU,him,0.124
85.6077,27.1118,287.1047,IN/EU,him,0.145
85.7412,27.1067,290.0727,IN/EU,him,0.265
85.8568,27.063,291.5566,IN/EU,him,0.204
85.9724,27.0193,293.0406,IN/EU,him,0.327
86.1574,26.9628,288.9691,IN/EU,him,0.185
86.2669,26.9429,288.0629,IN/EU,him,0.164
86.3764,26.923,287.1567,IN/EU,him,0.37
86.4859,26.9031,286.2505,IN/EU,him,0.23
86.5954,26.8832,285.3444,IN/EU,him,0.347
86.7049,26.8633,284.4382,IN/EU,him,0.3
86.8144,26.8434,283.532,IN/EU,him,0.237
86.9239,26.8235,282.6258,IN/EU,him,0.132
87.0334,26.8035,281.7196,IN/EU,him,0.106
87.2338,26.8035,273.2457,IN/EU,him,0.173
87.3648,26.7727,279.0345,IN/EU,him,0.204
87.4958,26.7419,284.8234,IN/EU,him,0.264
87.6705,26.7419,289.4877,IN/EU,him,0.131
87.7989,26.6905,267.7927,IN/EU,him,0.162
87.8991,26.7034,264.8355,IN/EU,him,0.137
87.9993,26.7162,261.8782,IN/EU,him,0.141
88.0944,26.747,255.9804,IN/EU,him,0.233
88.1894,26.7778,250.0826,IN/EU,him,0.233
88.3204,26.8189,250.3866,IN/EU,him,0.147
88.4514,26.86,250.6906,IN/EU,him,0.185
88.5541,26.8805,254.0494,IN/EU,him,0.137
88.6569,26.9011,257.4082,IN/EU,him,0.137
88.7854,26.9166,262.3648,IN/EU,him,0.217
88.96,26.9217,268.1503,IN/EU,him,0.285
89.0474,26.8755,272.8494,IN/EU,him,0.285
89.1219,26.8087,275.1989,IN/EU,him,0.138
89.1964,26.7419,277.5485,IN/EU,him,0.166
89.2991,26.7676,254.3823,IN/EU,him,0.129
89.4967,26.7761,267.2907,IN/EU,him,0.196
89.5458,26.7419,277.0279,IN/EU,him,0.196
89.6511,26.7137,281.8964,IN/EU,him,0.11
89.7564,26.6854,286.765,IN/EU,him,0.104
89.8617,26.7008,273.7547,IN/EU,him,0.099
89.967,26.7162,260.7444,IN/EU,him,0.107
90.1366,26.7933,243.0601,IN/EU,him,0.199
90.2753,26.8703,238.1255,IN/EU,him,0.237
90.3961,26.896,256.6104,IN/EU,him,0.197
90.545,26.8138,264.9971,IN/EU,him,0.142
90.694,26.8061,269.1905,IN/EU,him,0.199
90.843,26.7984,273.3839,IN/EU,him,0.209
90.9638,26.8113,268.3205,IN/EU,him,0.08
91.0845,26.8241,263.2571,IN/EU,him,0.066
91.1873,26.8036,272.9667,IN/EU,him,0.057
91.29,26.783,282.6763,IN/EU,him,0.069
91.4339,26.783,277.4854,IN/EU,him,0.119
91.5777,26.783,272.2945,IN/EU,him,0.105
91.7627,26.8292,254.3942,IN/EU,him,0.207
91.8808,26.8472,257.3843,IN/EU,him,0.202
91.999,26.8652,260.3743,IN/EU,him,0.177
92.1737,26.896,259.6302,IN/EU,him,0.133
92.3484,26.9268,258.8862,IN/EU,him,0.203
92.5334,26.932,268.2573,IN/EU,him,0.139
92.6875,26.9166,276.4343,IN/EU,him,0.103
92.8416,26.9166,274.1967,IN/EU,him,0.084
93.0266,26.9063,273.6069,IN/EU,him,0.085
93.1808,26.9294,267.0633,IN/EU,him,0.141
93.3349,26.9525,260.5196,IN/EU,him,0.13
93.4993,26.9808,259.8389,IN/EU,him,0.099
93.6637,27.009,259.1582,IN/EU,him,0.181
93.7459,27.0733,243.9662,IN/EU,him,0.094
93.8281,27.1375,228.7741,IN/EU,him,0.103
93.8975,27.2197,222.8436,IN/EU,him,0.099
93.9668,27.3019,216.9131,IN/EU,him,0.245
94.085,27.3892,230.2627,IN/EU,him,0.11
94.1531,27.4452,227.2355,IN/EU,him,0.112
94.2288,27.5074,227.222,IN/EU,him,0.12
94.3719,27.5862,238.2001,IN/EU,him,0.413
94.4943,27.6136,247.0386,IN/EU,him,0.148
94.6167,27.641,255.8771,IN/EU,him,0.106
94.7708,27.7052,250.3731,IN/EU,him,0.125
94.925,27.7694,244.869,IN/EU,him,0.125
95.0688,27.8285,245.0124,IN/EU,him,0.319
95.2127,27.8876,245.1558,IN/EU,him,0.125
95.2846,27.9647,245.1558,IN/EU,him,0.143
