id_no,time,lat,lon,depth,mag,event_type,mrr,mtt,mpp,mrt,mrp,mtp,type,moment_lat,moment_lon,moment_depth,moment_duration
0,9-5-2012T15:15:25.6,9.8892,-85.3559,23.5000,3.3000,earthquake,1035404999999999967232.0000,-552788600000000032768.0000,-482616800000000000000.0000,74143129999999991808.0000,-368506400000000000000.0000,558884499999999983616.0000,nan,9.8892,-85.3559,23.5000,nan
1,9-5-2012T15:35:46.57,9.7316,-85.2349,20.9000,3.9000,earthquake,863774599999999967232.0000,416653100000000016384.0000,-1280428000000000131072.0000,8100613999999999541248.0000,1396595999999999868928.0000,-3253120000000000000000.0000,nan,9.7316,-85.2349,20.9000,nan
2,9-5-2012T15:47:15.59,10.0080,-85.5981,22.5000,3.5000,earthquake,1987376000000000000000.0000,-1731630999999999901696.0000,-255745500000000016384.0000,985412600000000032768.0000,-54424850000000000000.0000,728741600000000000000.0000,nan,10.0080,-85.5981,22.5000,nan
3,9-5-2012T16:9:33.82,9.9365,-85.4552,24.6000,3.0000,earthquake,268333800000000000000.0000,-281801900000000016384.0000,13468110000000000000.0000,273666000000000000000.0000,-60159160000000000000.0000,-64643380000000000000.0000,nan,9.9365,-85.4552,24.6000,nan
4,9-5-2012T16:31:49.96,9.6240,-85.1745,17.8000,3.1000,earthquake,180289100000000016384.0000,-474407100000000016384.0000,294118000000000000000.0000,232977100000000016384.0000,-299672800000000000000.0000,10480900000000000000.0000,nan,9.6240,-85.1745,17.8000,nan
5,9-5-2012T16:35:10.56,9.9175,-85.5670,21.5000,3.0000,earthquake,267726499999999983616.0000,-315884899999999983616.0000,48158470000000000000.0000,-79793830000000008192.0000,-169051699999999983616.0000,191451699999999983616.0000,nan,9.9175,-85.5670,21.5000,nan
6,9-5-2012T16:46:42.83,9.8892,-85.6611,21.4000,3.2000,earthquake,438269200000000000000.0000,2545198000000000000.0000,-440814400000000000000.0000,-88792840000000000000.0000,-601194699999999950848.0000,261603200000000000000.0000,nan,9.8892,-85.6611,21.4000,nan
7,9-5-2012T16:49:6,9.9756,-85.5956,22.7000,2.9000,earthquake,122347400000000000000.0000,-133128800000000000000.0000,10781420000000000000.0000,235845299999999983616.0000,-85908400000000000000.0000,5037183000000000000.0000,nan,9.9756,-85.5956,22.7000,nan
8,9-5-2012T16:51:50.6,9.6713,-85.1878,19.4000,2.9000,earthquake,126657300000000000000.0000,-116488400000000000000.0000,-10168920000000000000.0000,204007299999999983616.0000,-34067870000000000000.0000,-147633800000000000000.0000,nan,9.6713,-85.1878,19.4000,nan
9,9-5-2012T17:5:15.8,9.9011,-85.5779,21.8000,3.0000,earthquake,122348000000000000000.0000,-134174400000000000000.0000,11826410000000000000.0000,365432999999999967232.0000,-91047880000000000000.0000,-10124610000000000000.0000,nan,9.9011,-85.5779,21.8000,nan
10,9-5-2012T17:26:10.27,9.9395,-85.5254,24.1000,2.7000,earthquake,73091720000000000000.0000,8554387000000000000.0000,-81646110000000008192.0000,-25774140000000000000.0000,-111695900000000000000.0000,27775960000000000000.0000,nan,9.9395,-85.5254,24.1000,nan
11,9-5-2012T17:51:55.35,9.9862,-85.5875,22.6000,3.3000,earthquake,622748000000000000000.0000,-646729600000000000000.0000,23981560000000000000.0000,908712800000000000000.0000,-168083000000000000000.0000,-39872860000000000000.0000,nan,9.9862,-85.5875,22.6000,nan
12,9-5-2012T18:56:52.97,9.7332,-85.1971,12.6000,2.4000,earthquake,45271770000000000000.0000,-22853250000000000000.0000,-22418520000000000000.0000,18551530000000000000.0000,-3431123000000000000.0000,24874840000000000000.0000,nan,9.7332,-85.1971,12.6000,nan
13,9-5-2012T19:1:10.84,9.8774,-85.6008,20.1000,2.8000,earthquake,129620700000000000000.0000,-179846700000000016384.0000,50226000000000000000.0000,70215270000000000000.0000,-94320150000000008192.0000,12236360000000000000.0000,nan,9.8774,-85.6008,20.1000,nan
14,9-5-2012T19:29:48.35,9.8026,-85.6011,19.5000,3.7000,earthquake,463431200000000000000.0000,359126300000000016384.0000,-822557500000000016384.0000,2489243000000000032768.0000,-3639505000000000098304.0000,11197710000000000000.0000,nan,9.8026,-85.6011,19.5000,nan
15,9-5-2012T19:33:47.92,9.9110,-85.5705,22.0000,2.7000,earthquake,74750500000000000000.0000,-73711830000000000000.0000,-1038671000000000000.0000,115579400000000000000.0000,30917270000000000000.0000,-11272150000000000000.0000,nan,9.9110,-85.5705,22.0000,nan
16,9-5-2012T20:8:51.77,9.9636,-85.5893,22.5000,2.9000,earthquake,255303000000000000000.0000,-249440099999999983616.0000,-5862906000000000000.0000,65785550000000000000.0000,-59923550000000000000.0000,-88301150000000008192.0000,nan,9.9636,-85.5893,22.5000,nan
17,9-5-2012T20:13:3.75,9.8884,-85.6079,20.4000,2.3000,earthquake,7215780000000000000.0000,-703170100000000000.0000,-6512610000000000000.0000,14785080000000000000.0000,-31427130000000000000.0000,2274659000000000000.0000,nan,9.8884,-85.6079,20.4000,nan
