lon,lat,depth,unc,etype,src
139.1181,41.5026,208.5720,nan,ER,nan
140.6742,41.4604,146.8610,nan,ER,nan
139.3933,41.1047,23.5430,nan,ER,nan
140.6967,41.4664,121.9010,nan,ER,nan
140.8922,41.1345,105.7650,nan,ER,nan
140.4961,41.4959,129.0050,nan,ER,nan
140.9390,41.3988,104.9750,nan,ER,nan
139.5701,41.9927,192.4160,nan,ER,nan
140.2980,41.6659,135.2600,nan,ER,nan
140.5746,41.2786,132.5870,nan,ER,nan
140.7512,41.9330,149.5650,nan,ER,nan
140.2304,41.1453,155.4820,nan,ER,nan
140.5335,41.3705,154.4150,nan,ER,nan
140.1265,41.5804,175.0270,nan,ER,nan
140.6810,41.4844,141.9930,nan,ER,nan
140.0471,41.0822,161.8510,nan,ER,nan
140.8317,41.4997,136.8420,nan,ER,nan
140.8400,41.5524,150.5090,nan,ER,nan
140.8293,41.9492,115.8090,nan,ER,nan
140.1205,41.6696,176.0520,nan,ER,nan
140.1238,41.0005,163.2810,nan,ER,nan
140.2377,41.2411,171.9670,nan,ER,nan
139.0914,41.1374,25.6800,nan,ER,nan
140.7992,41.9634,119.0970,nan,ER,nan
139.1957,41.3355,15.7740,nan,ER,nan
140.6634,41.4437,146.8800,nan,ER,nan
140.6513,41.6484,127.2640,nan,ER,nan
140.4197,41.0602,130.0170,nan,ER,nan
140.9766,41.0512,103.4170,nan,ER,nan
140.2608,41.2897,156.7320,nan,ER,nan
140.1178,41.6173,145.6310,nan,ER,nan
140.0020,41.1589,168.2480,nan,ER,nan
140.4617,41.4095,163.4040,nan,ER,nan
140.1893,41.0281,151.5480,nan,ER,nan
140.0833,41.5281,154.3110,nan,ER,nan
140.8060,41.1895,109.4200,nan,ER,nan
140.3283,41.2837,152.3040,nan,ER,nan
140.5793,41.4510,124.9770,nan,ER,nan
140.2696,41.1318,169.2500,nan,ER,nan
140.2527,41.0197,166.0090,nan,ER,nan
140.7374,41.4710,131.1320,nan,ER,nan
140.6119,41.8615,161.8980,nan,ER,nan
140.2615,41.2377,153.3620,nan,ER,nan
140.0033,41.4579,160.7820,nan,ER,nan
139.4896,41.5370,184.5400,nan,ER,nan
140.9060,41.1881,104.8420,nan,ER,nan
140.3691,41.3277,164.3300,nan,ER,nan
139.9971,41.5498,158.0580,nan,ER,nan
139.6462,41.6528,179.4420,nan,ER,nan
139.8583,41.9882,182.5960,nan,ER,nan
140.0944,41.4721,149.5060,nan,ER,nan
140.5247,41.3616,154.8450,nan,ER,nan
140.3215,41.7787,133.7580,nan,ER,nan
139.7703,41.4034,171.5790,nan,ER,nan
140.3284,41.1516,166.0020,nan,ER,nan
139.0363,41.9342,25.9820,nan,ER,nan
140.7996,41.7106,111.4650,nan,ER,nan
140.8267,41.2809,109.3890,nan,ER,nan
140.3840,41.2186,140.1720,nan,ER,nan
140.2058,41.0641,159.9180,nan,ER,nan
140.5024,41.3858,148.8510,nan,ER,nan
139.2952,41.0175,15.2170,nan,ER,nan
140.4366,41.0772,130.8380,nan,ER,nan
140.6811,41.6311,129.5070,nan,ER,nan
140.0876,41.4495,151.7150,nan,ER,nan
139.5379,41.4327,179.9740,nan,ER,nan
140.9384,41.1551,100.4790,nan,ER,nan
140.8961,41.6756,112.7020,nan,ER,nan
139.8950,41.9763,175.5800,nan,ER,nan
140.9802,41.9168,143.4870,nan,ER,nan
139.1571,41.5179,207.0200,nan,ER,nan
140.6944,41.4959,119.6610,nan,ER,nan
140.1345,41.4784,152.8780,nan,ER,nan
140.1353,41.5988,180.8550,nan,ER,nan
140.8338,41.7630,117.5490,nan,ER,nan
140.4000,41.2290,167.6040,nan,ER,nan
140.6514,41.5453,124.3100,nan,ER,nan
140.6265,41.5299,123.2900,nan,ER,nan
140.7118,41.6642,121.2770,nan,ER,nan
140.6842,41.5015,149.3430,nan,ER,nan
139.9806,41.6264,168.8920,nan,ER,nan
140.5092,41.3898,159.7260,nan,ER,nan
140.4107,41.2641,162.0660,nan,ER,nan
140.7848,41.1443,105.4150,nan,ER,nan
140.4488,41.2553,165.2710,nan,ER,nan
140.0553,41.0400,162.5240,nan,ER,nan
140.1131,41.9784,180.9750,nan,ER,nan
139.1598,41.3894,215.4160,nan,ER,nan
140.2285,41.5715,167.9440,nan,ER,nan
140.4334,41.7122,129.3990,nan,ER,nan
140.4911,41.4202,155.9040,nan,ER,nan
140.6570,41.6408,122.0200,nan,ER,nan
140.5221,41.2519,142.6510,nan,ER,nan
140.0786,41.3214,175.8360,nan,ER,nan
139.8438,41.7347,165.8470,nan,ER,nan
140.3943,41.4360,169.5430,nan,ER,nan
139.1596,41.9897,19.3180,nan,ER,nan
140.3882,41.2166,161.3800,nan,ER,nan
140.8635,41.1178,109.9520,nan,ER,nan
140.4820,41.3790,142.0250,nan,ER,nan
140.4618,41.3678,155.6310,nan,ER,nan
140.5444,41.4611,137.8800,nan,ER,nan
140.5533,41.4540,150.3930,nan,ER,nan
140.8063,41.9697,119.9930,nan,ER,nan
140.0705,41.6637,175.2450,nan,ER,nan
140.6663,41.4729,139.9010,nan,ER,nan
140.5995,41.3624,148.8640,nan,ER,nan
140.0460,41.0828,152.5740,nan,ER,nan
140.4659,41.5093,126.7410,nan,ER,nan
139.3104,41.0208,16.5480,nan,ER,nan
139.9706,41.8020,162.4180,nan,ER,nan
140.6900,41.9676,126.0550,nan,ER,nan
140.7560,41.6889,119.3120,nan,ER,nan
