lon,lat,depth,unc,Reference_,Location_T
-126.85757,50.38837267,30.0,4,1.0,TELESEISMIC RECEIVER FUNCTION (PASSIVE SOURCE) >2003 new
-126.9286945,50.10947055,30.0,4,1.0,TELESEISMIC RECEIVER FUNCTION (PASSIVE SOURCE) >2003 new
-126.800759,50.14257557,30.0,4,1.0,TELESEISMIC RECEIVER FUNCTION (PASSIVE SOURCE) >2003 new
-126.5261682,50.19983499,30.0,4,1.0,TELESEISMIC RECEIVER FUNCTION (PASSIVE SOURCE) >2003 new
-126.4408516,50.09920486,30.0,4,1.0,TELESEISMIC RECEIVER FUNCTION (PASSIVE SOURCE) >2003 new
-124.0423483,44.42783144,25.0,4,1.0,TELESEISMIC RECEIVER FUNCTION (PASSIVE SOURCE) >2003 new
-123.9523224,44.4246715,25.0,4,1.0,TELESEISMIC RECEIVER FUNCTION (PASSIVE SOURCE) >2003 new
-123.6262526,44.4243871,30.0,4,1.0,TELESEISMIC RECEIVER FUNCTION (PASSIVE SOURCE) >2003 new
-123.3983877,44.4271737,35.0,4,1.0,TELESEISMIC RECEIVER FUNCTION (PASSIVE SOURCE) >2003 new
-123.0918187,44.41438214,45.0,4,1.0,TELESEISMIC RECEIVER FUNCTION (PASSIVE SOURCE) >2003 new
-123.2637094,44.41871689,40.0,4,1.0,TELESEISMIC RECEIVER FUNCTION (PASSIVE SOURCE) >2003 new
-127.1606966,50.06703353,25.0,4,1.0,TELESEISMIC RECEIVER FUNCTION (PASSIVE SOURCE) >2003 new
-126.2558267,50.25674669,35.0,4,1.0,TELESEISMIC RECEIVER FUNCTION (PASSIVE SOURCE) >2003 new
-126.1184671,50.28757749,40.0,4,1.0,TELESEISMIC RECEIVER FUNCTION (PASSIVE SOURCE) >2003 new
-126.2189167,49.94777807,35.0,4,1.0,TELESEISMIC RECEIVER FUNCTION (PASSIVE SOURCE) >2003 new
-124.7428122,48.51338214,20.0,4,1.0,TELESEISMIC RECEIVER FUNCTION (PASSIVE SOURCE) >2003 new
-124.2568807,48.56968786,25.0,4,1.0,TELESEISMIC RECEIVER FUNCTION (PASSIVE SOURCE) >2003 new
-123.801373,48.61597391,30.0,4,1.0,TELESEISMIC RECEIVER FUNCTION (PASSIVE SOURCE) >2003 new
-123.2751237,48.66602813,40.0,4,1.0,TELESEISMIC RECEIVER FUNCTION (PASSIVE SOURCE) >2003 new
-123.5664915,48.6381507,35.0,4,1.0,TELESEISMIC RECEIVER FUNCTION (PASSIVE SOURCE) >2003 new
