lat,lon,depth
-38.1724,-63.5636,584.8837
-38.1817,-63.3589,591.8661
-38.1907,-63.1552,599.8333
-38.1995,-62.9380,604.8955
-38.2080,-62.7540,617.4302
-38.2175,-62.5953,636.5615
-38.2403,-61.9585,657.2514
-38.2446,-61.7240,658.7786
-38.2484,-61.4957,662.0554
-38.2519,-61.2765,667.0070
-38.2549,-61.0597,672.7423
-38.2610,-60.8707,686.9817
-38.2659,-60.6814,699.9459
-37.9636,-70.2395,229.8211
-37.9760,-69.9726,231.3492
-37.9873,-69.7020,230.1584
-37.9871,-69.5112,242.8564
-37.9825,-69.3549,262.4164
-37.9796,-69.1790,277.8599
-37.9762,-68.9945,292.0354
-37.9722,-68.8071,304.8007
-37.9662,-68.6264,319.1787
-37.9582,-68.4481,334.1952
-37.9553,-68.2402,340.3468
-37.9495,-68.0439,350.1922
-37.9411,-67.8617,362.6370
-37.9323,-67.6801,375.0043
-37.9260,-67.4883,384.4158
-37.9171,-67.3110,396.5837
-37.9103,-67.1246,406.9165
-37.9020,-66.9486,419.0977
-37.8963,-66.7671,429.4320
-37.8893,-66.5932,441.7357
-37.8883,-66.4041,449.3335
-37.8781,-66.2515,466.5532
-37.8792,-66.0633,474.3853
-37.8794,-65.8837,484.2254
-37.8798,-65.7080,495.1513
-37.8832,-65.5244,504.3230
-37.8887,-65.3377,512.6627
-37.8958,-65.1452,520.2303
-37.9044,-64.9485,526.9553
-37.9129,-64.7553,534.7464
-37.9236,-64.5464,539.8701
-37.9334,-64.3478,546.8749
-37.9415,-64.1633,557.7675
-37.9518,-63.9609,564.9303
-37.9618,-63.7621,573.0654
-37.9720,-63.5553,580.3349
-37.9820,-63.3507,587.4933
-37.9918,-63.1338,592.8205
-38.0009,-62.9207,598.9965
-38.0098,-62.7284,609.7995
-38.0199,-62.5702,629.0619
-38.0456,-61.9608,656.7957
-38.0499,-61.7214,657.5028
-38.0535,-61.4884,659.9391
-38.0572,-61.2685,664.9800
-38.0623,-61.0654,674.6251
-38.0671,-60.8616,685.0793
-38.0721,-60.6680,697.1221
-37.7648,-70.2523,229.4412
-37.7692,-70.0273,238.3182
-37.7806,-69.7530,237.5388
-37.7838,-69.5309,245.0320
-37.7828,-69.3376,257.3309
-37.7791,-69.1615,272.8124
-37.7750,-68.9766,286.9720
-37.7703,-68.7888,299.6652
