21.7861365473 33.8067294195 2.1472
21.8850582083 33.9752991839 2.48442
22.0073505113 34.1826651261 2.18447
22.1240849699 34.3795478851 2.20401
22.2444609046 34.5814918121 2.86508
22.3669789919 34.7859058593 3.2059
22.4885445224 34.9876134116 3.22595
22.6107066197 35.1891929639 4.20753
22.7287352191 35.3828905716 7.11143
22.8536672546 35.5867845921 11.6189
22.9808244165 35.7931174936 17.7292
23.10543542 35.9941554233 24.8005
23.2274510738 36.1898940047 34.756
23.3500690195 36.3854938575 46.955
23.4798021004 36.5912420436 61.3986
23.6102192641 36.7968343008 78.0859
23.7429694134 37.0048315315 97.9785
23.8731318647 37.2075323783 120.114
23.9940270345 37.3947041958 141.607
24.1238696892 37.594556413 165.025
24.2577649137 37.7993799466 189.725
