lon,lat,depth,unc,etype,src
174.9228,-41.9596,12.5509,nan,AS,nan
174.9227,-41.9595,12.5531,nan,AS,nan
174.9227,-41.9594,12.5553,nan,AS,nan
174.9226,-41.9593,12.5578,nan,AS,nan
174.9225,-41.9592,12.5607,nan,AS,nan
174.9224,-41.9591,12.5637,nan,AS,nan
174.9224,-41.9590,12.5679,nan,AS,nan
174.9223,-41.9589,12.5718,nan,AS,nan
174.9222,-41.9589,12.5764,nan,AS,nan
174.9221,-41.9588,12.5829,nan,AS,nan
174.9220,-41.9587,12.5874,nan,AS,nan
174.9220,-41.9586,12.5937,nan,AS,nan
174.9219,-41.9585,12.6002,nan,AS,nan
174.9218,-41.9584,12.6057,nan,AS,nan
174.9217,-41.9583,12.6128,nan,AS,nan
174.9216,-41.9582,12.6181,nan,AS,nan
174.9216,-41.9581,12.6242,nan,AS,nan
174.9215,-41.9580,12.6300,nan,AS,nan
174.9214,-41.9579,12.6352,nan,AS,nan
174.9213,-41.9578,12.6406,nan,AS,nan
174.9212,-41.9577,12.6455,nan,AS,nan
174.9212,-41.9576,12.6503,nan,AS,nan
174.9211,-41.9575,12.6553,nan,AS,nan
174.9210,-41.9574,12.6608,nan,AS,nan
174.9209,-41.9573,12.6662,nan,AS,nan
174.9208,-41.9572,12.6718,nan,AS,nan
174.9208,-41.9571,12.6771,nan,AS,nan
174.9207,-41.9570,12.6829,nan,AS,nan
174.9206,-41.9569,12.6877,nan,AS,nan
174.9205,-41.9569,12.6933,nan,AS,nan
174.9204,-41.9568,12.6980,nan,AS,nan
174.9204,-41.9567,12.7039,nan,AS,nan
174.9203,-41.9566,12.7092,nan,AS,nan
174.9202,-41.9565,12.7148,nan,AS,nan
174.9201,-41.9564,12.7198,nan,AS,nan
174.9200,-41.9563,12.7254,nan,AS,nan
174.9200,-41.9562,12.7308,nan,AS,nan
174.9199,-41.9561,12.7363,nan,AS,nan
174.9198,-41.9560,12.7409,nan,AS,nan
174.9197,-41.9559,12.7467,nan,AS,nan
174.9196,-41.9558,12.7505,nan,AS,nan
174.9196,-41.9557,12.7551,nan,AS,nan
174.9195,-41.9556,12.7590,nan,AS,nan
174.9194,-41.9555,12.7619,nan,AS,nan
174.9193,-41.9554,12.7647,nan,AS,nan
174.9192,-41.9553,12.7672,nan,AS,nan
174.9191,-41.9552,12.7687,nan,AS,nan
174.9191,-41.9551,12.7704,nan,AS,nan
174.9190,-41.9550,12.7716,nan,AS,nan
174.9189,-41.9549,12.7727,nan,AS,nan
174.9188,-41.9548,12.7738,nan,AS,nan
174.9188,-41.9548,12.7745,nan,AS,nan
174.9187,-41.9547,12.7750,nan,AS,nan
174.9186,-41.9546,12.7754,nan,AS,nan
174.9185,-41.9545,12.7757,nan,AS,nan
174.9184,-41.9544,12.7758,nan,AS,nan
174.9183,-41.9543,12.7758,nan,AS,nan
174.9183,-41.9542,12.7753,nan,AS,nan
174.9182,-41.9541,12.7746,nan,AS,nan
174.9181,-41.9540,12.7743,nan,AS,nan
174.9180,-41.9539,12.7742,nan,AS,nan
174.9180,-41.9538,12.7743,nan,AS,nan
174.9179,-41.9537,12.7741,nan,AS,nan
174.9178,-41.9536,12.7735,nan,AS,nan
174.9177,-41.9535,12.7727,nan,AS,nan
174.9176,-41.9534,12.7721,nan,AS,nan
174.9175,-41.9533,12.7713,nan,AS,nan
174.9175,-41.9532,12.7696,nan,AS,nan
174.9174,-41.9531,12.7684,nan,AS,nan
174.9173,-41.9530,12.7682,nan,AS,nan
174.9172,-41.9529,12.7671,nan,AS,nan
174.9172,-41.9528,12.7657,nan,AS,nan
174.9171,-41.9528,12.7645,nan,AS,nan
174.9170,-41.9527,12.7631,nan,AS,nan
174.9169,-41.9526,12.7610,nan,AS,nan
174.9168,-41.9525,12.7603,nan,AS,nan
174.9167,-41.9524,12.7584,nan,AS,nan
174.9167,-41.9523,12.7563,nan,AS,nan
174.9166,-41.9522,12.7554,nan,AS,nan
174.9165,-41.9521,12.7532,nan,AS,nan
174.9164,-41.9520,12.7511,nan,AS,nan
174.9163,-41.9519,12.7492,nan,AS,nan
174.9163,-41.9518,12.7461,nan,AS,nan
174.9162,-41.9517,12.7438,nan,AS,nan
174.9161,-41.9516,12.7407,nan,AS,nan
174.9160,-41.9515,12.7382,nan,AS,nan
174.9159,-41.9514,12.7341,nan,AS,nan
174.9159,-41.9513,12.7303,nan,AS,nan
174.9158,-41.9512,12.7266,nan,AS,nan
174.9157,-41.9511,12.7219,nan,AS,nan
174.9156,-41.9510,12.7175,nan,AS,nan
174.9155,-41.9509,12.7138,nan,AS,nan
174.9155,-41.9508,12.7091,nan,AS,nan
174.9154,-41.9508,12.7059,nan,AS,nan
174.9153,-41.9507,12.7014,nan,AS,nan
174.9152,-41.9506,12.6963,nan,AS,nan
174.9151,-41.9505,12.6907,nan,AS,nan
174.9151,-41.9504,12.6848,nan,AS,nan
174.9150,-41.9503,12.6786,nan,AS,nan
174.9149,-41.9502,12.6722,nan,AS,nan
174.9148,-41.9501,12.6667,nan,AS,nan
174.9147,-41.9500,12.6617,nan,AS,nan
174.9147,-41.9499,12.6560,nan,AS,nan
174.9146,-41.9498,12.6505,nan,AS,nan
174.9145,-41.9497,12.6446,nan,AS,nan
174.9144,-41.9496,12.6386,nan,AS,nan
174.9143,-41.9495,12.6324,nan,AS,nan
174.9143,-41.9494,12.6264,nan,AS,nan
174.9142,-41.9493,12.6197,nan,AS,nan
174.9141,-41.9492,12.6127,nan,AS,nan
174.9140,-41.9491,12.6060,nan,AS,nan
174.9139,-41.9490,12.5974,nan,AS,nan
174.9139,-41.9489,12.5885,nan,AS,nan
174.9138,-41.9488,12.5794,nan,AS,nan
174.9137,-41.9487,12.5724,nan,AS,nan
174.9136,-41.9486,12.5661,nan,AS,nan
174.9135,-41.9486,12.5582,nan,AS,nan
174.9135,-41.9485,12.5503,nan,AS,nan
174.9134,-41.9484,12.5437,nan,AS,nan
174.9133,-41.9483,12.5367,nan,AS,nan
174.9132,-41.9482,12.5300,nan,AS,nan
174.9131,-41.9481,12.5234,nan,AS,nan
174.9131,-41.9480,12.5168,nan,AS,nan
174.9130,-41.9479,12.5090,nan,AS,nan
174.9129,-41.9478,12.5002,nan,AS,nan
174.9128,-41.9477,12.4896,nan,AS,nan
174.9127,-41.9476,12.4829,nan,AS,nan
174.9127,-41.9475,12.4753,nan,AS,nan
174.9126,-41.9474,12.4683,nan,AS,nan
