lon,lat,depth
-174.4986,-24.4325,5.8917
-174.5474,-24.4326,5.9594
-174.5974,-24.4326,5.9594
-174.6463,-24.4326,6.0271
-174.6952,-24.4326,6.0948
-174.7451,-24.4326,6.1625
-174.7951,-24.4326,6.3657
-174.8440,-24.4325,6.7043
-174.8929,-24.4325,7.1106
-174.9429,-24.4324,7.3815
-174.9917,-24.4323,8.7359
-175.0384,-24.4322,8.4650
-175.0906,-24.4321,8.2619
-175.1406,-24.4320,8.8036
-175.1894,-24.4318,9.2099
-175.2394,-24.4316,9.5485
-175.2894,-24.4314,10.3612
-175.3383,-24.4312,11.7833
-175.3883,-24.4310,13.4763
-175.4371,-24.4308,15.2370
-175.4871,-24.4305,16.9300
-175.5360,-24.4303,19.0293
-175.5838,-24.4300,21.1964
-175.6348,-24.4297,23.9729
-175.6848,-24.4294,26.7494
-175.7337,-24.4290,29.0113
-175.7837,-24.4287,31.6930
-175.8325,-24.4283,33.9955
