lon,lat,depth
25.9278,34.3970,64.1697
25.9179,34.4492,64.1814
25.9016,34.5352,64.2007
25.8864,34.6151,64.2186
25.8689,34.7072,64.2392
25.8513,34.7994,64.2599
25.8349,34.8854,63.8811
25.8178,34.9745,64.6971
25.8008,35.0635,65.9111
25.7836,35.1526,65.9310
25.7647,35.2509,66.3510
25.7492,35.3307,67.5630
25.7326,35.4167,69.1743
25.7153,35.5057,70.3882
25.6962,35.6039,72.7983
25.6795,35.6899,76.3997
25.6615,35.7819,80.7984
25.6440,35.8709,86.7885
25.6254,35.9660,93.9740
25.6109,36.0396,99.9607
25.5927,36.1316,107.1460
25.5794,36.1991,111.9370
