lon,lat,depth,unc,elev,thickness
288.4170,17.4170,1.3700,5.0000,-164.0000,1206.0000
288.5000,17.4170,1.9390,5.0000,-812.0000,1127.0000
288.5830,17.4170,2.5020,5.0000,-1441.0000,1061.0000
288.6670,17.4170,3.0980,5.0000,-2069.0000,1029.0000
288.7500,17.4170,3.6890,5.0000,-2678.0000,1011.0000
288.8330,17.4170,4.2990,5.0000,-3299.0000,1000.0000
288.9170,17.4170,4.2870,5.0000,-3290.0000,997.0000
289.0000,17.4170,4.9100,5.0000,-3908.0000,1002.0000
289.0830,17.4170,4.6000,5.0000,-3585.0000,1015.0000
289.1670,17.4170,4.7530,5.0000,-3709.0000,1044.0000
289.2500,17.4170,4.4120,5.0000,-3337.0000,1075.0000
289.3330,17.4170,5.0020,5.0000,-3897.0000,1105.0000
289.4170,17.4170,5.3070,5.0000,-4176.0000,1131.0000
289.5000,17.4170,5.4760,5.0000,-4324.0000,1152.0000
289.5830,17.4170,5.6360,5.0000,-4470.0000,1166.0000
289.6670,17.4170,5.7970,5.0000,-4627.0000,1170.0000
289.7500,17.4170,5.9180,5.0000,-4755.0000,1163.0000
289.8330,17.4170,5.9170,5.0000,-4776.0000,1141.0000
289.9170,17.4170,6.0370,5.0000,-4933.0000,1104.0000
290.0000,17.4170,5.9820,5.0000,-4930.0000,1052.0000
290.0830,17.4170,5.8320,5.0000,-4824.0000,1008.0000
290.1670,17.4170,5.9520,5.0000,-4878.0000,1074.0000
290.2500,17.4170,5.9150,5.0000,-4777.0000,1138.0000
290.3330,17.4170,5.8810,5.0000,-4697.0000,1184.0000
290.4170,17.4170,6.0880,5.0000,-4875.0000,1213.0000
290.5000,17.4170,6.2980,5.0000,-5071.0000,1227.0000
288.0000,17.3330,6.1550,5.0000,-4320.0000,1835.0000
288.0830,17.3330,5.6190,5.0000,-4370.0000,1249.0000
288.1670,17.3330,5.4350,5.0000,-4199.0000,1236.0000
288.2500,17.3330,3.3960,5.0000,-2167.0000,1229.0000
288.3330,17.3330,2.1820,5.0000,-991.0000,1191.0000
288.4170,17.3330,1.7080,5.0000,-574.0000,1134.0000
288.5000,17.3330,2.1390,5.0000,-1071.0000,1068.0000
288.5830,17.3330,2.7440,5.0000,-1739.0000,1005.0000
288.6670,17.3330,3.4440,5.0000,-2445.0000,999.0000
288.7500,17.3330,3.8450,5.0000,-2846.0000,999.0000
288.8330,17.3330,4.3470,5.0000,-3351.0000,996.0000
288.9170,17.3330,4.4240,5.0000,-3427.0000,997.0000
289.0000,17.3330,5.0400,5.0000,-4038.0000,1002.0000
289.0830,17.3330,3.7860,5.0000,-2773.0000,1013.0000
289.1670,17.3330,4.8210,5.0000,-3789.0000,1032.0000
289.2500,17.3330,4.7800,5.0000,-3726.0000,1054.0000
289.3330,17.3330,5.1560,5.0000,-4080.0000,1076.0000
289.4170,17.3330,5.3180,5.0000,-4222.0000,1096.0000
289.5000,17.3330,5.4370,5.0000,-4326.0000,1111.0000
289.5830,17.3330,5.5690,5.0000,-4448.0000,1121.0000
289.6670,17.3330,5.6620,5.0000,-4540.0000,1122.0000
289.7500,17.3330,5.7290,5.0000,-4617.0000,1112.0000
289.8330,17.3330,5.7840,5.0000,-4694.0000,1090.0000
289.9170,17.3330,5.9000,5.0000,-4846.0000,1054.0000
290.0000,17.3330,5.9270,5.0000,-4916.0000,1011.0000
290.0830,17.3330,5.9520,5.0000,-4954.0000,998.0000
290.1670,17.3330,6.1220,5.0000,-5083.0000,1039.0000
290.2500,17.3330,6.2780,5.0000,-5192.0000,1086.0000
290.3330,17.3330,6.4720,5.0000,-5349.0000,1123.0000
290.4170,17.3330,6.6700,5.0000,-5525.0000,1145.0000
290.5000,17.3330,6.6710,5.0000,-5519.0000,1152.0000
290.5830,17.3330,6.6870,5.0000,-5543.0000,1144.0000
290.6670,17.3330,6.6260,5.0000,-5505.0000,1121.0000
290.7500,17.3330,6.4050,5.0000,-5313.0000,1092.0000
290.8330,17.3330,5.8800,5.0000,-4798.0000,1082.0000
290.9170,17.3330,6.0400,5.0000,-4952.0000,1088.0000
288.0000,17.2500,5.9240,5.0000,-4276.0000,1648.0000
288.0830,17.2500,5.5810,5.0000,-4292.0000,1289.0000
288.1670,17.2500,4.3770,5.0000,-3184.0000,1193.0000
288.2500,17.2500,3.0440,5.0000,-1882.0000,1162.0000
288.3330,17.2500,2.2200,5.0000,-1090.0000,1130.0000
288.4170,17.2500,2.2220,5.0000,-1135.0000,1087.0000
288.5000,17.2500,2.3840,5.0000,-1346.0000,1038.0000
288.5830,17.2500,3.3500,5.0000,-2349.0000,1001.0000
288.6670,17.2500,3.7970,5.0000,-2804.0000,993.0000
288.7500,17.2500,4.1240,5.0000,-3131.0000,993.0000
288.8330,17.2500,4.5260,5.0000,-3532.0000,994.0000
288.9170,17.2500,4.6920,5.0000,-3696.0000,996.0000
289.0000,17.2500,5.0080,5.0000,-4008.0000,1000.0000
289.0830,17.2500,4.0900,5.0000,-3081.0000,1009.0000
289.1670,17.2500,5.0030,5.0000,-3981.0000,1022.0000
289.2500,17.2500,5.0890,5.0000,-4053.0000,1036.0000
289.3330,17.2500,5.1660,5.0000,-4116.0000,1050.0000
289.4170,17.2500,5.2610,5.0000,-4197.0000,1064.0000
289.5000,17.2500,5.3630,5.0000,-4286.0000,1077.0000
289.5830,17.2500,5.4450,5.0000,-4361.0000,1084.0000
289.6670,17.2500,5.5140,5.0000,-4429.0000,1085.0000
289.7500,17.2500,5.6810,5.0000,-4604.0000,1077.0000
289.8330,17.2500,5.6660,5.0000,-4606.0000,1060.0000
289.9170,17.2500,5.7250,5.0000,-4690.0000,1035.0000
290.0000,17.2500,5.7580,5.0000,-4747.0000,1011.0000
290.0830,17.2500,5.8460,5.0000,-4839.0000,1007.0000
290.1670,17.2500,5.9660,5.0000,-4937.0000,1029.0000
290.2500,17.2500,6.1060,5.0000,-5048.0000,1058.0000
290.3330,17.2500,6.2740,5.0000,-5192.0000,1082.0000
290.4170,17.2500,6.3480,5.0000,-5252.0000,1096.0000
290.5000,17.2500,6.4370,5.0000,-5341.0000,1096.0000
290.5830,17.2500,6.4640,5.0000,-5384.0000,1080.0000
290.6670,17.2500,6.5400,5.0000,-5492.0000,1048.0000
290.7500,17.2500,6.5570,5.0000,-5553.0000,1004.0000
290.8330,17.2500,6.5450,5.0000,-5547.0000,998.0000
290.9170,17.2500,6.5670,5.0000,-5545.0000,1022.0000
291.0000,17.2500,6.5260,5.0000,-5492.0000,1034.0000
291.0830,17.2500,6.5850,5.0000,-5553.0000,1032.0000
291.1670,17.2500,6.4510,5.0000,-5433.0000,1018.0000
291.2500,17.2500,6.4400,5.0000,-5442.0000,998.0000
291.3330,17.2500,6.4860,5.0000,-5478.0000,1008.0000
288.0000,17.1670,5.8850,5.0000,-4359.0000,1526.0000
288.0830,17.1670,5.6520,5.0000,-4341.0000,1311.0000
288.1670,17.1670,4.3690,5.0000,-3171.0000,1198.0000
288.2500,17.1670,2.5810,5.0000,-1440.0000,1141.0000
288.3330,17.1670,2.4610,5.0000,-1362.0000,1099.0000
288.4170,17.1670,2.8540,5.0000,-1796.0000,1058.0000
288.5000,17.1670,3.1840,5.0000,-2166.0000,1018.0000
288.5830,17.1670,3.9120,5.0000,-2914.0000,998.0000
288.6670,17.1670,4.1600,5.0000,-3168.0000,992.0000
288.7500,17.1670,4.1790,5.0000,-3186.0000,993.0000
288.8330,17.1670,4.7150,5.0000,-3721.0000,994.0000
288.9170,17.1670,4.8980,5.0000,-3902.0000,996.0000
289.0000,17.1670,5.0060,5.0000,-4006.0000,1000.0000
289.0830,17.1670,4.9120,5.0000,-3907.0000,1005.0000
289.1670,17.1670,4.9490,5.0000,-3937.0000,1012.0000
289.2500,17.1670,5.0260,5.0000,-4007.0000,1019.0000
289.3330,17.1670,5.1550,5.0000,-4129.0000,1026.0000
289.4170,17.1670,5.2420,5.0000,-4205.0000,1037.0000
289.5000,17.1670,5.3050,5.0000,-4257.0000,1048.0000
289.5830,17.1670,5.3760,5.0000,-4320.0000,1056.0000
289.6670,17.1670,5.4240,5.0000,-4367.0000,1057.0000
289.7500,17.1670,5.5210,5.0000,-4469.0000,1052.0000
289.8330,17.1670,5.5770,5.0000,-4535.0000,1042.0000
289.9170,17.1670,5.4830,5.0000,-4456.0000,1027.0000
290.0000,17.1670,5.7070,5.0000,-4692.0000,1015.0000
290.0830,17.1670,5.7500,5.0000,-4735.0000,1015.0000
290.1670,17.1670,5.8420,5.0000,-4817.0000,1025.0000
290.2500,17.1670,5.8890,5.0000,-4848.0000,1041.0000
290.3330,17.1670,6.0530,5.0000,-4999.0000,1054.0000
290.4170,17.1670,6.1380,5.0000,-5077.0000,1061.0000
290.5000,17.1670,6.1920,5.0000,-5134.0000,1058.0000
