121.838204866 -11.383163372 2.43456
121.825000874 -11.1548598447 2.40107
121.811816809 -10.9265417679 3.55293
121.798347138 -10.6929137833 4.70401
121.786425358 -10.4858322735 5.85898
121.7736044 -10.2628220748 7.01162
121.761106108 -10.045120861 8.16504
121.748624222 -9.82741208625 9.91113
121.734942796 -9.58845098786 12.8395
121.722492117 -9.37069251198 18.7343
121.710056247 -9.15291959481 25.8144
121.696421515 -8.91384541204 38.2255
121.684315814 -8.70131831859 50.6405
121.67100989 -8.46744125415 72.5352
121.658321999 -8.24416169484 96.2095
121.646048732 -8.02793801337 121.86
121.632373593 -7.78674534308 163.707
121.619511921 -7.55964580182 211.088
121.608253029 -7.36064982325 276.648
121.595389583 -7.13307521967 364.331
121.583309719 -6.91915678648 494.688
121.57044655 -6.69115355846 618.721
