lon,lat
123.593,22.9623
123.3612,22.9443
123.1294,22.9262
122.8976,22.9081
122.6659,22.8901
122.4336,22.888
122.2011,22.8933
121.9686,22.8985
121.7362,22.9038
121.5037,22.9097
121.2713,22.9156
121.0388,22.9215
120.8063,22.9275
120.5739,22.9334
120.4179,23.0826
120.2721,23.2509
120.1263,23.4192
119.9805,23.5876
119.8348,23.7559
119.742,23.938
119.7734,24.1526
119.8048,24.3671
119.8362,24.5816
119.8676,24.7962
119.8991,25.0107
119.9305,25.2252
119.9619,25.4398
119.9933,25.6543
120.0247,25.8688
120.0562,26.0834
120.0876,26.2979
120.1357,26.4992
120.3585,26.5616
120.5814,26.624
120.8042,26.6864
121.027,26.7488
121.2499,26.8112
121.4727,26.8736
121.6956,26.936
121.9184,26.9983
122.1412,27.0607
122.3641,27.1231
122.4748,27.0201
122.5103,26.8063
122.5458,26.5925
122.5813,26.3786
122.6168,26.1648
122.6533,25.9512
122.7172,25.7432
122.7811,25.5352
122.845,25.3272
122.9089,25.1192
122.9727,24.9112
123.0366,24.7032
123.1005,24.4953
123.1644,24.2873
123.2283,24.0793
123.2922,23.8713
