lon,lat
-75.9322,-46.9678
-75.8261,-46.3952
-75.895,-45.8224
-75.8437,-45.2522
-75.2303,-45.0614
-74.4585,-44.9966
-74.4101,-44.4429
-74.3973,-43.865
-73.9966,-43.5036
-73.8111,-43.0914
-73.0397,-43.0243
-72.2683,-42.9572
-71.6508,-42.7895
-71.6616,-42.2117
-71.6724,-41.6338
-71.5246,-41.0932
-71.4602,-40.54
-70.7623,-40.3672
-70.7263,-39.9495
-70.7675,-39.3142
-70.3837,-38.8862
-70.3214,-38.317
-70.2635,-37.6879
-70.3402,-37.1491
-70.4011,-36.5814
-69.984,-36.0818
-69.4657,-35.6139
-69.31,-35.0054
-69.2911,-34.3692
-68.6956,-34.1786
-67.919,-34.1278
-67.7392,-33.6259
-67.2452,-33.2644
-67.1603,-32.6581
-66.6671,-32.1708
-66.1608,-31.6862
-65.6545,-31.2016
-65.2525,-30.6814
-64.7308,-30.3289
-64.0005,-30.1061
-63.2702,-29.8833
-62.5357,-29.6805
-61.7569,-29.6893
-60.978,-29.6981
-60.1992,-29.7069
-59.9436,-30.1354
-59.9473,-30.7717
-59.9509,-31.408
-59.9545,-32.0444
-59.9581,-32.6807
-59.9617,-33.317
-59.9653,-33.9533
-59.9689,-34.5896
-59.9726,-35.226
-59.9762,-35.8623
-59.9798,-36.4986
-59.9834,-37.1349
-59.987,-37.7713
-59.9906,-38.4076
-59.9942,-39.0439
-60.0,-40.0
-59.9894,-40.5779
-59.9787,-41.1558
-59.9681,-41.7336
-59.9575,-42.3115
-59.9468,-42.8894
-59.9362,-43.4673
-59.9255,-44.0452
-59.9149,-44.623
-60.1424,-45.0573
-60.9044,-45.1693
-61.6665,-45.2812
-62.4286,-45.3931
-63.1906,-45.5051
-63.9527,-45.617
-64.7147,-45.7289
-65.4768,-45.8409
-66.2389,-45.9528
-67.0009,-46.0648
-67.763,-46.1767
-68.525,-46.2886
-69.2871,-46.4006
-70.0491,-46.5125
-70.8112,-46.6244
-71.5733,-46.7364
-72.3353,-46.8483
-73.0974,-46.9602
-73.8594,-47.0722
-74.6215,-47.1841
-75.3835,-47.2961
