lon,lat
-78.6291,7.0423
-78.0256,7.5302
-77.4221,8.0182
-76.8186,8.5061
-76.2151,8.9941
-75.6116,9.482
-75.0081,9.97
-74.4045,10.4579
-73.801,10.9459
-73.1975,11.4338
-72.594,11.9218
-71.9905,12.4097
-71.7398,12.1371
-71.7225,11.3617
-71.7051,10.5862
-71.6877,9.8108
-71.6703,9.0354
-71.653,8.26
-71.6356,7.4845
-71.6182,6.7091
-71.6008,5.9337
-71.5835,5.1582
-72.1546,4.9557
-72.9318,4.9537
-73.7089,4.9517
-74.4861,4.9497
-75.2633,4.9477
-76.0405,4.9457
-76.8177,4.9437
-77.5948,4.9417
-77.9565,5.2591
-78.0177,6.0215
