lon,lat
66.1558,24.8148
66.3283,24.9155
66.5008,25.0161
66.6733,25.1167
66.8457,25.2174
67.0182,25.318
67.1907,25.4187
67.2215,25.5733
67.1842,25.754
67.1469,25.9347
67.1095,26.1154
67.0722,26.2961
67.0348,26.4768
66.9975,26.6575
66.9601,26.8381
66.9228,27.0188
66.8854,27.1995
66.8481,27.3802
66.8107,27.5609
66.7734,27.7416
66.736,27.9223
66.6987,28.103
66.6613,28.2836
66.624,28.4643
66.5866,28.645
66.5493,28.8257
66.5119,29.0064
66.4746,29.1871
66.4372,29.3678
66.3999,29.5485
66.3625,29.7291
66.2694,29.8417
66.065,29.8184
65.8605,29.795
65.6546,29.7931
65.4484,29.7948
65.2423,29.7965
65.0361,29.7982
64.83,29.7999
64.6238,29.8015
64.4177,29.8032
64.4741,29.629
64.5332,29.453
64.5922,29.277
64.6513,29.1009
64.7104,28.9249
64.7695,28.7489
64.8286,28.5729
64.8882,28.397
64.949,28.2215
65.0098,28.0459
65.0707,27.8704
65.1315,27.6948
65.1923,27.5193
65.2532,27.3437
65.314,27.1682
65.3748,26.9926
65.4357,26.8171
65.4965,26.6415
65.5573,26.466
65.6181,26.2905
65.679,26.1149
65.7398,25.9394
65.8006,25.7638
65.8615,25.5883
65.9223,25.4127
