lon,lat
170.1456,-22.61
170.3944,-22.7507
170.6539,-22.8726
170.9191,-22.9845
171.2005,-23.0509
171.485,-23.1088
171.7726,-23.15
172.0619,-23.1773
172.3532,-23.177
172.6439,-23.162
172.9346,-23.145
173.2254,-23.1281
173.5123,-23.0857
173.797,-23.0281
174.0665,-22.9286
174.3305,-22.8136
174.59,-22.6911
174.836,-22.5458
175.0804,-22.3979
175.3227,-22.2472
175.2992,-22.0011
175.2286,-21.7381
175.1579,-21.4751
175.0873,-21.212
174.9492,-21.0484
174.6636,-21.1019
174.378,-21.1554
174.0924,-21.2089
173.8068,-21.2624
173.5212,-21.3159
173.2356,-21.3694
172.9475,-21.401
172.6563,-21.4036
172.365,-21.4062
172.0738,-21.4088
171.7825,-21.4114
171.4913,-21.414
171.2343,-21.4958
171.0241,-21.6836
170.8227,-21.8797
170.6212,-22.0759
170.4198,-22.272
