lon,lat,depth,unc,elev,thickness
335.5830,-60.2500,5.9310,5.0000,-4860.0000,1071.0000
335.6670,-60.2500,5.9520,5.0000,-4848.0000,1104.0000
335.7500,-60.2500,5.9780,5.0000,-4840.0000,1138.0000
335.8330,-60.2500,6.1700,5.0000,-4998.0000,1172.0000
335.9170,-60.2500,6.4540,5.0000,-5252.0000,1202.0000
334.0830,-60.3330,4.2610,5.0000,-4132.0000,129.0000
334.1670,-60.3330,4.4130,5.0000,-4273.0000,140.0000
334.2500,-60.3330,4.6290,5.0000,-4474.0000,155.0000
334.3330,-60.3330,4.7920,5.0000,-4617.0000,175.0000
334.4170,-60.3330,5.1480,5.0000,-4946.0000,202.0000
334.5000,-60.3330,5.1580,5.0000,-4918.0000,240.0000
334.5830,-60.3330,5.6550,5.0000,-5362.0000,293.0000
334.6670,-60.3330,7.6610,5.0000,-7293.0000,368.0000
334.7500,-60.3330,7.4670,5.0000,-7003.0000,464.0000
334.8330,-60.3330,6.8440,5.0000,-6270.0000,574.0000
334.9170,-60.3330,6.7510,5.0000,-6065.0000,686.0000
335.0000,-60.3330,6.0830,5.0000,-5301.0000,782.0000
335.0830,-60.3330,6.0950,5.0000,-5240.0000,855.0000
335.1670,-60.3330,5.9430,5.0000,-5039.0000,904.0000
335.2500,-60.3330,5.8990,5.0000,-4962.0000,937.0000
335.3330,-60.3330,5.6980,5.0000,-4739.0000,959.0000
335.4170,-60.3330,5.4570,5.0000,-4482.0000,975.0000
335.5000,-60.3330,5.1820,5.0000,-4189.0000,993.0000
335.5830,-60.3330,4.7300,5.0000,-3718.0000,1012.0000
335.6670,-60.3330,4.6940,5.0000,-3661.0000,1033.0000
335.7500,-60.3330,5.3660,5.0000,-4311.0000,1055.0000
335.8330,-60.3330,6.0290,5.0000,-4952.0000,1077.0000
335.9170,-60.3330,5.3340,5.0000,-4238.0000,1096.0000
333.9170,-60.4170,4.6120,5.0000,-4483.0000,129.0000
334.0000,-60.4170,4.7140,5.0000,-4577.0000,137.0000
334.0830,-60.4170,4.9900,5.0000,-4843.0000,147.0000
334.1670,-60.4170,5.1910,5.0000,-5031.0000,160.0000
334.2500,-60.4170,5.4400,5.0000,-5264.0000,176.0000
334.3330,-60.4170,5.8030,5.0000,-5606.0000,197.0000
334.4170,-60.4170,6.0370,5.0000,-5811.0000,226.0000
334.5000,-60.4170,6.1540,5.0000,-5890.0000,264.0000
334.5830,-60.4170,6.7460,5.0000,-6428.0000,318.0000
334.6670,-60.4170,7.0250,5.0000,-6636.0000,389.0000
334.7500,-60.4170,6.7560,5.0000,-6278.0000,478.0000
334.8330,-60.4170,6.0080,5.0000,-5428.0000,580.0000
334.9170,-60.4170,6.1260,5.0000,-5444.0000,682.0000
335.0000,-60.4170,6.1300,5.0000,-5359.0000,771.0000
335.0830,-60.4170,6.1140,5.0000,-5275.0000,839.0000
335.1670,-60.4170,5.9500,5.0000,-5064.0000,886.0000
335.2500,-60.4170,5.8100,5.0000,-4896.0000,914.0000
335.3330,-60.4170,5.7750,5.0000,-4842.0000,933.0000
335.4170,-60.4170,5.7750,5.0000,-4829.0000,946.0000
335.5000,-60.4170,5.6530,5.0000,-4695.0000,958.0000
335.5830,-60.4170,5.5800,5.0000,-4611.0000,969.0000
335.6670,-60.4170,5.4280,5.0000,-4447.0000,981.0000
335.7500,-60.4170,5.2810,5.0000,-4288.0000,993.0000
335.8330,-60.4170,5.0740,5.0000,-4068.0000,1006.0000
335.9170,-60.4170,4.5500,5.0000,-3534.0000,1016.0000
333.7500,-60.5000,5.0880,5.0000,-4952.0000,136.0000
333.8330,-60.5000,5.2560,5.0000,-5116.0000,140.0000
333.9170,-60.5000,5.2700,5.0000,-5123.0000,147.0000
334.0000,-60.5000,5.6040,5.0000,-5448.0000,156.0000
334.0830,-60.5000,5.7560,5.0000,-5590.0000,166.0000
334.1670,-60.5000,5.3750,5.0000,-5195.0000,180.0000
334.2500,-60.5000,5.8560,5.0000,-5659.0000,197.0000
334.3330,-60.5000,6.8110,5.0000,-6592.0000,219.0000
334.4170,-60.5000,6.6790,5.0000,-6430.0000,249.0000
334.5000,-60.5000,6.3690,5.0000,-6084.0000,285.0000
334.5830,-60.5000,6.1830,5.0000,-5849.0000,334.0000
334.6670,-60.5000,6.1350,5.0000,-5737.0000,398.0000
334.7500,-60.5000,6.1900,5.0000,-5714.0000,476.0000
334.8330,-60.5000,6.0940,5.0000,-5528.0000,566.0000
334.9170,-60.5000,6.0960,5.0000,-5437.0000,659.0000
335.0000,-60.5000,5.8800,5.0000,-5136.0000,744.0000
335.0830,-60.5000,5.7160,5.0000,-4904.0000,812.0000
335.1670,-60.5000,5.3990,5.0000,-4539.0000,860.0000
335.2500,-60.5000,5.2000,5.0000,-4309.0000,891.0000
335.3330,-60.5000,5.1730,5.0000,-4264.0000,909.0000
335.4170,-60.5000,5.1250,5.0000,-4204.0000,921.0000
335.5000,-60.5000,5.0670,5.0000,-4137.0000,930.0000
335.5830,-60.5000,5.3810,5.0000,-4442.0000,939.0000
335.6670,-60.5000,5.4550,5.0000,-4510.0000,945.0000
335.7500,-60.5000,5.6020,5.0000,-4651.0000,951.0000
335.8330,-60.5000,5.5420,5.0000,-4584.0000,958.0000
335.9170,-60.5000,5.2620,5.0000,-4299.0000,963.0000
333.5000,-60.5830,4.7030,5.0000,-4565.0000,138.0000
333.5830,-60.5830,5.2720,5.0000,-5131.0000,141.0000
333.6670,-60.5830,5.6690,5.0000,-5524.0000,145.0000
333.7500,-60.5830,6.0450,5.0000,-5895.0000,150.0000
333.8330,-60.5830,6.6560,5.0000,-6499.0000,157.0000
333.9170,-60.5830,7.2200,5.0000,-7056.0000,164.0000
334.0000,-60.5830,6.9480,5.0000,-6774.0000,174.0000
334.0830,-60.5830,5.9460,5.0000,-5760.0000,186.0000
334.1670,-60.5830,5.0060,5.0000,-4806.0000,200.0000
334.2500,-60.5830,4.8550,5.0000,-4637.0000,218.0000
334.3330,-60.5830,4.7320,5.0000,-4491.0000,241.0000
334.4170,-60.5830,4.8920,5.0000,-4625.0000,267.0000
334.5000,-60.5830,4.8130,5.0000,-4512.0000,301.0000
334.5830,-60.5830,4.6380,5.0000,-4294.0000,344.0000
334.6670,-60.5830,4.6400,5.0000,-4243.0000,397.0000
334.7500,-60.5830,4.7630,5.0000,-4299.0000,464.0000
334.8330,-60.5830,5.1050,5.0000,-4564.0000,541.0000
334.9170,-60.5830,5.3340,5.0000,-4710.0000,624.0000
335.0000,-60.5830,4.4150,5.0000,-3710.0000,705.0000
335.0830,-60.5830,4.1370,5.0000,-3362.0000,775.0000
335.1670,-60.5830,3.9920,5.0000,-3165.0000,827.0000
335.2500,-60.5830,3.5970,5.0000,-2735.0000,862.0000
335.3330,-60.5830,3.2260,5.0000,-2342.0000,884.0000
335.4170,-60.5830,3.6790,5.0000,-2782.0000,897.0000
335.5000,-60.5830,4.0600,5.0000,-3155.0000,905.0000
335.5830,-60.5830,4.3890,5.0000,-3478.0000,911.0000
335.6670,-60.5830,4.5460,5.0000,-3630.0000,916.0000
335.7500,-60.5830,4.5100,5.0000,-3590.0000,920.0000
335.8330,-60.5830,4.0120,5.0000,-3088.0000,924.0000
335.9170,-60.5830,4.0420,5.0000,-3116.0000,926.0000
333.3330,-60.6670,4.0940,5.0000,-3949.0000,145.0000
333.4170,-60.6670,4.2180,5.0000,-4070.0000,148.0000
333.5000,-60.6670,4.6770,5.0000,-4526.0000,151.0000
333.5830,-60.6670,5.0790,5.0000,-4924.0000,155.0000
333.6670,-60.6670,5.8770,5.0000,-5718.0000,159.0000
333.7500,-60.6670,6.4610,5.0000,-6295.0000,166.0000
333.8330,-60.6670,6.6900,5.0000,-6518.0000,172.0000
333.9170,-60.6670,6.3970,5.0000,-6215.0000,182.0000
334.0000,-60.6670,6.0300,5.0000,-5838.0000,192.0000
334.0830,-60.6670,5.7430,5.0000,-5540.0000,203.0000
334.1670,-60.6670,5.3440,5.0000,-5125.0000,219.0000
334.2500,-60.6670,4.7710,5.0000,-4535.0000,236.0000
334.3330,-60.6670,4.4960,5.0000,-4239.0000,257.0000
334.4170,-60.6670,4.1760,5.0000,-3894.0000,282.0000
334.5000,-60.6670,3.8670,5.0000,-3554.0000,313.0000
334.5830,-60.6670,3.7960,5.0000,-3447.0000,349.0000
334.6670,-60.6670,3.9760,5.0000,-3582.0000,394.0000
334.7500,-60.6670,3.7910,5.0000,-3342.0000,449.0000
334.8330,-60.6670,3.6830,5.0000,-3169.0000,514.0000
334.9170,-60.6670,2.9270,5.0000,-2340.0000,587.0000
335.0000,-60.6670,2.7170,5.0000,-2055.0000,662.0000
335.0830,-60.6670,3.6200,5.0000,-2889.0000,731.0000
335.1670,-60.6670,3.8170,5.0000,-3030.0000,787.0000
335.2500,-60.6670,3.9040,5.0000,-3076.0000,828.0000
335.3330,-60.6670,3.9560,5.0000,-3102.0000,854.0000
335.4170,-60.6670,4.1240,5.0000,-3254.0000,870.0000
335.5000,-60.6670,4.0890,5.0000,-3209.0000,880.0000
335.5830,-60.6670,3.9840,5.0000,-3098.0000,886.0000
335.6670,-60.6670,3.8860,5.0000,-2996.0000,890.0000
335.7500,-60.6670,3.6500,5.0000,-2756.0000,894.0000
335.8330,-60.6670,3.9750,5.0000,-3078.0000,897.0000
335.9170,-60.6670,3.9950,5.0000,-3098.0000,897.0000
333.0830,-60.7500,4.8400,5.0000,-4689.0000,151.0000
333.1670,-60.7500,4.6390,5.0000,-4486.0000,153.0000
333.2500,-60.7500,4.4150,5.0000,-4261.0000,154.0000
333.3330,-60.7500,4.2340,5.0000,-4078.0000,156.0000
333.4170,-60.7500,3.7520,5.0000,-3593.0000,159.0000
333.5000,-60.7500,3.7830,5.0000,-3620.0000,163.0000
333.5830,-60.7500,3.6170,5.0000,-3449.0000,168.0000
333.6670,-60.7500,4.0820,5.0000,-3910.0000,172.0000
333.7500,-60.7500,4.8660,5.0000,-4687.0000,179.0000
333.8330,-60.7500,5.3580,5.0000,-5171.0000,187.0000
333.9170,-60.7500,5.7110,5.0000,-5515.0000,196.0000
334.0000,-60.7500,5.7410,5.0000,-5534.0000,207.0000
334.0830,-60.7500,5.7850,5.0000,-5565.0000,220.0000
334.1670,-60.7500,5.6870,5.0000,-5453.0000,234.0000
334.2500,-60.7500,5.6460,5.0000,-5395.0000,251.0000
334.3330,-60.7500,5.3090,5.0000,-5038.0000,271.0000
334.4170,-60.7500,5.1820,5.0000,-4888.0000,294.0000
334.5000,-60.7500,4.8810,5.0000,-4560.0000,321.0000
334.5830,-60.7500,4.8570,5.0000,-4505.0000,352.0000
334.6670,-60.7500,4.7130,5.0000,-4323.0000,390.0000
334.7500,-60.7500,4.7470,5.0000,-4311.0000,436.0000
334.8330,-60.7500,4.6450,5.0000,-4155.0000,490.0000
334.9170,-60.7500,3.7070,5.0000,-3155.0000,552.0000
335.0000,-60.7500,3.6030,5.0000,-2985.0000,618.0000
335.0830,-60.7500,3.8820,5.0000,-3199.0000,683.0000
335.1670,-60.7500,3.9290,5.0000,-3189.0000,740.0000
335.2500,-60.7500,3.9550,5.0000,-3170.0000,785.0000
335.3330,-60.7500,4.0280,5.0000,-3211.0000,817.0000
335.4170,-60.7500,4.5610,5.0000,-3723.0000,838.0000
335.5000,-60.7500,4.5950,5.0000,-3744.0000,851.0000
335.5830,-60.7500,4.3450,5.0000,-3486.0000,859.0000
335.6670,-60.7500,4.0110,5.0000,-3147.0000,864.0000
335.7500,-60.7500,3.6680,5.0000,-2800.0000,868.0000
335.8330,-60.7500,3.8730,5.0000,-3004.0000,869.0000
335.9170,-60.7500,3.9010,5.0000,-3031.0000,870.0000
332.9170,-60.8330,4.0070,5.0000,-3849.0000,158.0000
333.0000,-60.8330,3.6710,5.0000,-3512.0000,159.0000
333.0830,-60.8330,4.0830,5.0000,-3923.0000,160.0000
333.1670,-60.8330,3.9440,5.0000,-3781.0000,163.0000
333.2500,-60.8330,4.0060,5.0000,-3840.0000,166.0000
333.3330,-60.8330,4.1360,5.0000,-3969.0000,167.0000
333.4170,-60.8330,3.9980,5.0000,-3826.0000,172.0000
333.5000,-60.8330,3.7520,5.0000,-3577.0000,175.0000
333.5830,-60.8330,4.0400,5.0000,-3861.0000,179.0000
333.6670,-60.8330,4.1830,5.0000,-3997.0000,186.0000
333.7500,-60.8330,4.4810,5.0000,-4289.0000,192.0000
333.8330,-60.8330,4.6220,5.0000,-4422.0000,200.0000
333.9170,-60.8330,4.7830,5.0000,-4572.0000,211.0000
334.0000,-60.8330,4.9550,5.0000,-4734.0000,221.0000
334.0830,-60.8330,5.9000,5.0000,-5666.0000,234.0000
334.1670,-60.8330,6.3270,5.0000,-6079.0000,248.0000
334.2500,-60.8330,6.4360,5.0000,-6172.0000,264.0000
334.3330,-60.8330,6.3770,5.0000,-6095.0000,282.0000
334.4170,-60.8330,6.3040,5.0000,-6001.0000,303.0000
334.5000,-60.8330,6.0350,5.0000,-5709.0000,326.0000
334.5830,-60.8330,5.6790,5.0000,-5326.0000,353.0000
334.6670,-60.8330,5.9860,5.0000,-5602.0000,384.0000
334.7500,-60.8330,6.0180,5.0000,-5598.0000,420.0000
334.8330,-60.8330,6.1160,5.0000,-5652.0000,464.0000
334.9170,-60.8330,6.2300,5.0000,-5715.0000,515.0000
335.0000,-60.8330,6.3780,5.0000,-5807.0000,571.0000
335.0830,-60.8330,5.7300,5.0000,-5102.0000,628.0000
335.1670,-60.8330,5.9510,5.0000,-5268.0000,683.0000
335.2500,-60.8330,5.6750,5.0000,-4945.0000,730.0000
335.3330,-60.8330,5.6220,5.0000,-4854.0000,768.0000
335.4170,-60.8330,5.6540,5.0000,-4859.0000,795.0000
335.5000,-60.8330,5.4120,5.0000,-4598.0000,814.0000
335.5830,-60.8330,5.5190,5.0000,-4692.0000,827.0000
335.6670,-60.8330,5.5520,5.0000,-4717.0000,835.0000
335.7500,-60.8330,5.6550,5.0000,-4816.0000,839.0000
335.8330,-60.8330,5.2590,5.0000,-4418.0000,841.0000
335.9170,-60.8330,5.3770,5.0000,-4535.0000,842.0000
332.6670,-60.9170,3.5960,5.0000,-3432.0000,164.0000
332.7500,-60.9170,3.5890,5.0000,-3424.0000,165.0000
332.8330,-60.9170,3.4720,5.0000,-3307.0000,165.0000
332.9170,-60.9170,3.4850,5.0000,-3317.0000,168.0000
333.0000,-60.9170,3.6460,5.0000,-3477.0000,169.0000
333.0830,-60.9170,3.4960,5.0000,-3326.0000,170.0000
333.1670,-60.9170,3.3770,5.0000,-3204.0000,173.0000
333.2500,-60.9170,3.2250,5.0000,-3049.0000,176.0000
333.3330,-60.9170,3.4860,5.0000,-3308.0000,178.0000
333.4170,-60.9170,3.6760,5.0000,-3494.0000,182.0000
333.5000,-60.9170,4.0700,5.0000,-3884.0000,186.0000
333.5830,-60.9170,4.1200,5.0000,-3929.0000,191.0000
333.6670,-60.9170,3.9410,5.0000,-3744.0000,197.0000
333.7500,-60.9170,4.3270,5.0000,-4123.0000,204.0000
333.8330,-60.9170,4.5090,5.0000,-4296.0000,213.0000
333.9170,-60.9170,4.7500,5.0000,-4527.0000,223.0000
334.0000,-60.9170,4.6370,5.0000,-4403.0000,234.0000
334.0830,-60.9170,4.5060,5.0000,-4259.0000,247.0000
334.1670,-60.9170,4.4030,5.0000,-4143.0000,260.0000
334.2500,-60.9170,4.6590,5.0000,-4384.0000,275.0000
334.3330,-60.9170,5.1580,5.0000,-4866.0000,292.0000
334.4170,-60.9170,5.7050,5.0000,-5396.0000,309.0000
334.5000,-60.9170,6.0960,5.0000,-5767.0000,329.0000
334.5830,-60.9170,6.1740,5.0000,-5823.0000,351.0000
334.6670,-60.9170,6.3150,5.0000,-5940.0000,375.0000
334.7500,-60.9170,6.4200,5.0000,-6016.0000,404.0000
334.8330,-60.9170,6.4170,5.0000,-5980.0000,437.0000
334.9170,-60.9170,6.5420,5.0000,-6066.0000,476.0000
335.0000,-60.9170,6.9500,5.0000,-6429.0000,521.0000
335.0830,-60.9170,7.0700,5.0000,-6501.0000,569.0000
335.1670,-60.9170,6.9740,5.0000,-6356.0000,618.0000
335.2500,-60.9170,7.0150,5.0000,-6351.0000,664.0000
335.3330,-60.9170,6.7530,5.0000,-6048.0000,705.0000
335.4170,-60.9170,6.3830,5.0000,-5645.0000,738.0000
335.5000,-60.9170,6.2080,5.0000,-5444.0000,764.0000
335.5830,-60.9170,6.3530,5.0000,-5569.0000,784.0000
335.6670,-60.9170,6.7120,5.0000,-5916.0000,796.0000
335.7500,-60.9170,6.7220,5.0000,-5918.0000,804.0000
335.8330,-60.9170,6.8520,5.0000,-6044.0000,808.0000
335.9170,-60.9170,6.8730,5.0000,-6065.0000,808.0000
332.5000,-61.0000,3.2020,5.0000,-3031.0000,171.0000
332.5830,-61.0000,2.7820,5.0000,-2610.0000,172.0000
332.6670,-61.0000,2.8280,5.0000,-2656.0000,172.0000
332.7500,-61.0000,2.7730,5.0000,-2601.0000,172.0000
332.8330,-61.0000,3.0400,5.0000,-2865.0000,175.0000
332.9170,-61.0000,3.1270,5.0000,-2952.0000,175.0000
333.0000,-61.0000,3.3020,5.0000,-3125.0000,177.0000
333.0830,-61.0000,3.2660,5.0000,-3086.0000,180.0000
333.1670,-61.0000,3.1570,5.0000,-2975.0000,182.0000
333.2500,-61.0000,3.3790,5.0000,-3194.0000,185.0000
333.3330,-61.0000,3.5300,5.0000,-3340.0000,190.0000
333.4170,-61.0000,3.7800,5.0000,-3587.0000,193.0000
333.5000,-61.0000,4.2500,5.0000,-4053.0000,197.0000
333.5830,-61.0000,4.2430,5.0000,-4039.0000,204.0000
333.6670,-61.0000,4.1530,5.0000,-3944.0000,209.0000
333.7500,-61.0000,4.2750,5.0000,-4058.0000,217.0000
333.8330,-61.0000,4.4070,5.0000,-4181.0000,226.0000
333.9170,-61.0000,4.4190,5.0000,-4182.0000,237.0000
334.0000,-61.0000,4.2130,5.0000,-3965.0000,248.0000
334.0830,-61.0000,4.0000,5.0000,-3742.0000,258.0000
334.1670,-61.0000,4.1380,5.0000,-3867.0000,271.0000
334.2500,-61.0000,4.0210,5.0000,-3735.0000,286.0000
334.3330,-61.0000,3.9550,5.0000,-3656.0000,299.0000
334.4170,-61.0000,4.3260,5.0000,-4011.0000,315.0000
334.5000,-61.0000,4.6640,5.0000,-4333.0000,331.0000
334.5830,-61.0000,4.8250,5.0000,-4477.0000,348.0000
334.6670,-61.0000,5.0190,5.0000,-4652.0000,367.0000
334.7500,-61.0000,4.9340,5.0000,-4546.0000,388.0000
334.8330,-61.0000,4.6790,5.0000,-4267.0000,412.0000
334.9170,-61.0000,4.4340,5.0000,-3994.0000,440.0000
335.0000,-61.0000,4.1770,5.0000,-3703.0000,474.0000
335.0830,-61.0000,4.8090,5.0000,-4297.0000,512.0000
335.1670,-61.0000,4.9640,5.0000,-4411.0000,553.0000
335.2500,-61.0000,5.2840,5.0000,-4690.0000,594.0000
335.3330,-61.0000,5.1480,5.0000,-4514.0000,634.0000
335.4170,-61.0000,4.1900,5.0000,-3520.0000,670.0000
335.5000,-61.0000,4.1530,5.0000,-3452.0000,701.0000
335.5830,-61.0000,4.1280,5.0000,-3402.0000,726.0000
335.6670,-61.0000,4.1980,5.0000,-3454.0000,744.0000
335.7500,-61.0000,4.1970,5.0000,-3442.0000,755.0000
335.8330,-61.0000,4.4140,5.0000,-3653.0000,761.0000
335.9170,-61.0000,4.5000,5.0000,-3738.0000,762.0000
332.2500,-61.0830,4.7040,5.0000,-4527.0000,177.0000
332.3330,-61.0830,4.7200,5.0000,-4543.0000,177.0000
