lat,lon,depth
-38.3757,-69.3062,308.0765
-38.3714,-69.1541,329.7667
-38.3610,-69.0461,361.5151
-38.3554,-68.8616,376.1644
-38.3467,-68.6842,392.4431
-38.3347,-68.5261,412.2106
-38.3096,-68.4415,451.9024
-38.2449,-66.9017,524.1072
-38.2530,-66.6692,520.2864
-38.2608,-66.4418,518.5169
-38.2697,-66.2155,516.8081
-38.2804,-65.9852,514.2556
-38.2887,-65.7693,515.6193
-38.2479,-72.9040,131.3421
-38.2387,-72.7072,134.5072
-38.2245,-72.5146,138.0353
-38.2104,-72.3524,146.6383
-38.1973,-72.0698,134.4490
-38.1897,-71.8174,132.8359
-38.1814,-71.6234,142.7396
-38.1784,-71.3810,146.4902
-38.1678,-71.2061,162.2294
-38.1520,-71.0551,180.6313
-38.1369,-70.8792,198.0720
-38.1132,-70.7625,225.7501
-38.1084,-70.6340,251.4219
-38.1428,-70.3222,247.5677
-38.1485,-70.1326,263.3325
-38.1584,-69.9153,272.9584
-38.1657,-69.6988,282.0446
-38.1685,-69.5002,294.3100
-38.1710,-69.2903,303.2950
-38.1648,-69.1443,326.9464
-38.1556,-69.0058,352.1200
-38.1491,-68.8243,367.6694
-38.1394,-68.6495,384.8213
-38.1218,-68.5209,412.0694
-38.1053,-68.3624,433.6216
-38.0772,-68.2612,468.1681
-38.0277,-67.0974,517.3426
-38.0355,-66.8633,513.4658
-38.0384,-66.6586,516.2486
-38.0503,-66.4215,511.6157
-38.0577,-66.2080,512.7542
-38.0706,-65.9750,509.2836
-38.0781,-65.7680,512.5818
-38.0031,-72.8977,131.5265
-38.0020,-72.6997,135.6007
-38.0011,-72.5005,137.9795
-37.9984,-72.3187,142.6309
-37.9958,-72.0128,125.5301
-37.9917,-71.8096,132.5954
-37.9847,-71.6410,146.5445
-37.9783,-71.4343,154.9260
-37.9812,-71.1548,153.4267
-37.9732,-70.9829,168.8958
-37.9547,-70.8627,193.5248
-37.9421,-70.7235,215.4737
-37.9324,-70.6102,241.9345
-37.9346,-70.4277,260.8615
-37.9456,-70.1880,269.0881
-37.9571,-69.9422,274.6730
-37.9608,-69.7360,286.8964
-37.9615,-69.5384,300.3593
-37.9628,-69.3255,309.5259
-37.9574,-69.1464,326.7437
-37.9468,-68.9935,349.0894
-37.9407,-68.7951,360.8070
-37.9279,-68.6263,379.7621
-37.9134,-68.4631,398.3346
-37.8952,-68.3038,419.7492
-37.8752,-68.1508,440.8188
-37.8657,-67.9530,449.3993
-37.8547,-67.7628,459.7835
-37.8501,-67.5594,464.2553
-37.8349,-67.3943,480.2840
-37.8265,-67.2143,490.4789
-37.8245,-67.0182,495.9704
-37.8283,-66.8075,497.7530
-37.8304,-66.6112,502.4140
-37.8401,-66.3905,501.5761
-37.8469,-66.1856,504.6305
-37.8568,-65.9732,505.9298
-37.8732,-65.7357,501.7481
