lon,lat,depth,unc,etype,mag
-70.2668,-21.0234,62.3410,nan,ER,3.0000
-70.3778,-21.7227,36.1910,nan,ER,2.9000
-70.2247,-22.1845,45.6350,nan,ER,3.1000
-69.8779,-22.7814,63.0930,nan,ER,3.3000
-69.7670,-22.0490,70.8170,nan,ER,2.1000
-70.4738,-22.6360,42.6560,nan,ER,5.6000
-70.0396,-21.6961,51.5620,nan,ER,3.5000
-69.6997,-21.5665,48.5060,nan,ER,3.3000
-70.1892,-22.7165,44.8980,nan,ER,2.8000
-70.3835,-22.5696,39.3460,nan,ER,2.9000
-69.6820,-21.9630,79.0680,nan,ER,2.3000
-69.9047,-21.3993,49.1020,nan,ER,2.4000
-70.2729,-22.3525,42.3580,nan,ER,1.9000
-70.2361,-21.3011,40.9960,nan,ER,2.1000
-69.9172,-21.2825,43.7460,nan,ER,2.5000
-70.2449,-22.3595,42.4620,nan,ER,2.1000
-69.3012,-22.3415,93.0660,nan,ER,2.6000
-69.8493,-20.9592,58.6890,nan,ER,3.2000
-69.8258,-21.1562,52.7450,nan,ER,2.4000
-69.7193,-21.2577,57.6440,nan,ER,3.1000
-70.1991,-22.4767,44.6560,nan,ER,3.5000
-70.0022,-21.9329,79.9300,nan,ER,2.9000
-70.3742,-22.7682,48.2940,nan,ER,3.2000
-69.6151,-21.5258,24.8290,nan,ER,2.5000
-70.0059,-21.4420,51.9690,nan,ER,2.7000
-70.2527,-21.3306,44.3820,nan,ER,2.2000
-70.0173,-21.2653,51.9460,nan,ER,2.8000
-70.1754,-21.2388,44.2720,nan,ER,2.1000
-70.3469,-21.6508,39.0740,nan,ER,2.6000
-69.6722,-21.4271,79.4740,nan,ER,2.8000
-70.2609,-23.0335,39.1370,nan,ER,3.0000
-70.5757,-22.7202,36.2090,nan,ER,2.8000
-70.3322,-21.0891,58.9340,nan,ER,2.9000
-70.2267,-22.1772,45.7030,nan,ER,3.4000
-70.1408,-21.1238,49.3610,nan,ER,2.9000
-70.0042,-21.2532,37.6260,nan,ER,2.2000
-70.2604,-22.0839,44.6030,nan,ER,2.9000
-69.6386,-21.5197,24.3700,nan,ER,2.2000
-69.6465,-21.3789,39.3890,nan,ER,2.9000
-69.5555,-21.9984,94.7760,nan,ER,2.9000
-69.9155,-21.2849,40.9790,nan,ER,3.9000
-70.3203,-22.0190,41.5450,nan,ER,2.4000
-70.3804,-21.6271,36.9600,nan,ER,2.1000
-70.2843,-22.0322,43.6770,nan,ER,2.3000
-70.3657,-22.3718,39.7050,nan,ER,3.1000
-70.3660,-22.3722,39.7720,nan,ER,3.0000
-69.7872,-21.4439,42.8660,nan,ER,2.2000
-70.3662,-22.3704,39.8520,nan,ER,4.6000
-70.1651,-22.4018,9.5420,nan,ER,1.3000
-70.2638,-21.9657,42.6410,nan,ER,2.1000
-69.8570,-21.8985,68.2520,nan,ER,2.7000
-70.1199,-22.3964,56.5330,nan,ER,2.3000
-69.3564,-22.4062,95.6340,nan,ER,3.6000
-70.1834,-22.3969,10.1780,nan,ER,1.9000
-70.1444,-22.0719,49.2500,nan,ER,2.4000
-70.1707,-21.8539,77.1930,nan,ER,4.8000
-70.2738,-22.3797,42.5680,nan,ER,2.0000
-69.8357,-21.9939,60.2470,nan,ER,2.2000
-70.1848,-21.5937,52.8580,nan,ER,2.2000
-69.9191,-21.1004,51.0270,nan,ER,2.1000
-69.9285,-21.3289,42.6560,nan,ER,2.6000
-69.3919,-22.3237,91.7620,nan,ER,2.8000
-70.0171,-21.2796,41.7320,nan,ER,2.6000
-69.8360,-21.9900,74.6070,nan,ER,2.1000
-69.5338,-22.1067,91.1270,nan,ER,4.3000
-69.4704,-21.5237,85.4320,nan,ER,4.3000
-69.9292,-22.6585,63.2240,nan,ER,3.0000
-70.2157,-22.4108,43.7790,nan,ER,2.2000
-70.3760,-21.7508,35.9000,nan,ER,2.4000
-69.8451,-21.4510,51.4410,nan,ER,3.2000
-69.7411,-21.1413,11.2630,nan,ER,1.8000
-69.9020,-21.8362,80.6160,nan,ER,2.8000
-70.3697,-21.9880,41.2350,nan,ER,2.0000
-70.3241,-22.3534,40.1970,nan,ER,3.2000
-70.2276,-21.4068,44.9740,nan,ER,3.3000
-69.8137,-21.7626,69.9430,nan,ER,2.2000
-70.2618,-22.3829,42.4440,nan,ER,2.4000
-70.1858,-22.0435,55.3400,nan,ER,2.4000
-69.6062,-21.9948,82.7850,nan,ER,3.5000
-69.6444,-21.5020,53.1390,nan,ER,2.5000
-69.5877,-21.8473,95.0800,nan,ER,2.8000
-69.7818,-21.4970,57.7990,nan,ER,2.1000
-70.4537,-22.7885,46.1260,nan,ER,3.5000
-69.9681,-21.2760,53.1200,nan,ER,1.9000
-70.1076,-21.6382,49.7530,nan,ER,2.0000
-70.4484,-20.9961,49.8020,nan,ER,2.7000
-69.8975,-21.0521,56.5880,nan,ER,2.3000
-69.9404,-21.2748,39.8580,nan,ER,2.5000
-69.7751,-21.4210,58.0630,nan,ER,2.2000
-69.9083,-21.2117,55.9300,nan,ER,3.1000
-70.1694,-22.6929,45.8590,nan,ER,1.9000
-70.0618,-21.4274,49.7200,nan,ER,2.4000
-69.8829,-21.5640,87.5310,nan,ER,2.9000
-70.1276,-22.3476,48.7360,nan,ER,2.4000
-70.2104,-22.4042,43.9800,nan,ER,2.8000
-70.2115,-22.4045,44.0240,nan,ER,2.7000
-70.0580,-21.2794,38.3900,nan,ER,2.1000
-70.0930,-21.7036,54.8720,nan,ER,2.0000
-70.2310,-21.4064,44.8720,nan,ER,3.0000
-69.9020,-21.9868,85.1980,nan,ER,2.7000
-70.5351,-21.7482,32.3560,nan,ER,2.3000
-69.7788,-21.3521,50.7740,nan,ER,2.7000
-69.7724,-21.0124,57.9000,nan,ER,2.7000
-70.3676,-23.0393,37.5130,nan,ER,3.1000
-70.0631,-21.5904,50.4250,nan,ER,2.8000
-70.3658,-22.3243,50.4580,nan,ER,2.4000
-70.2307,-22.1541,45.8430,nan,ER,2.8000
-69.7601,-21.3559,50.7010,nan,ER,3.0000
-69.8568,-21.2640,59.7910,nan,ER,3.0000
-69.8860,-22.7315,62.1540,nan,ER,3.9000
-69.9134,-21.2682,78.6400,nan,ER,2.9000
-70.1855,-22.3936,10.5620,nan,ER,1.3000
-70.3598,-21.0866,64.1750,nan,ER,3.9000
-70.2081,-21.8667,40.8620,nan,ER,2.0000
-70.4458,-22.0551,38.9610,nan,ER,3.5000
