lat,lon,depth,unc,ID,etype,mag,time,Paz,Ppl,Taz,Tpl,S1,D1,R1,S2,D2,R2,mlon,mlat,mdep,id_no,src
18.293,-68.154,148.200,15.000,100030,EQ,4.900,1990-09-17 13:04:52.670,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,usp0004eu4,42718
18.229,-65.932,166.900,15.000,100031,EQ,4.700,1990-10-01 18:35:31.900,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,usp0004f8n,42718
17.759,-65.049,62.300,15.000,100032,EQ,3.600,1991-05-05 19:36:44.330,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,usp0004r9s,42718
17.700,-68.410,75.700,15.000,100033,EQ,4.500,1991-06-11 19:50:02.990,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,usp0004st5,42718
18.011,-68.260,43.200,15.000,100034,EQ,4.800,1991-10-21 19:46:31.390,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,usp0004y4x,42718
17.689,-69.469,50.000,15.000,100035,EQ,3.500,1992-02-24 07:22:57.680,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,usp00053eq,42718
17.915,-69.173,42.800,15.000,100036,EQ,4.600,1992-03-22 04:04:43.320,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,usp00054nr,42718
17.945,-68.586,33.000,15.000,100037,EQ,3.700,1992-04-24 07:59:20.700,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,usp00056as,42718
18.143,-64.179,157.000,15.000,100038,EQ,3.600,1992-06-15 06:00:42.860,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,usp0005950,42718
17.906,-64.352,33.000,15.000,100039,EQ,3.900,1992-10-17 19:32:35.590,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,usp0005ffx,42718
18.214,-68.171,90.600,15.000,100040,EQ,3.500,1993-07-03 17:38:44.400,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,usp0005vjj,42718
17.353,-65.744,10.000,15.000,100041,EQ,4.400,1993-08-01 22:07:00.290,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,usp0005xtf,42718
17.369,-65.767,27.000,15.000,100042,EQ,4.800,1993-08-17 10:16:08.250,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,usp0005yqq,42718
17.415,-65.743,33.000,15.000,100043,EQ,4.300,1993-08-17 11:21:24.300,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,usp0005yqu,42718
17.070,-63.972,27.300,15.000,100044,EQ,3.800,1993-09-05 13:04:19.100,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,usp0005zsr,42718
18.052,-68.367,87.600,15.000,100045,EQ,4.000,1994-01-06 17:20:52.900,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,usp000663u,42718
18.221,-64.335,103.500,15.000,100046,EQ,4.800,1994-01-08 22:28:18.910,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,usp000666v,42718
16.838,-67.116,94.900,15.000,100047,EQ,3.600,1994-02-04 15:54:39.730,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,usp0006819,42718
17.808,-65.347,10.000,15.000,100048,EQ,4.100,1994-03-10 03:58:27.990,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,usp00069fy,42718
18.017,-66.673,33.000,15.000,100049,EQ,3.200,1994-04-03 03:30:44.460,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,usp0006ajh,42718
18.146,-66.978,10.000,15.000,100050,EQ,3.200,1994-04-04 10:17:20.120,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,usp0006amm,42718
18.114,-66.285,10.000,15.000,100051,EQ,3.000,1994-04-14 22:57:21.340,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,usp0006b3s,42718
17.741,-67.077,33.000,15.000,100052,EQ,3.400,1994-04-20 04:18:17.210,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,usp0006bbu,42718
17.933,-64.697,162.100,15.000,100053,EQ,4.300,1994-05-01 04:03:24.610,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,usp0006bv6,42718
17.973,-66.700,10.000,15.000,100054,EQ,3.200,1994-05-22 03:08:40.430,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,usp0006cx1,42718
17.975,-65.695,24.600,15.000,100055,EQ,3.500,1994-06-13 23:58:26.140,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,usp0006e7x,42718
18.129,-67.240,23.800,15.000,100056,EQ,3.500,1994-08-05 18:30:18.830,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,usp0006gk4,42718
17.980,-67.116,33.000,15.000,100057,EQ,4.600,1994-09-13 03:35:53.610,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,usp0006jc0,42718
17.290,-65.776,10.000,15.000,100058,EQ,4.400,1994-09-23 23:33:57.910,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,usp0006jx7,42718
18.240,-68.366,107.300,15.000,100059,EQ,4.400,1994-10-12 04:02:04.440,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,usp0006kzv,42718
18.224,-66.967,10.000,15.000,100060,EQ,3.100,1994-11-07 07:51:51.040,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,usp0006n75,42718
