141.702338103 -5.27147491458 130.496
141.766542611 -5.21225049171 121.11
141.848403519 -5.13671358688 106.908
141.943053839 -5.04933998955 93.913
142.047287375 -4.95307684492 81.1607
142.125835597 -4.88050559031 72.5001
142.22198236 -4.79164115775 63.3609
142.295658231 -4.72352086364 58.7959
142.369325447 -4.65538741244 53.508
142.458953663 -4.57246382408 51.3556
142.551748644 -4.48657839505 50.6497
142.834792524 -4.22441535804 49.4964
142.95785994 -4.11033855344 49.5189
143.050527152 -4.02440698239 50.7406
143.119196096 -3.96071082947 54.1267
143.173463843 -3.91036202063 59.4379
143.226106795 -3.86151155033 67.3994
143.275517002 -3.8156528574 79.4568
143.29296677 -3.79945549537 93.9181
143.323120464 -3.77146373533 117.056
