-179.30099492 -35.9348613873 7.724
-179.406982661 -35.9076712199 8.85879
-179.512963529 -35.8803709295 10.7766
-179.618030141 -35.8531956045 13.4214
-179.723997446 -35.8256757268 16.7239
-179.829957431 -35.7980455895 20.6549
-179.935004597 -35.7705426621 25.1613
179.959523492 -35.7428174169 30.2766
179.854169047 -35.7150117933 35.963
179.748888217 -35.6871144149 42.2571
179.643681117 -35.6591254401 49.2007
179.538547861 -35.6310450276 56.8331
179.43348856 -35.6028733359 65.1726
179.328503326 -35.5746105244 74.1841
179.223592266 -35.5462567516 83.879
179.11875549 -35.5178121774 94.2637
179.013993103 -35.4892769612 105.333
178.909305211 -35.4606512629 117.072
178.804691916 -35.431935242 129.467
178.700153321 -35.403129059 142.489
178.595689527 -35.3742328741 156.095
178.491300634 -35.3452468481 170.228
178.386986738 -35.3161711411 184.916
178.282747937 -35.2870059143 200.126
178.178584325 -35.2577513284 215.731
178.074495998 -35.2284075452 231.601
177.970483046 -35.1989747253 247.63
177.866545561 -35.1694530307 264.016
177.762683632 -35.1398426226 280.621
177.658897349 -35.1101436635 297.193
177.555186797 -35.0803563147 313.519
