lon,lat,depth,unc,etype,src
-85.2093,8.9615,4.0800,nan,AS,nan
-85.2022,8.9769,4.1700,nan,AS,nan
-85.1883,9.0070,4.3700,nan,AS,nan
-85.1724,9.0412,4.5500,nan,AS,nan
-85.1646,9.0582,4.6700,nan,AS,nan
-85.1527,9.0838,4.7900,nan,AS,nan
-85.1404,9.1104,4.9400,nan,AS,nan
-85.1277,9.1380,5.2300,nan,AS,nan
-85.1118,9.1724,5.9400,nan,AS,nan
-85.0957,9.2072,6.5900,nan,AS,nan
-85.0791,9.2430,7.2400,nan,AS,nan
-85.0542,9.2967,8.3100,nan,AS,nan
-85.0361,9.3359,9.0400,nan,AS,nan
-85.0202,9.3701,9.5800,nan,AS,nan
-85.0020,9.4093,10.4600,nan,AS,nan
-84.9845,9.4471,11.0800,nan,AS,nan
