lon,lat,depth
137.846640628,34.0404280331,9.53906140101
137.809336978,34.1248863822,10.7405124622
137.771958728,34.2093334296,11.9620382711
137.734505502,34.2937691167,13.2478118165
137.696976921,34.3781933845,14.6387032491
137.659372605,34.4626061739,16.145941498
137.62169217,34.5470074251,17.7523575109
137.583935232,34.6313970783,19.5088592032
137.546101404,34.7157750732,21.492789822
137.508190296,34.8001413491,23.7380434464
137.470201518,34.8844958452,26.1778480422
137.432134676,34.9688385002,28.7281936718
137.393989375,35.0531692523,31.3561111808
137.355765218,35.1374880397,34.0838251104
137.317461805,35.2217948,36.9349792151
137.279078734,35.3060894704,39.9875102798
137.240615601,35.390371988,43.3454187712
137.202072001,35.4746422893,47.0601233893
137.163447525,35.5589003106,51.238518688
137.124741763,35.6431459877,56.3013035673
137.085954301,35.7273792561,62.7558312394
137.047084725,35.811600051,70.6461004247
137.008132617,35.8958083071,79.4554051458
136.969097558,35.9800039587,89.28484177
136.929979127,36.0641869399,100.063077026
136.890776898,36.1483571843,110.207769622
136.851490445,36.2325146251,117.590230824
136.81211934,36.3166591952,122.38593671
138.003719023,34.0509118942,8.65421724234
137.966447423,34.1353813467,9.89847912027
137.929101249,34.2198395153,11.1366594009
137.891680123,34.3042863414,12.419801618
137.854183668,34.3887217661,13.7997925423
137.816611502,34.4731457304,15.3319396921
137.778963242,34.5575581746,17.0050631129
137.741238504,34.6419590389,18.8117060629
137.703436901,34.7263482632,20.7924071576
137.665558043,34.8107257868,23.0219652938
137.62760154,34.895091549,25.5607232299
137.589566998,34.9794454886,28.3382697415
137.551454023,35.0637875439,31.2567841466
137.513262217,35.1481176531,34.3187056402
137.474991179,35.2324357539,37.6867401161
137.436640509,35.3167417838,41.4500188493
137.398209803,35.4010356796,45.5640730276
137.359698655,35.4853173783,50.0212598399
137.321106655,35.5695868159,54.9114039324
137.282433395,35.6538439285,60.8179387312
137.24367846,35.7380886517,68.501500851
137.204841436,35.8223209207,78.0740588402
137.165921906,35.9065406703,88.4379620408
137.126919451,35.990747835,98.7056340414
137.087833647,36.0749423489,108.634876951
137.048664072,36.1591241456,117.755425849
137.009410299,36.2432931585,124.811258092
136.970071898,36.3274493206,129.207984494
138.110987995,34.1557228063,9.01498506206
138.073669613,34.2401921039,10.3121564841
138.036276268,34.3246500728,11.6154644292
137.998807582,34.409096654,12.9913340127
