lon,lat,depth,unc,etype,mag
126.7250,-5.3000,430.6000,nan,ER,5.6000
128.4610,-7.3880,113.9000,nan,ER,5.3000
129.7660,-6.0030,172.3000,nan,ER,5.1000
120.3550,-7.4350,640.8000,nan,ER,5.7000
122.3080,-7.4700,426.0000,nan,ER,4.9000
124.7450,-6.0630,601.0000,nan,ER,5.4000
129.9060,-6.1060,136.7000,nan,ER,5.7000
125.3530,-6.8210,560.8000,nan,ER,0.0000
121.5020,-8.4690,144.5000,nan,ER,5.5000
124.7690,-7.0800,549.9000,nan,ER,5.1000
128.4770,-7.3920,146.1000,nan,ER,5.7000
120.3020,-7.3070,578.0000,nan,ER,4.8000
124.0020,-9.1340,62.7000,nan,ER,5.4000
120.9120,-7.4550,589.0000,nan,ER,0.0000
125.4670,-7.4010,442.4000,nan,ER,0.0000
127.6190,-7.5460,143.4000,nan,ER,5.2000
128.0810,-7.4240,146.7000,nan,ER,5.4000
122.5580,-8.8940,106.8000,nan,ER,5.5000
127.4800,-7.5810,168.2000,nan,ER,5.6000
120.2170,-7.3660,403.4000,nan,ER,5.0000
128.3000,-7.3500,137.1000,nan,ER,5.5000
127.5990,-5.6910,427.2000,nan,ER,4.9000
120.6050,-7.2520,645.0000,nan,ER,4.3000
128.4260,-7.4840,137.4000,nan,ER,5.2000
123.2660,-9.1520,78.0000,nan,ER,5.2000
129.5130,-6.9890,150.0000,nan,ER,6.3000
120.1990,-7.3270,635.5000,nan,ER,5.0000
130.0590,-4.9940,54.4000,nan,ER,5.3000
130.0900,-4.9210,53.1000,nan,ER,6.0000
130.0590,-5.0020,54.5000,nan,ER,5.1000
122.4340,-7.8420,262.4000,nan,ER,5.1000
124.7030,-7.0290,542.4000,nan,ER,0.0000
128.4830,-7.6830,71.7000,nan,ER,5.3000
125.7710,-6.7140,517.8000,nan,ER,4.8000
123.0960,-8.3510,165.4000,nan,ER,5.4000
124.9630,-7.5670,371.7000,nan,ER,0.0000
118.7960,-8.7170,135.8000,nan,ER,4.7000
120.4250,-7.4160,647.4000,nan,ER,4.8000
121.8230,-10.0840,69.0000,nan,ER,5.9000
126.4740,-7.4890,276.9000,nan,ER,5.1000
120.3940,-7.3880,399.0000,nan,ER,0.0000
122.9130,-7.9630,224.4000,nan,ER,5.3000
129.0420,-7.1460,175.6000,nan,ER,5.7000
124.7060,-7.5190,383.5000,nan,ER,0.0000
128.7130,-7.5440,112.9000,nan,ER,6.1000
130.9770,-5.5170,92.8000,nan,ER,5.6000
124.7870,-6.5110,599.1000,nan,ER,0.0000
127.2320,-7.6520,163.7000,nan,ER,5.2000
124.7820,-6.3130,575.4000,nan,ER,5.6000
125.4760,-6.9580,485.0000,nan,ER,5.1000
119.9550,-7.5260,623.2000,nan,ER,6.2000
123.2220,-6.9880,609.7000,nan,ER,0.0000
123.7730,-7.1220,617.1000,nan,ER,5.3000
129.1820,-7.2660,147.0000,nan,ER,5.6000
130.0400,-6.3670,92.7000,nan,ER,5.5000
123.8700,-9.4480,63.7000,nan,ER,5.4000
130.4580,-4.5720,75.6000,nan,ER,5.3000
129.4850,-6.8310,175.9000,nan,ER,5.5000
129.5850,-6.8520,170.6000,nan,ER,5.9000
120.5950,-8.2570,56.7000,nan,ER,5.1000
129.4640,-6.2030,178.9000,nan,ER,5.0000
123.8190,-7.1970,604.1000,nan,ER,5.2000
119.5910,-8.2920,175.9000,nan,ER,5.5000
127.1410,-3.4610,53.8000,nan,ER,5.4000
129.0820,-7.1680,162.5000,nan,ER,5.2000
128.5080,-7.2810,154.6000,nan,ER,5.0000
130.9920,-4.9170,72.0000,nan,ER,5.8000
130.2630,-6.2360,130.9000,nan,ER,5.3000
119.9900,-7.3040,562.2000,nan,ER,0.0000
130.0920,-6.8280,69.0000,nan,ER,5.6000
129.9980,-6.4980,136.9000,nan,ER,5.4000
120.4430,-7.3200,552.8000,nan,ER,4.5000
125.4020,-5.6060,537.9000,nan,ER,5.6000
125.2730,-7.0070,513.5000,nan,ER,4.7000
125.4650,-7.0610,469.9000,nan,ER,0.0000
127.6830,-7.6840,107.1000,nan,ER,5.8000
131.0970,-6.3080,56.2000,nan,ER,5.6000
126.6080,-6.8960,422.4000,nan,ER,5.2000
118.4400,-11.2200,59.8000,nan,ER,5.8000
118.4580,-11.1860,57.8000,nan,ER,6.8000
125.9940,-4.3490,414.1000,nan,ER,4.9000
128.8300,-5.7380,313.4000,nan,ER,5.4000
128.7730,-5.7180,298.2000,nan,ER,5.4000
128.5010,-7.3070,135.3000,nan,ER,5.1000
126.7030,-7.2890,312.1000,nan,ER,5.2000
130.4090,-6.3320,100.0000,nan,ER,5.2000
128.4660,-7.4590,148.2000,nan,ER,5.0000
120.1670,-7.1220,552.5000,nan,ER,4.8000
129.3900,-6.9240,173.0000,nan,ER,5.2000
123.2260,-8.9890,103.7000,nan,ER,5.1000
129.3120,-7.1480,131.0000,nan,ER,5.4000
128.6800,-7.3390,124.7000,nan,ER,5.4000
128.7720,-7.3100,128.3000,nan,ER,5.0000
121.6260,-8.2620,188.8000,nan,ER,5.3000
124.0160,-8.7850,92.0000,nan,ER,5.8000
129.0650,-7.1470,147.4000,nan,ER,5.1000
128.9670,-3.9000,96.6000,nan,ER,5.7000
125.3090,-5.0930,542.5000,nan,ER,5.6000
125.5580,-5.4790,550.3000,nan,ER,4.1000
129.7300,-6.7830,143.1000,nan,ER,5.1000
125.2210,-7.3690,538.8000,nan,ER,4.0000
123.1800,-7.1220,562.6000,nan,ER,5.1000
125.1190,-8.6580,55.1000,nan,ER,5.8000
127.4770,-5.2340,406.7000,nan,ER,5.0000
128.3750,-3.8160,113.8000,nan,ER,5.4000
128.3960,-7.3500,151.4000,nan,ER,4.8000
129.7160,-6.7180,161.2000,nan,ER,5.3000
123.4740,-7.0060,619.6000,nan,ER,0.0000
128.8760,-7.3550,149.8000,nan,ER,5.6000
123.5150,-6.9190,631.9000,nan,ER,5.0000
129.6400,-7.0890,133.0000,nan,ER,5.0000
131.1560,-5.4880,81.5000,nan,ER,5.1000
123.1770,-7.1290,607.9000,nan,ER,4.9000
130.3210,-6.5530,108.4000,nan,ER,5.3000
128.8990,-4.8510,250.1000,nan,ER,4.9000
127.4290,-4.4250,280.2000,nan,ER,5.2000
129.5430,-4.5570,187.0000,nan,ER,5.3000
127.4890,-7.5950,154.4000,nan,ER,5.1000
125.9280,-7.1980,454.9000,nan,ER,4.9000
118.0090,-7.1280,478.3000,nan,ER,5.8000
129.6870,-4.6100,58.9000,nan,ER,5.2000
130.7590,-6.1750,77.9000,nan,ER,5.6000
123.1970,-7.3370,578.2000,nan,ER,5.3000
128.4910,-7.3890,148.1000,nan,ER,5.2000
120.0730,-7.2870,566.8000,nan,ER,5.3000
128.0270,-6.2990,394.4000,nan,ER,4.6000
129.6270,-7.1260,140.9000,nan,ER,5.2000
131.1480,-6.1590,104.9000,nan,ER,5.2000
128.6090,-7.2890,140.1000,nan,ER,5.3000
129.6820,-7.0050,135.9000,nan,ER,5.4000
125.3290,-6.8810,530.2000,nan,ER,4.8000
123.4220,-6.9920,635.5000,nan,ER,5.2000
131.8820,-4.8860,73.5000,nan,ER,5.3000
127.1490,-7.6960,169.5000,nan,ER,5.2000
129.6770,-6.7880,144.0000,nan,ER,5.3000
127.4910,-7.5700,152.5000,nan,ER,5.5000
127.8910,-7.6720,72.3000,nan,ER,5.1000
129.9050,-6.9880,132.9000,nan,ER,5.0000
130.7090,-5.6100,57.8000,nan,ER,5.3000
130.7690,-5.5640,98.2000,nan,ER,5.3000
124.9340,-6.1560,605.2000,nan,ER,5.2000
127.8140,-4.3350,259.9000,nan,ER,5.4000
130.3510,-6.4700,118.0000,nan,ER,5.3000
128.2110,-7.4430,132.1000,nan,ER,5.5000
128.1980,-7.4110,155.3000,nan,ER,5.5000
125.1010,-6.8320,552.7000,nan,ER,4.8000
127.6400,-7.3740,154.9000,nan,ER,5.3000
120.3680,-7.1180,566.9000,nan,ER,4.6000
129.6460,-6.8660,143.4000,nan,ER,5.7000
129.4340,-6.4440,197.9000,nan,ER,5.5000
128.5260,-5.9140,344.9000,nan,ER,4.5000
128.4990,-7.3120,147.5000,nan,ER,5.4000
123.1280,-7.1490,595.4000,nan,ER,0.0000
129.4260,-7.0110,121.5000,nan,ER,5.5000
125.8020,-6.9290,532.5000,nan,ER,0.0000
130.2530,-6.3670,122.8000,nan,ER,5.1000
130.2760,-6.8660,62.5000,nan,ER,5.3000
120.4610,-7.3190,595.2000,nan,ER,4.9000
125.1720,-8.1480,77.0000,nan,ER,5.4000
129.6550,-7.0900,131.3000,nan,ER,5.7000
128.5120,-7.3510,156.9000,nan,ER,4.7000
124.9830,-6.8130,575.1000,nan,ER,4.8000
125.4510,-6.9150,543.6000,nan,ER,5.4000
128.5310,-7.3160,140.9000,nan,ER,5.9000
128.5070,-7.2950,152.9000,nan,ER,4.6000
129.0710,-5.0910,240.6000,nan,ER,5.2000
127.5540,-6.8640,395.9000,nan,ER,4.9000
130.0980,-6.5840,127.5000,nan,ER,4.9000
124.9570,-7.0880,557.4000,nan,ER,4.7000
125.3800,-6.9270,527.8000,nan,ER,5.1000
129.9310,-6.7410,104.7000,nan,ER,5.2000
122.2960,-7.3130,627.7000,nan,ER,4.5000
124.8850,-7.1940,517.2000,nan,ER,5.0000
127.4550,-4.0870,248.3000,nan,ER,5.4000
122.0780,-7.1980,526.5000,nan,ER,4.6000
129.6130,-6.6400,151.2000,nan,ER,5.7000
124.8430,-7.0320,558.5000,nan,ER,4.5000
127.6600,-7.5260,129.7000,nan,ER,4.9000
123.2540,-7.2560,583.1000,nan,ER,4.6000
124.8590,-7.1850,512.6000,nan,ER,4.0000
120.8660,-7.3840,494.0000,nan,ER,4.0000
127.4110,-8.2410,55.2000,nan,ER,5.0000
130.2760,-6.6600,99.6000,nan,ER,5.4000
127.6540,-7.4840,151.8000,nan,ER,5.1000
129.9210,-6.6640,127.5000,nan,ER,5.1000
129.4110,-7.1880,122.5000,nan,ER,4.7000
121.3860,-8.3640,68.3000,nan,ER,5.4000
130.1760,-6.2700,136.6000,nan,ER,4.7000
120.3830,-7.1780,597.8000,nan,ER,4.5000
128.3960,-5.1350,356.1000,nan,ER,4.6000
128.4600,-4.9940,291.8000,nan,ER,4.6000
127.8090,-5.7300,416.4000,nan,ER,4.7000
128.3380,-3.8800,125.6000,nan,ER,5.4000
123.3130,-6.9360,643.1000,nan,ER,5.1000
127.8380,-7.4670,146.7000,nan,ER,5.1000
119.7080,-8.1260,186.4000,nan,ER,4.8000
120.5160,-7.1640,560.5000,nan,ER,0.0000
120.3310,-7.3390,553.4000,nan,ER,4.7000
127.1530,-6.4800,413.7000,nan,ER,4.8000
129.9700,-6.5450,125.3000,nan,ER,4.9000
131.0390,-5.4790,101.6000,nan,ER,5.1000
130.9060,-5.5030,56.7000,nan,ER,5.1000
130.9060,-5.5100,66.0000,nan,ER,5.1000
130.7240,-6.3550,84.8000,nan,ER,5.8000
129.5010,-6.7570,168.3000,nan,ER,5.7000
125.2280,-7.0180,537.0000,nan,ER,5.1000
127.8070,-7.4530,150.9000,nan,ER,4.5000
129.0450,-7.1250,179.9000,nan,ER,6.0000
128.5270,-7.3850,147.6000,nan,ER,5.4000
127.9560,-7.5260,110.0000,nan,ER,5.4000
127.3620,-7.6100,178.5000,nan,ER,5.3000
128.7030,-7.4420,109.6000,nan,ER,5.5000
120.1300,-7.2590,563.4000,nan,ER,4.3000
120.7950,-8.3790,147.3000,nan,ER,5.0000
130.1530,-6.5390,136.8000,nan,ER,4.7000
129.1410,-7.1680,160.8000,nan,ER,5.3000
119.6610,-8.0770,170.5000,nan,ER,5.3000
125.4720,-6.8450,530.3000,nan,ER,4.8000
120.4250,-7.1240,571.6000,nan,ER,4.6000
120.3330,-7.2680,575.7000,nan,ER,5.3000
118.4440,-9.3960,53.9000,nan,ER,6.0000
129.2510,-4.5910,164.0000,nan,ER,5.1000
118.4080,-9.3100,68.8000,nan,ER,4.9000
129.5010,-6.8190,185.9000,nan,ER,5.4000
123.0480,-7.2300,552.4000,nan,ER,4.8000
128.5230,-7.4120,149.7000,nan,ER,5.1000
130.7410,-6.5000,75.7000,nan,ER,5.5000
129.8590,-6.8200,99.1000,nan,ER,5.7000
124.1970,-8.8020,102.6000,nan,ER,5.1000
123.7620,-7.4110,576.0000,nan,ER,5.2000
127.7790,-5.8740,403.9000,nan,ER,4.8000
123.3670,-8.9830,77.5000,nan,ER,5.1000
123.3130,-6.9340,645.0000,nan,ER,4.7000
128.7530,-7.1930,144.1000,nan,ER,4.7000
123.7900,-7.1220,592.9000,nan,ER,4.7000
126.6420,-7.2380,318.8000,nan,ER,4.6000
126.0800,-7.3300,448.8000,nan,ER,6.3000
128.4340,-7.4020,154.2000,nan,ER,5.2000
124.8640,-7.6070,362.7000,nan,ER,4.7000
124.8260,-7.6710,377.6000,nan,ER,4.7000
124.3600,-7.2000,572.4000,nan,ER,4.0000
129.3950,-6.8230,157.5000,nan,ER,5.5000
120.3580,-7.3340,573.9000,nan,ER,5.4000
129.5390,-6.0720,208.7000,nan,ER,5.1000
120.4680,-8.4130,63.1000,nan,ER,5.3000
130.3800,-6.8820,91.1000,nan,ER,5.4000
127.6740,-7.4730,138.7000,nan,ER,4.8000
127.4240,-7.5530,143.1000,nan,ER,5.3000
129.7560,-7.0820,87.7000,nan,ER,5.6000
125.8710,-7.1850,516.3000,nan,ER,6.1000
129.5670,-7.1430,168.8000,nan,ER,4.7000
130.4360,-6.3080,111.4000,nan,ER,5.2000
130.4430,-6.0990,132.3000,nan,ER,5.4000
128.5880,-3.6280,97.3000,nan,ER,5.2000
129.5230,-7.0940,142.5000,nan,ER,4.9000
130.2340,-6.3920,105.7000,nan,ER,4.9000
122.5660,-9.5480,54.4000,nan,ER,5.6000
130.0560,-7.1690,79.1000,nan,ER,5.4000
128.3930,-7.8550,68.2000,nan,ER,4.9000
126.0660,-7.1260,457.9000,nan,ER,4.6000
125.2200,-6.7820,541.6000,nan,ER,0.0000
131.1010,-6.3070,64.3000,nan,ER,5.4000
129.5320,-7.0840,109.3000,nan,ER,5.1000
128.7440,-7.3600,165.1000,nan,ER,4.7000
128.7090,-7.2800,152.1000,nan,ER,5.2000
128.9620,-7.0360,179.4000,nan,ER,4.5000
124.7850,-7.2140,524.9000,nan,ER,4.5000
129.2210,-6.9980,164.1000,nan,ER,5.4000
128.8820,-7.2280,119.2000,nan,ER,5.6000
130.0120,-6.5630,136.0000,nan,ER,5.4000
124.1050,-8.8210,132.7000,nan,ER,4.8000
129.3700,-7.0570,147.5000,nan,ER,5.0000
119.7500,-7.2950,569.4000,nan,ER,4.9000
119.6160,-8.2380,167.4000,nan,ER,4.7000
129.3910,-5.4970,294.9000,nan,ER,5.1000
129.3380,-5.4620,260.3000,nan,ER,5.1000
118.4750,-8.8960,130.8000,nan,ER,4.9000
129.0730,-5.8440,287.3000,nan,ER,4.9000
123.4390,-7.2790,600.5000,nan,ER,5.2000
131.5780,-5.2290,60.5000,nan,ER,5.1000
129.1430,-7.0470,181.7000,nan,ER,5.0000
127.5700,-7.5100,156.0000,nan,ER,5.1000
128.9620,-3.8160,110.9000,nan,ER,5.2000
129.3330,-7.1350,139.1000,nan,ER,5.5000
126.5980,-7.6960,143.3000,nan,ER,5.2000
125.9580,-5.9810,536.5000,nan,ER,4.5000
128.3520,-8.0860,87.7000,nan,ER,5.2000
130.1120,-6.5530,146.8000,nan,ER,5.6000
129.4170,-7.0350,119.1000,nan,ER,5.6000
121.2380,-7.3350,550.3000,nan,ER,4.9000
120.3670,-7.5510,605.0000,nan,ER,4.9000
123.4590,-6.9770,635.8000,nan,ER,4.2000
125.3230,-6.3660,563.9000,nan,ER,5.3000
125.5960,-6.3880,538.8000,nan,ER,4.1000
119.0970,-9.1050,65.8000,nan,ER,6.0000
119.0840,-9.0550,79.7000,nan,ER,5.3000
128.1870,-7.4190,150.8000,nan,ER,6.2000
120.3900,-7.2080,568.1000,nan,ER,5.0000
128.0810,-7.4530,172.1000,nan,ER,5.2000
128.5240,-7.3320,149.2000,nan,ER,5.2000
127.3330,-7.5980,141.9000,nan,ER,5.9000
129.3350,-6.9280,185.6000,nan,ER,5.2000
119.6370,-9.0490,73.5000,nan,ER,5.5000
128.4200,-7.3410,162.8000,nan,ER,5.5000
130.7070,-5.9960,78.9000,nan,ER,5.4000
129.5150,-6.9880,115.4000,nan,ER,5.1000
127.7080,-7.5470,153.1000,nan,ER,5.5000
125.1850,-6.9360,521.1000,nan,ER,4.4000
130.1100,-6.6430,150.5000,nan,ER,5.9000
129.7280,-6.7260,157.2000,nan,ER,5.0000
129.1320,-7.1670,155.3000,nan,ER,5.2000
129.8620,-6.6890,154.7000,nan,ER,5.4000
120.1900,-7.2860,602.3000,nan,ER,5.0000
129.8390,-6.8470,116.5000,nan,ER,4.8000
124.8840,-5.6830,600.5000,nan,ER,5.6000
128.4430,-7.3360,162.0000,nan,ER,5.0000
124.2140,-7.3450,419.8000,nan,ER,4.3000
126.8120,-6.6170,452.0000,nan,ER,5.5000
122.9370,-7.0670,581.9000,nan,ER,4.2000
129.8750,-6.5400,132.1000,nan,ER,5.2000
121.1170,-7.2120,576.0000,nan,ER,5.3000
123.8160,-9.3760,71.3000,nan,ER,4.8000
126.0500,-7.2390,466.0000,nan,ER,5.2000
128.2950,-7.3920,147.7000,nan,ER,4.9000
124.1890,-7.2270,565.0000,nan,ER,5.0000
123.7670,-6.3780,653.3000,nan,ER,5.0000
128.5630,-7.6080,62.8000,nan,ER,5.2000
125.2770,-6.9730,515.4000,nan,ER,4.6000
128.2910,-6.7450,264.7000,nan,ER,4.8000
121.7770,-8.0710,207.7000,nan,ER,5.5000
130.3150,-6.2060,149.7000,nan,ER,4.6000
130.4520,-5.8320,67.7000,nan,ER,5.0000
128.3980,-6.4880,331.3000,nan,ER,5.0000
124.9360,-6.8770,564.3000,nan,ER,4.7000
128.2840,-7.4210,150.3000,nan,ER,5.1000
128.4170,-7.3150,159.1000,nan,ER,4.6000
125.6740,-7.3580,428.8000,nan,ER,0.0000
128.5320,-7.4040,153.8000,nan,ER,5.1000
124.2160,-7.0720,607.7000,nan,ER,4.5000
130.1570,-6.4090,132.1000,nan,ER,5.2000
128.5360,-7.2960,147.2000,nan,ER,5.4000
125.0850,-7.0000,565.9000,nan,ER,4.2000
125.0660,-7.3320,520.6000,nan,ER,4.2000
120.4030,-7.2080,561.5000,nan,ER,4.9000
120.3870,-7.2270,562.2000,nan,ER,4.8000
125.1840,-7.0040,547.6000,nan,ER,5.2000
120.3240,-8.7440,130.0000,nan,ER,4.7000
124.4880,-7.3610,440.7000,nan,ER,4.5000
128.4830,-7.3250,160.9000,nan,ER,5.4000
128.8400,-6.4410,264.9000,nan,ER,5.5000
123.2810,-7.1640,590.8000,nan,ER,4.6000
130.4390,-5.1230,104.3000,nan,ER,5.8000
