lon,lat,depth,unc,Reference_,Location_T
-124.8008962,48.29624094,25.0,6,32.0,WIDE-ANGLE (ACTIVE SOURCE) >2003 new
-124.6385498,48.50537941,30.0,6,32.0,WIDE-ANGLE (ACTIVE SOURCE) >2003 new
-124.5744373,48.59178433,30.0,6,32.0,WIDE-ANGLE (ACTIVE SOURCE) >2003 new
-124.4878001,48.6960575,35.0,6,32.0,WIDE-ANGLE (ACTIVE SOURCE) >2003 new
-124.3795165,48.83521645,40.0,6,32.0,WIDE-ANGLE (ACTIVE SOURCE) >2003 new
-124.2656888,48.97719434,45.0,6,32.0,WIDE-ANGLE (ACTIVE SOURCE) >2003 new
-124.1486018,49.12205193,50.0,6,32.0,WIDE-ANGLE (ACTIVE SOURCE) >2003 new
-124.0914616,49.18828862,55.0,6,32.0,WIDE-ANGLE (ACTIVE SOURCE) >2003 new
-124.0125421,49.2878271,60.0,6,32.0,WIDE-ANGLE (ACTIVE SOURCE) >2003 new
-123.9499078,49.35845314,65.0,6,32.0,WIDE-ANGLE (ACTIVE SOURCE) >2003 new
-123.7360047,49.47313079,60.0,6,32.0,WIDE-ANGLE (ACTIVE SOURCE) >2003 new
-123.7278489,49.32101141,55.0,6,32.0,WIDE-ANGLE (ACTIVE SOURCE) >2003 new
-123.7341098,49.16632523,50.0,6,32.0,WIDE-ANGLE (ACTIVE SOURCE) >2003 new
-123.7727766,49.0174787,40.0,6,32.0,WIDE-ANGLE (ACTIVE SOURCE) >2003 new
-123.1468039,49.05972922,60.0,6,32.0,WIDE-ANGLE (ACTIVE SOURCE) >2003 new
-123.2221839,48.96217318,55.0,6,32.0,WIDE-ANGLE (ACTIVE SOURCE) >2003 new
-123.3060382,48.87111354,50.0,6,32.0,WIDE-ANGLE (ACTIVE SOURCE) >2003 new
-123.0545749,48.75366696,45.0,6,32.0,WIDE-ANGLE (ACTIVE SOURCE) >2003 new
-122.8506329,48.77725088,60.0,6,32.0,WIDE-ANGLE (ACTIVE SOURCE) >2003 new
-122.9091692,48.70858208,55.0,6,32.0,WIDE-ANGLE (ACTIVE SOURCE) >2003 new
-122.8134061,48.66091315,50.0,6,32.0,WIDE-ANGLE (ACTIVE SOURCE) >2003 new
-123.1190277,48.45118468,45.0,6,32.0,WIDE-ANGLE (ACTIVE SOURCE) >2003 new
-123.0476395,48.25134534,45.0,6,32.0,WIDE-ANGLE (ACTIVE SOURCE) >2003 new
-123.258963,48.27421835,40.0,6,32.0,WIDE-ANGLE (ACTIVE SOURCE) >2003 new
-123.3074751,48.25142218,40.0,6,32.0,WIDE-ANGLE (ACTIVE SOURCE) >2003 new
-123.7341344,47.8779675,30.0,6,32.0,WIDE-ANGLE (ACTIVE SOURCE) >2003 new
-123.4469653,48.04461483,55.0,6,32.0,WIDE-ANGLE (ACTIVE SOURCE) >2003 new
-122.8159713,47.94023708,45.0,6,32.0,WIDE-ANGLE (ACTIVE SOURCE) >2003 new
-122.6871607,47.88637814,50.0,6,32.0,WIDE-ANGLE (ACTIVE SOURCE) >2003 new
-123.4468536,48.04587965,35.0,6,32.0,WIDE-ANGLE (ACTIVE SOURCE) >2003 new
-122.7743912,48.24709267,50.0,6,32.0,WIDE-ANGLE (ACTIVE SOURCE) >2003 new
-122.5822701,48.24663823,55.0,6,32.0,WIDE-ANGLE (ACTIVE SOURCE) >2003 new
-123.7309446,48.9701659,45.0,6,32.0,WIDE-ANGLE (ACTIVE SOURCE) >2003 new
-123.458115,48.67199015,45.0,6,32.0,WIDE-ANGLE (ACTIVE SOURCE) >2003 new
-123.5126118,48.60932555,40.0,6,32.0,WIDE-ANGLE (ACTIVE SOURCE) >2003 new
-123.7332785,48.59449739,40.0,6,32.0,WIDE-ANGLE (ACTIVE SOURCE) >2003 new
-124.4128499,48.24462099,30.0,6,32.0,WIDE-ANGLE (ACTIVE SOURCE) >2003 new
-123.0668391,48.03845792,40.0,6,32.0,WIDE-ANGLE (ACTIVE SOURCE) >2003 new
-122.5814255,48.5716612,55.0,6,32.0,WIDE-ANGLE (ACTIVE SOURCE) >2003 new
-123.6449333,48.4432105,35.0,6,32.0,WIDE-ANGLE (ACTIVE SOURCE) >2003 new
-123.7266411,48.22011172,35.0,6,32.0,WIDE-ANGLE (ACTIVE SOURCE) >2003 new
-123.8749555,48.33958995,35.0,6,32.0,WIDE-ANGLE (ACTIVE SOURCE) >2003 new
-123.8187914,48.25008964,35.0,6,32.0,WIDE-ANGLE (ACTIVE SOURCE) >2003 new
-123.8057475,48.23568061,30.0,6,32.0,WIDE-ANGLE (ACTIVE SOURCE) >2003 new
-123.0063256,48.58619269,50.0,6,32.0,WIDE-ANGLE (ACTIVE SOURCE) >2003 new
