lat,lon,depth
42.8035,-122.0163,138.4531
42.8012,-121.8509,157.5008
42.7997,-121.6797,178.8418
42.7981,-121.5034,201.6998
42.7966,-121.3211,225.3251
42.7977,-121.0996,245.8643
42.7985,-120.9127,268.6477
42.9996,-122.0348,139.6016
42.9996,-121.8526,157.3382
42.9996,-121.6724,178.0810
42.9996,-121.5143,202.4418
42.9996,-121.2863,222.7413
42.9997,-121.0733,243.8837
42.9997,-120.8610,264.3330
42.9998,-120.6049,280.3898
43.1947,-122.1542,120.0516
43.1965,-122.0021,136.8767
43.1983,-121.8525,157.5017
43.1996,-121.6903,179.5624
43.2011,-121.5235,203.1127
43.2024,-121.3232,225.3268
43.2013,-121.0748,243.7065
43.2005,-120.8797,265.7206
43.3984,-122.1210,116.3041
43.3986,-121.9702,134.1314
43.3992,-121.8185,154.7185
43.4002,-121.5327,203.7757
43.4006,-121.3423,226.5571
43.4004,-121.0942,244.9650
43.6015,-122.1214,116.3094
43.6010,-121.9630,133.3478
43.5985,-121.3253,225.1357
43.5987,-121.1311,247.8372
43.8038,-122.1150,114.9873
43.8023,-121.9412,130.5955
43.9998,-121.9430,130.2278
44.1982,-122.0544,107.3773
44.1984,-121.8947,125.8737
44.3996,-122.0341,105.3138
44.3997,-121.8393,120.7014
44.6000,-122.0000,101.0894
44.6001,-121.8158,118.3354
44.6002,-121.6685,141.2611
44.7998,-121.9931,99.7728
44.8000,-121.8000,116.4358
44.8001,-121.6259,137.3765
45.0000,-121.8000,116.1498
45.0000,-121.6174,136.5273
45.2009,-121.9724,97.2312
45.2003,-121.7840,114.8584
45.2000,-121.6000,135.1387
45.2000,-121.4000,155.8124
45.4003,-121.9723,97.7020
45.3999,-121.8160,118.3293
45.4000,-121.6000,135.2666
45.4000,-121.4182,157.2590
45.4001,-121.2742,183.2098
45.6002,-122.0139,102.7828
45.6002,-121.8321,119.9161
45.6000,-121.6174,136.7670
45.6000,-121.4547,160.1482
45.5999,-121.2651,182.4965
45.5999,-121.0280,201.6810
45.5999,-120.8369,224.0831
45.8011,-122.0350,104.8472
45.8008,-121.8486,121.1565
45.8004,-121.6702,141.1046
45.8000,-121.4734,161.5743
45.7995,-121.2937,184.7221
45.7991,-121.0936,206.8571
45.7995,-120.8740,227.1181
45.7999,-120.6364,245.2008
46.0000,-121.8493,120.8420
45.9999,-121.6884,142.4753
45.9999,-121.5293,165.8765
45.9999,-121.3510,189.0432
45.9999,-121.1222,209.2482
46.0000,-120.8926,228.7061
46.0000,-120.7097,251.1355
45.9999,-120.5257,272.9253
46.2005,-121.9859,98.9218
46.1997,-121.8163,118.0028
46.1996,-121.6707,141.1033
46.1999,-121.5202,165.1740
46.2006,-121.3511,188.9696
46.2012,-121.1510,211.1263
46.2007,-120.9491,232.8963
46.2003,-120.7654,255.4722
46.2002,-120.5623,275.8795
46.4001,-121.9929,100.2379
46.4001,-121.7837,115.1602
46.3999,-121.6442,139.0046
46.4000,-121.5018,163.7546
46.4002,-121.3323,187.4681
46.4004,-121.1704,212.3563
46.4003,-120.9312,231.2972
46.4001,-120.7477,253.9222
46.4000,-120.5538,275.0862
46.4000,-120.3588,295.3986
46.6000,-122.0000,101.0872
46.5997,-121.7511,111.9997
46.6000,-121.6000,135.2617
46.6000,-121.4743,161.5877
46.5998,-121.2948,184.6256
46.5997,-121.0950,206.6652
46.5998,-120.8846,227.6927
46.5998,-120.6926,249.5263
46.5998,-120.5089,271.3538
46.5999,-120.2884,289.2945
46.5999,-120.0770,306.9297
46.8005,-122.0142,102.3068
46.7985,-121.7094,107.7635
46.7997,-121.5465,130.6478
46.8000,-121.4187,157.2469
46.7999,-121.2191,179.0522
46.7997,-121.0381,202.5895
46.7999,-120.8188,222.7879
46.7999,-120.6371,245.2055
46.7999,-120.4273,264.6736
46.8000,-120.2177,283.2293
