lon,lat,depth,unc,Reference_,Location_T
-124.5507204,45.77641156,20.0,8,24.0,TELESEISMIC RECEIVER FUNCTION <2002 (v.4)
-123.5785446,45.78376696,25.0,8,24.0,TELESEISMIC RECEIVER FUNCTION <2002 (v.4)
-123.3448859,45.77921673,30.0,8,24.0,TELESEISMIC RECEIVER FUNCTION <2002 (v.4)
-123.2046756,45.78273588,35.0,8,24.0,TELESEISMIC RECEIVER FUNCTION <2002 (v.4)
-123.0391565,45.77568037,40.0,8,24.0,TELESEISMIC RECEIVER FUNCTION <2002 (v.4)
-122.9326816,45.78046789,45.0,8,24.0,TELESEISMIC RECEIVER FUNCTION <2002 (v.4)
-122.7663539,45.78245028,50.0,8,24.0,TELESEISMIC RECEIVER FUNCTION <2002 (v.4)
-122.6694536,45.78419741,55.0,8,24.0,TELESEISMIC RECEIVER FUNCTION <2002 (v.4)
-122.5862846,45.78347995,60.0,8,24.0,TELESEISMIC RECEIVER FUNCTION <2002 (v.4)
-122.5023594,45.79045028,70.0,8,24.0,TELESEISMIC RECEIVER FUNCTION <2002 (v.4)
-122.4322771,45.79176818,80.0,8,24.0,TELESEISMIC RECEIVER FUNCTION <2002 (v.4)
-122.3491211,45.79242298,90.0,8,24.0,TELESEISMIC RECEIVER FUNCTION <2002 (v.4)
-122.2815244,45.7905946,100.0,8,24.0,TELESEISMIC RECEIVER FUNCTION <2002 (v.4)
-122.2025297,45.79449863,110.0,8,24.0,TELESEISMIC RECEIVER FUNCTION <2002 (v.4)
-122.1324845,45.79380479,120.0,8,24.0,TELESEISMIC RECEIVER FUNCTION <2002 (v.4)
-122.047011,45.79425922,130.0,8,24.0,TELESEISMIC RECEIVER FUNCTION <2002 (v.4)
-121.9529387,45.79396682,140.0,8,24.0,TELESEISMIC RECEIVER FUNCTION <2002 (v.4)
-121.8959059,45.7973883,150.0,8,24.0,TELESEISMIC RECEIVER FUNCTION <2002 (v.4)
-125.4582262,46.79485152,20.0,8,24.0,TELESEISMIC RECEIVER FUNCTION <2002 (v.4)
-124.1834783,47.06569524,25.0,8,24.0,TELESEISMIC RECEIVER FUNCTION <2002 (v.4)
-123.7930222,47.12615296,30.0,8,24.0,TELESEISMIC RECEIVER FUNCTION <2002 (v.4)
-123.4485544,47.17947,35.0,8,24.0,TELESEISMIC RECEIVER FUNCTION <2002 (v.4)
-123.0130491,47.24096668,40.0,8,24.0,TELESEISMIC RECEIVER FUNCTION <2002 (v.4)
-122.8535845,47.27055345,45.0,8,24.0,TELESEISMIC RECEIVER FUNCTION <2002 (v.4)
-122.7350099,47.29066668,50.0,8,24.0,TELESEISMIC RECEIVER FUNCTION <2002 (v.4)
-122.6497738,47.30966581,55.0,8,24.0,TELESEISMIC RECEIVER FUNCTION <2002 (v.4)
-122.5752872,47.32509978,60.0,8,24.0,TELESEISMIC RECEIVER FUNCTION <2002 (v.4)
