lon,lat,depth,ID,etype
293.688,18.947,42.0,10011.0,EQ
289.426,19.439,25.17,10019.0,EQ
292.932,19.393,28.0,10023.0,EQ
289.543,18.507,33.86,10030.0,EQ
290.142,18.813,108.46,10031.0,EQ
290.661,18.745,90.88,10032.0,EQ
291.019,18.541,114.0,10033.0,EQ
291.019,18.541,114.0,10033.0,EQ
293.261,19.039,36.0,10036.0,EQ
292.991,19.219,17.9,10041.0,EQ
291.932,19.381,30.6,10045.0,EQ
290.516,19.387,49.0,10048.0,EQ
290.427,18.686,99.0,10054.0,EQ
295.32,18.608,57.0,10055.0,EQ
291.03,18.515,111.8,10056.0,EQ
291.03,18.515,111.8,10056.0,EQ
291.109,18.32,170.0,10058.0,EQ
291.109,18.32,170.0,10058.0,EQ
295.423,18.889,46.2,10073.0,EQ
289.623,18.423,27.7,10094.0,EQ
292.744,19.08,33.3,10095.0,EQ
291.341,18.383,134.1,10097.0,EQ
291.341,18.383,134.1,10097.0,EQ
290.624,18.726,100.8,10104.0,EQ
289.684,18.884,82.9,10118.0,EQ
289.459,18.647,58.0,10126.0,EQ
292.907,19.091,52.6,10134.0,EQ
295.298,18.651,54.7,10147.0,EQ
295.364,19.022,21.4,10157.0,EQ
290.592,18.622,104.4,10175.0,EQ
291.081,18.674,121.6,10176.0,EQ
292.93,18.4,113.0,10188.0,EQ
292.93,18.4,113.0,10188.0,EQ
292.082,19.033,56.0,10196.0,EQ
292.63,18.188,14.0,10202.0,EQ
292.629,18.172,17.0,10203.0,EQ
292.075,19.468,52.0,10218.0,EQ
291.119,19.026,106.0,10219.0,EQ
293.748,17.944,6.0,10320.0,EQ
293.574,17.972,7.0,10321.0,EQ
289.925,18.872,115.96,10349.0,EQ
290.875,18.433,132.66,10351.0,EQ
290.875,18.433,132.66,10351.0,EQ
290.446,18.976,108.45,10352.0,EQ
290.935,18.49,118.0,10354.0,EQ
290.935,18.49,118.0,10354.0,EQ
290.988,18.609,111.05,10355.0,EQ
291.023,18.749,136.0,10359.0,EQ
291.118,18.953,107.0,10360.0,EQ
291.548,18.672,118.0,10361.0,EQ
291.872,18.926,81.0,10362.0,EQ
291.348,18.912,46.0,10364.0,EQ
291.195,18.507,127.0,10365.0,EQ
291.195,18.507,127.0,10365.0,EQ
291.202,18.456,113.0,10366.0,EQ
291.202,18.456,113.0,10366.0,EQ
291.314,18.833,146.0,10367.0,EQ
291.765,18.76,136.0,10369.0,EQ
291.025,18.391,140.0,10370.0,EQ
291.025,18.391,140.0,10370.0,EQ
291.205,18.542,121.0,10371.0,EQ
291.205,18.542,121.0,10371.0,EQ
291.399,18.708,98.65,10373.0,EQ
291.861,18.805,68.0,10374.0,EQ
291.077,18.524,116.0,10375.0,EQ
291.077,18.524,116.0,10375.0,EQ
291.704,18.61,110.0,10377.0,EQ
291.714,18.214,28.0,10378.0,EQ
291.719,18.285,86.0,10379.0,EQ
291.093,18.85,107.0,10381.0,EQ
291.704,18.315,84.0,10384.0,EQ
291.02,18.532,156.0,10385.0,EQ
291.02,18.532,156.0,10385.0,EQ
291.791,18.963,80.0,10386.0,EQ
291.268,18.847,130.0,10387.0,EQ
291.394,18.851,113.0,10389.0,EQ
291.924,18.769,128.0,10391.0,EQ
291.784,18.704,131.0,10393.0,EQ
291.871,18.462,129.0,10394.0,EQ
291.871,18.462,129.0,10394.0,EQ
291.508,18.841,51.0,10398.0,EQ
291.164,18.636,163.0,10399.0,EQ
291.435,18.657,98.0,10400.0,EQ
291.847,18.295,30.0,10402.0,EQ
291.817,18.285,142.0,10404.0,EQ
291.817,18.285,142.0,10404.0,EQ
291.452,18.903,180.0,10406.0,EQ
291.534,18.676,153.0,10409.0,EQ
291.194,18.694,166.0,10410.0,EQ
291.538,18.681,169.0,10412.0,EQ
291.498,18.359,178.0,10414.0,EQ
291.498,18.359,178.0,10414.0,EQ
291.102,18.545,163.0,10416.0,EQ
291.102,18.545,163.0,10416.0,EQ
291.966,18.97,53.0,10417.0,EQ
291.799,18.325,174.0,10420.0,EQ
291.799,18.325,174.0,10420.0,EQ
291.725,18.621,107.0,10421.0,EQ
291.095,18.771,93.0,10422.0,EQ
291.734,18.735,173.0,10423.0,EQ
291.223,18.639,138.0,10424.0,EQ
291.431,18.685,182.0,10425.0,EQ
291.573,18.269,196.0,10426.0,EQ
291.573,18.269,196.0,10426.0,EQ
291.848,18.982,70.0,10427.0,EQ
291.964,18.969,76.0,10428.0,EQ
291.502,18.924,53.0,10429.0,EQ
291.796,18.476,162.0,10431.0,EQ
291.796,18.476,162.0,10431.0,EQ
291.798,18.896,167.0,10432.0,EQ
291.007,18.697,156.0,10435.0,EQ
