lat,lon,depth,unc,etype,ID,mag,time,S1,D1,R1,S2,D2,R2,src
0.37,124.5,163.33,15.0,EQ,100447,4.2,2015-10-30 23:58:26.050,nan,nan,nan,nan,nan,nan,91517
0.41,124.47,106.0,15.0,EQ,100604,5.3,1973-10-31 19:35:55.100,nan,nan,nan,nan,nan,nan,91517
0.47,124.5,130.9,15.0,EQ,101109,5.1,1991-02-12 22:06:48.460,nan,nan,nan,nan,nan,nan,91517
0.83,124.46,194.9,15.0,EQ,101112,5.0,1993-05-07 20:16:37.820,nan,nan,nan,nan,nan,nan,91517
0.27,124.45,131.8,15.0,EQ,101325,4.2,1999-01-31 03:44:13.910,nan,nan,nan,nan,nan,nan,91517
0.48,124.5,113.4,15.0,EQ,101326,4.8,1999-04-10 01:49:48.260,nan,nan,nan,nan,nan,nan,91517
1.15,124.51,132.7,15.0,EQ,101518,4.1,2004-09-20 16:02:54.090,nan,nan,nan,nan,nan,nan,91517
0.66,124.52,156.8,15.0,EQ,101887,4.5,2011-05-08 01:48:06.370,nan,nan,nan,nan,nan,nan,91517
0.38,124.45,119.7,15.0,EQ,101964,4.0,2012-03-28 20:20:10.070,nan,nan,nan,nan,nan,nan,91517
0.69,124.55,174.2,15.0,EQ,101965,5.0,2012-10-25 10:09:45.000,nan,nan,nan,nan,nan,nan,91517
