lon,lat,depth,ID,etype
292.232,18.943,24.0,10608.0,EQ
292.312,18.187,7.0,10610.0,EQ
292.36,18.735,32.0,10611.0,EQ
292.161,18.976,30.0,10612.0,EQ
292.25,18.963,23.0,10613.0,EQ
292.541,18.856,17.0,10614.0,EQ
292.809,18.989,7.0,10615.0,EQ
292.146,18.213,121.0,10616.0,EQ
292.244,18.995,38.0,10617.0,EQ
292.636,18.921,6.0,10619.0,EQ
292.139,18.154,65.0,10620.0,EQ
292.618,18.965,22.0,10621.0,EQ
292.571,18.764,7.0,10622.0,EQ
292.313,18.989,12.0,10625.0,EQ
292.575,18.147,6.0,10626.0,EQ
293.363,18.82,9.0,10629.0,EQ
293.844,18.892,21.0,10643.0,EQ
293.37,18.65,19.0,10645.0,EQ
293.742,18.179,9.0,10653.0,EQ
293.121,18.185,17.0,10655.0,EQ
293.497,18.767,36.0,10661.0,EQ
293.737,18.061,49.0,10662.0,EQ
293.406,18.709,36.0,10663.0,EQ
293.094,18.64,19.0,10673.0,EQ
293.911,18.228,7.0,10674.0,EQ
294.029,18.22,8.0,10677.0,EQ
294.935,18.64,30.0,10684.0,EQ
294.57,18.061,18.0,10685.0,EQ
294.03,18.219,8.0,10694.0,EQ
294.714,18.934,22.0,10711.0,EQ
294.396,18.935,8.0,10726.0,EQ
294.976,18.492,34.0,10728.0,EQ
294.933,18.838,5.0,10730.0,EQ
294.817,18.928,19.0,10733.0,EQ
294.683,18.971,6.0,10734.0,EQ
294.822,18.995,18.0,10735.0,EQ
294.031,18.99,18.0,10737.0,EQ
294.928,18.983,11.0,10743.0,EQ
294.474,18.606,12.0,10746.0,EQ
294.391,18.587,27.0,10751.0,EQ
294.626,18.054,13.0,10756.0,EQ
294.817,18.953,19.0,10757.0,EQ
294.984,18.818,24.0,10765.0,EQ
294.649,18.994,16.0,10768.0,EQ
294.902,18.765,19.0,10774.0,EQ
294.991,18.731,29.0,10775.0,EQ
294.961,18.846,24.0,10777.0,EQ
294.859,18.956,12.0,10781.0,EQ
294.26,18.595,19.0,10783.0,EQ
294.995,18.987,12.0,10784.0,EQ
294.098,18.938,13.0,10786.0,EQ
294.897,18.999,14.0,10787.0,EQ
294.763,18.945,12.0,10789.0,EQ
294.625,18.017,13.0,10791.0,EQ
294.612,18.031,13.0,10792.0,EQ
294.532,18.893,9.0,10793.0,EQ
295.082,18.955,11.0,10830.0,EQ
295.559,18.89,5.0,10833.0,EQ
295.004,18.973,12.0,10834.0,EQ
295.436,18.917,6.0,10835.0,EQ
295.314,18.181,3.0,10852.0,EQ
295.594,18.858,8.0,10855.0,EQ
295.495,18.929,6.0,10858.0,EQ
295.026,18.706,19.0,10859.0,EQ
295.311,18.846,14.0,10863.0,EQ
295.31,18.456,8.0,10873.0,EQ
295.019,18.887,13.0,10884.0,EQ
295.597,18.826,7.0,10900.0,EQ
295.424,18.686,26.0,10905.0,EQ
295.25,18.646,24.0,10908.0,EQ
295.009,18.08,6.0,10918.0,EQ
295.003,18.722,30.0,10920.0,EQ
295.335,18.605,7.0,10922.0,EQ
295.4,18.694,13.0,10924.0,EQ
295.528,18.881,8.0,10938.0,EQ
295.368,18.987,4.0,10948.0,EQ
295.53,18.739,5.0,10949.0,EQ
295.078,18.683,29.0,10951.0,EQ
295.332,18.009,108.0,10953.0,EQ
295.239,18.65,5.0,10967.0,EQ
295.569,18.863,7.0,10977.0,EQ
295.048,18.681,16.0,10983.0,EQ
295.162,18.651,8.0,10985.0,EQ
295.441,18.876,14.0,10986.0,EQ
295.44,18.664,32.0,10991.0,EQ
290.168,19.297,9.62,11029.0,EQ
290.123,19.62,6.34,11033.0,EQ
291.995,19.535,11.0,11034.0,EQ
291.854,19.271,27.0,11036.0,EQ
291.003,19.454,7.0,11042.0,EQ
291.807,19.226,16.0,11048.0,EQ
291.831,19.261,27.0,11058.0,EQ
291.639,19.135,24.0,11061.0,EQ
291.942,19.09,29.0,11076.0,EQ
291.995,19.023,7.0,11080.0,EQ
291.723,19.078,29.0,11083.0,EQ
291.928,19.194,27.0,11091.0,EQ
291.967,19.153,34.0,11096.0,EQ
291.985,19.037,27.0,11097.0,EQ
291.948,19.125,28.0,11099.0,EQ
291.904,19.112,24.0,11109.0,EQ
292.368,19.02,22.0,11123.0,EQ
292.365,19.035,26.0,11140.0,EQ
292.965,19.326,8.0,11145.0,EQ
292.759,19.198,7.0,11146.0,EQ
292.867,19.022,8.0,11147.0,EQ
292.25,19.263,21.0,11149.0,EQ
292.258,19.07,11.0,11150.0,EQ
292.108,19.188,19.0,11156.0,EQ
292.035,19.215,24.0,11159.0,EQ
292.107,19.073,27.0,11172.0,EQ
292.173,19.266,7.0,11174.0,EQ
292.106,19.061,28.0,11177.0,EQ
292.206,19.055,11.0,11178.0,EQ
292.206,19.096,29.0,11179.0,EQ
292.175,19.064,29.0,11180.0,EQ
292.091,19.073,24.0,11181.0,EQ
292.207,19.055,30.0,11182.0,EQ
292.079,19.273,24.0,11183.0,EQ
292.076,19.054,38.0,11187.0,EQ
292.137,19.124,7.0,11189.0,EQ
292.049,19.064,40.0,11193.0,EQ
292.351,19.175,17.0,11199.0,EQ
292.356,19.035,24.0,11202.0,EQ
292.376,19.033,13.0,11203.0,EQ
292.319,19.102,16.0,11204.0,EQ
292.051,19.059,24.0,11212.0,EQ
292.168,19.029,38.0,11215.0,EQ
292.017,19.045,30.0,11217.0,EQ
292.076,19.142,29.0,11218.0,EQ
292.054,19.135,8.0,11219.0,EQ
292.17,19.083,26.0,11223.0,EQ
292.149,19.189,6.0,11231.0,EQ
292.3,19.16,19.0,11244.0,EQ
292.292,19.129,16.0,11247.0,EQ
292.024,19.02,39.0,11250.0,EQ
292.089,19.214,28.0,11256.0,EQ
292.063,19.099,26.0,11260.0,EQ
292.328,19.199,16.0,11261.0,EQ
293.145,19.146,8.0,11316.0,EQ
293.303,19.153,13.0,11318.0,EQ
293.168,19.131,8.0,11349.0,EQ
293.108,19.078,11.0,11378.0,EQ
293.05,19.218,3.0,11386.0,EQ
293.149,19.188,11.0,11387.0,EQ
293.953,19.163,11.0,11409.0,EQ
293.647,19.12,12.0,11433.0,EQ
293.423,19.048,8.0,11490.0,EQ
293.535,19.099,12.0,11588.0,EQ
293.887,19.094,12.0,11626.0,EQ
293.901,19.025,12.0,11627.0,EQ
293.848,19.097,12.0,11629.0,EQ
294.627,19.011,6.0,11712.0,EQ
294.591,19.062,12.0,11720.0,EQ
294.203,19.043,11.0,11733.0,EQ
294.582,19.096,12.0,11817.0,EQ
294.183,19.005,7.0,11910.0,EQ
294.434,19.099,11.0,11931.0,EQ
294.574,19.154,11.0,11946.0,EQ
294.765,19.07,13.0,11970.0,EQ
295.174,19.048,7.0,11985.0,EQ
295.212,19.047,7.0,12123.0,EQ
295.077,19.065,6.0,12161.0,EQ
295.088,19.058,8.0,12234.0,EQ
293.724,17.965,11.0,12357.0,EQ
293.716,17.962,7.0,12358.0,EQ
294.022,17.764,12.0,12359.0,EQ
294.588,17.977,5.0,12360.0,EQ
294.36,17.872,6.0,12361.0,EQ
294.362,17.902,11.0,12362.0,EQ
294.366,17.895,6.0,12363.0,EQ
294.358,17.916,11.0,12364.0,EQ
294.352,17.882,5.0,12365.0,EQ
294.358,17.885,6.0,12366.0,EQ
294.347,17.885,6.73,12367.0,EQ
294.382,17.91,6.0,12368.0,EQ
294.386,17.936,4.0,12369.0,EQ
294.391,17.922,5.0,12370.0,EQ
294.388,17.913,3.0,12371.0,EQ
294.373,17.921,2.0,12372.0,EQ
294.375,17.916,3.0,12373.0,EQ
294.378,17.93,5.0,12374.0,EQ
294.366,17.889,6.0,12375.0,EQ
294.114,17.906,8.0,12376.0,EQ
294.12,17.919,4.0,12377.0,EQ
294.116,17.91,5.0,12378.0,EQ
294.738,17.895,9.0,12379.0,EQ
294.376,17.965,3.0,12380.0,EQ
294.37,17.898,6.0,12381.0,EQ
294.121,17.909,8.0,12382.0,EQ
294.12,17.929,8.0,12383.0,EQ
294.358,17.824,44.0,12385.0,EQ
294.365,17.886,6.0,12386.0,EQ
294.726,17.948,4.0,12387.0,EQ
294.324,17.917,13.0,12388.0,EQ
294.538,17.965,16.0,12389.0,EQ
289.901,18.481,69.25,12404.0,EQ
291.355,18.266,144.0,12414.0,EQ
291.027,18.326,111.0,12415.0,EQ
291.584,18.252,119.0,12418.0,EQ
291.318,18.328,142.0,12419.0,EQ
291.517,18.469,81.0,12421.0,EQ
291.445,18.32,75.0,12423.0,EQ
291.809,18.23,72.0,12424.0,EQ
291.996,18.292,97.0,12425.0,EQ
291.925,18.21,94.0,12426.0,EQ
291.386,18.293,74.15,12434.0,EQ
291.785,18.361,75.0,12436.0,EQ
291.802,18.472,90.0,12439.0,EQ
291.483,18.298,66.0,12441.0,EQ
291.452,18.243,154.0,12442.0,EQ
291.749,18.693,67.0,12443.0,EQ
291.947,18.189,104.0,12444.0,EQ
291.875,18.214,87.0,12445.0,EQ
291.105,18.381,118.0,12452.0,EQ
291.425,18.438,80.0,12453.0,EQ
291.083,18.381,120.0,12454.0,EQ
291.955,18.129,104.0,12463.0,EQ
291.958,18.272,101.0,12465.0,EQ
291.153,18.393,111.0,12466.0,EQ
