lat,lon,depth,unc,etype,ID,mag,time,S1,D1,R1,S2,D2,R2,src
5.68,125.50,193.00,15.00,EQ,100001,5.40,2016-09-16 07:50:46.450,334.53,85.02,91.46,138.17,5.19,73.70,05-18-17
5.77,124.73,81.00,15.00,EQ,100013,5.50,1979-02-11 17:30:18.200,294.13,31.43,55.89,152.57,64.42,108.92,05-18-17
5.68,124.70,61.00,15.00,EQ,100014,5.50,1979-02-19 00:35:46.300,151.06,75.61,101.35,292.14,18.26,52.52,05-18-17
5.86,125.29,85.00,15.00,EQ,100016,6.10,1979-11-19 22:17:20.200,290.90,49.83,138.76,50.38,59.75,48.30,05-18-17
5.73,125.54,153.20,15.00,EQ,100020,6.60,1984-10-29 23:18:05.180,135.05,87.91,72.48,38.45,17.64,173.08,05-18-17
5.57,125.41,87.50,15.00,EQ,100023,5.50,1986-07-12 10:17:25.560,2.98,67.21,102.91,152.35,26.02,61.99,05-18-17
5.72,125.33,71.60,15.00,EQ,100024,5.60,1986-10-29 20:11:39.730,26.82,67.87,123.82,146.17,39.69,36.15,05-18-17
5.63,125.73,169.80,15.00,EQ,100026,5.20,1989-06-07 21:47:35.050,300.80,58.33,112.53,82.50,38.18,58.16,05-18-17
5.64,125.25,77.80,15.00,EQ,100032,5.70,1990-11-07 14:36:27.790,157.88,43.08,68.81,5.85,50.44,108.68,05-18-17
5.62,125.33,74.20,15.00,EQ,100033,5.40,1991-04-29 22:06:02.010,13.98,51.07,81.45,207.43,39.71,100.43,05-18-17
6.09,125.38,101.80,15.00,EQ,100037,5.40,1993-09-24 00:57:25.590,223.45,68.97,115.10,350.91,32.30,42.19,05-18-17
5.68,125.45,223.90,15.00,EQ,100041,5.80,1997-10-05 19:00:02.380,327.43,65.60,89.72,148.12,24.40,90.62,05-18-17
7.14,123.68,117.90,15.00,EQ,100044,5.50,1999-09-08 00:29:00.800,200.64,86.93,176.30,290.84,86.30,3.08,05-18-17
6.01,125.46,163.60,15.00,EQ,100050,5.00,2003-04-26 15:09:49.570,286.23,68.97,66.39,156.84,31.21,136.17,05-18-17
6.16,124.27,82.40,15.00,EQ,100053,4.80,2004-09-13 20:00:01.930,289.40,84.40,27.74,196.46,62.41,173.68,05-18-17
5.89,125.28,82.20,15.00,EQ,100054,5.50,2004-09-15 19:45:42.070,291.63,68.01,167.93,26.20,78.82,22.43,05-18-17
5.69,125.72,170.70,15.00,EQ,100056,5.40,2005-08-27 10:58:01.880,44.51,59.13,45.99,286.53,51.88,139.29,05-18-17
5.64,125.16,81.30,15.00,EQ,100064,5.10,2007-06-26 20:36:52.270,24.50,29.67,90.44,203.99,60.33,89.75,05-18-17
6.07,125.25,125.20,15.00,EQ,100067,5.20,2008-05-17 14:17:30.260,201.75,65.00,92.49,15.87,25.12,84.67,05-18-17
5.75,125.38,206.00,15.00,EQ,100070,6.30,2008-12-25 03:20:29.350,358.16,78.89,77.08,228.13,16.97,138.71,05-18-17
5.79,125.59,136.39,15.00,EQ,100093,5.00,2014-01-12 13:07:50.280,24.17,74.91,197.77,289.40,72.87,-15.81,05-18-17
5.68,125.71,132.48,15.00,EQ,100094,5.40,2014-05-09 05:44:27.820,107.20,80.89,26.97,12.60,63.40,169.80,05-18-17
5.75,125.38,78.36,15.00,EQ,100095,5.20,2015-01-21 05:20:27.630,105.00,77.12,13.86,11.85,76.50,166.75,05-18-17
5.57,125.71,126.97,15.00,EQ,100096,5.20,2016-08-10 04:06:58.950,12.08,34.58,175.72,105.61,87.57,55.50,05-18-17
5.67,125.31,74.27,15.00,EQ,100097,4.70,2016-08-10 08:17:46.350,105.53,76.13,22.29,9.91,68.39,165.05,05-18-17
5.93,124.39,69.10,15.00,EQ,100138,4.70,2004-09-06 06:03:20.560,nan,nan,nan,nan,nan,nan,05-18-17
5.92,124.32,66.70,15.00,EQ,100143,4.20,2006-11-29 07:33:04.940,nan,nan,nan,nan,nan,nan,05-18-17
5.86,124.65,100.20,15.00,EQ,100147,4.60,2007-08-18 07:28:31.740,nan,nan,nan,nan,nan,nan,05-18-17
5.74,124.96,83.30,15.00,EQ,100150,4.60,2009-02-22 10:42:41.140,nan,nan,nan,nan,nan,nan,05-18-17
5.72,124.98,66.20,15.00,EQ,100156,4.10,2012-04-09 03:54:32.660,nan,nan,nan,nan,nan,nan,05-18-17
5.82,124.92,72.50,15.00,EQ,100157,4.90,2013-01-17 04:58:17.390,nan,nan,nan,nan,nan,nan,05-18-17
5.38,124.81,96.67,15.00,EQ,100160,4.10,2013-08-09 06:43:10.300,nan,nan,nan,nan,nan,nan,05-18-17
5.78,124.45,60.02,15.00,EQ,100167,4.60,2015-12-22 00:15:47.970,nan,nan,nan,nan,nan,nan,05-18-17
