lat,lon,depth,unc,etype,ID,mag,time,S1,D1,R1,S2,D2,R2,src
0.40,121.99,118.00,15.00,EQ,100001,5.90,2015-03-28 22:28:50.780,264.84,67.70,104.22,51.11,26.25,59.09,05-18-17
0.31,120.58,94.00,15.00,EQ,100005,5.50,2017-03-31 11:21:01.040,170.89,56.27,116.15,309.40,41.71,56.56,05-18-17
0.65,121.15,75.46,15.00,EQ,100006,5.40,2017-03-14 05:55:21.510,45.71,74.29,333.41,143.43,64.47,-162.53,05-18-17
0.27,122.05,187.00,15.00,EQ,100007,5.50,2000-04-03 08:55:00.120,111.34,47.45,73.22,315.37,45.14,107.46,05-18-17
0.08,122.97,79.00,15.00,EQ,100013,5.90,1979-04-22 18:16:30.600,185.18,48.76,68.50,36.05,45.61,112.69,05-18-17
0.44,120.87,94.30,15.00,EQ,100017,5.60,1981-10-11 00:36:13.310,51.65,89.96,276.89,141.98,6.89,-179.67,05-18-17
0.20,120.68,82.00,15.00,EQ,100019,5.60,1982-09-24 19:47:13.590,349.22,10.82,42.40,217.34,82.73,98.03,05-18-17
0.44,121.69,128.50,15.00,EQ,100029,5.50,1984-03-20 07:13:27.070,229.81,73.40,146.21,330.63,57.79,19.73,05-18-17
0.39,122.22,107.10,15.00,EQ,100034,5.50,1984-08-15 13:18:28.110,209.15,50.68,137.95,328.90,58.79,47.80,05-18-17
0.90,122.14,60.30,15.00,EQ,100035,5.70,1984-10-26 06:38:59.870,5.51,34.01,13.66,264.12,82.41,123.25,05-18-17
0.29,121.52,183.80,15.00,EQ,100040,5.30,1985-05-21 19:12:53.240,335.03,27.72,94.85,149.55,62.39,87.46,05-18-17
0.15,120.38,70.40,15.00,EQ,100041,5.40,1985-08-07 06:24:06.470,160.63,65.73,155.03,261.46,67.37,26.44,05-18-17
0.38,122.19,142.00,15.00,EQ,100043,5.40,1985-12-28 05:00:26.620,306.85,80.39,71.63,190.15,20.66,151.74,05-18-17
0.64,121.34,96.10,15.00,EQ,100046,5.60,1986-12-22 02:04:18.870,316.27,71.45,184.88,224.71,85.37,-18.61,05-18-17
0.80,122.23,82.30,15.00,EQ,100047,5.40,1987-05-17 13:43:39.010,265.85,71.92,157.35,3.23,68.52,19.48,05-18-17
0.75,121.94,78.50,15.00,EQ,100048,5.30,1987-05-31 18:32:17.050,352.40,47.52,18.82,249.43,76.23,135.95,05-18-17
0.57,121.43,102.60,15.00,EQ,100055,5.50,1989-10-20 03:43:13.160,324.22,64.06,203.56,223.42,68.93,-27.96,05-18-17
0.41,121.64,124.40,15.00,EQ,100057,5.20,1989-12-02 07:52:18.180,8.78,45.22,23.14,262.03,73.80,132.82,05-18-17
