lat,lon,depth,unc,etype,ID,mag,time,S1,D1,R1,S2,D2,R2,src
31.14,130.01,163.0,15.0,EQ,100019,6.2,2009-09-03 13:26:17.950,237.18,23.5,123.72,21.13,70.63,76.43,05-18-17
33.68,131.82,79.0,15.0,EQ,100020,6.3,2014-03-13 17:06:50.770,356.59,83.39,69.22,249.72,21.76,161.91,05-18-17
31.0,130.39,138.29,15.0,EQ,100039,5.3,2017-03-11 18:48:41.030,213.32,21.62,90.32,32.98,68.38,89.87,05-18-17
30.07,130.57,63.2,15.0,EQ,100330,4.5,2007-06-03 18:07:18.530,100.23,69.23,45.13,350.62,48.5,151.74,05-18-17
30.93,130.23,162.2,15.0,EQ,100332,4.1,2009-10-20 12:28:11.710,232.74,11.84,133.73,8.4,81.48,81.76,05-18-17
30.76,130.31,126.5,15.0,EQ,100334,4.5,2010-09-25 23:24:58.630,280.67,55.56,223.05,162.82,55.74,-43.18,05-18-17
31.53,130.33,187.1,15.0,EQ,100346,4.3,2007-04-10 23:06:14.200,165.99,86.66,328.9,258.0,58.96,-176.1,05-18-17
31.37,130.41,166.8,15.0,EQ,100347,4.7,2009-11-28 10:45:48.530,221.59,44.99,102.19,24.61,46.29,78.08,05-18-17
31.63,131.27,79.4,15.0,EQ,100348,4.3,2005-03-05 05:58:54.810,331.81,53.27,167.24,69.52,79.8,37.42,05-18-17
33.04,131.31,125.7,15.0,EQ,100373,4.7,2005-12-31 13:26:42.220,247.91,38.12,103.0,51.56,53.02,79.99,05-18-17
33.25,131.7,82.4,15.0,EQ,100374,4.2,2006-05-28 11:36:32.640,222.5,53.3,144.1,335.89,61.96,42.62,05-18-17
33.52,131.69,81.7,15.0,EQ,100376,4.7,2009-01-24 17:33:38.640,185.2,76.07,279.4,330.67,16.75,-123.38,05-18-17
33.14,131.99,63.6,15.0,EQ,100377,4.2,2009-06-14 10:17:55.720,310.01,75.35,152.02,47.66,63.0,16.49,05-18-17
33.46,131.79,70.8,15.0,EQ,100378,4.3,2009-07-17 20:16:45.030,81.5,39.94,39.99,318.75,65.63,122.68,05-18-17
30.44,130.66,63.5,15.0,EQ,100443,4.9,2017-03-17 06:57:11.750,79.36,55.4,334.9,184.26,69.56,-142.7,05-18-17
