lat,lon,depth,unc,etype,mag,time,Paz,Ppl,Taz,Tpl,S1,D1,R1,S2,D2,R2,mlon,mlat,mdep,ID,src
-8.626,159.284,148.100,15.000,EQ,4.400,1997-09-12 02:48:32.380,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,111178,121817
-8.703,159.439,124.900,15.000,EQ,4.900,1999-11-07 21:13:08.920,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,111180,121817
-8.557,158.997,132.300,15.000,EQ,4.800,2010-01-03 00:27:59.690,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,116770,121817
-7.836,159.649,50.330,15.000,EQ,5.100,2017-05-12 05:39:00.060,15.427,17.467,197.187,72.526,285.849,62.468,90.568,104.619,27.537,88.910,159.560,-7.720,21.600,100198,121817
-8.270,159.151,153.850,15.000,EQ,4.400,2017-10-31 13:42:25.010,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102682,121817
-8.235,159.883,68.000,15.000,EQ,5.000,1980-06-18 04:54:03.600,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,107753,121817
-8.699,159.246,180.900,15.000,EQ,4.600,1982-07-18 15:20:52.650,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,107754,121817
-8.243,159.305,83.300,15.000,EQ,4.600,1986-07-30 20:24:38.630,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,107755,121817
-8.654,159.103,170.900,15.000,EQ,4.800,1986-11-06 15:17:14.220,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,107756,121817
-8.613,159.142,83.700,15.000,EQ,5.100,2009-08-03 01:31:01.370,40.423,39.139,305.206,6.375,75.122,58.342,334.399,179.238,68.420,-145.639,159.860,-8.420,77.700,101869,121817
-8.576,159.833,49.200,15.000,EQ,5.500,1994-12-05 16:20:09.360,1.314,63.132,178.730,26.844,89.599,71.852,271.096,266.084,18.180,-93.339,160.100,-8.490,50.900,100974,121817
-8.292,159.277,107.550,15.000,EQ,4.300,2016-11-11 18:14:57.710,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,105071,121817
-8.162,159.932,53.980,15.000,EQ,4.400,2017-05-07 10:31:24.950,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,105072,121817
-8.502,159.037,116.620,15.000,EQ,4.200,2017-07-22 18:30:22.380,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,105074,121817
-8.417,160.048,9.820,15.000,EQ,4.400,2016-04-12 19:45:22.880,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,105075,121817
-8.564,159.477,83.900,15.000,EQ,3.900,2007-06-11 02:20:17.530,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,114558,121817
-7.753,159.623,37.280,15.000,EQ,4.900,2017-09-22 23:25:47.420,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102646,121817
-8.389,159.403,59.300,15.000,EQ,3.900,2005-08-07 19:28:32.160,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,114555,121817
-8.365,159.564,47.400,15.000,EQ,3.800,2006-10-01 14:08:16.090,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,114556,121817
-8.808,159.345,162.400,15.000,EQ,4.600,2006-11-28 16:22:20.580,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,114557,121817
-8.728,159.108,140.800,15.000,EQ,4.900,2015-04-06 07:52:53.600,225.873,2.110,131.265,65.364,157.788,51.924,121.835,292.595,48.028,56.048,159.230,-8.710,150.500,102398,121817
-8.647,159.555,98.300,15.000,EQ,4.100,2007-09-16 06:27:45.680,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,114559,121817
