lon,lat,depth,strike,dip
126.2,-2.1500000000000004,-19.847347,21.312551,24.594208
126.25,-2.1500000000000004,-22.124472,22.916426,23.240837
126.3,-2.1500000000000004,-24.242373,24.078531,22.109243
126.35000000000001,-2.1500000000000004,-26.245575,24.628742,21.291454
126.4,-2.1500000000000004,-28.178602,24.524288,20.80217
126.45,-2.1500000000000004,-30.08598,23.786478,20.65914
126.5,-2.1500000000000004,-32.012234,22.50849,20.88137
126.55,-2.1500000000000004,-34.001884,20.845701,21.485249
126.60000000000001,-2.1500000000000004,-36.099457,18.987545,22.479591
126.65,-2.1500000000000004,-38.34948,17.470427,23.449142
126.7,-2.1500000000000004,-40.696693,16.871439,23.554188
126.75,-2.1500000000000004,-42.98477,16.576399,23.200321
126.8,-2.1500000000000004,-45.2611,15.890795,23.264824
126.85000000000001,-2.1500000000000004,-47.579357,14.87395,23.780857
126.9,-2.1500000000000004,-49.99322,13.643862,24.746656
126.95,-2.1500000000000004,-52.556366,12.329689,26.14893
127.0,-2.1500000000000004,-55.32248,11.046302,27.960707
127.05,-2.1500000000000004,-58.345234,9.878576,30.140749
127.10000000000001,-2.1500000000000004,-61.67831,8.879557,32.62807
127.15,-2.1500000000000004,-65.37354,8.15137,35.086243
127.2,-2.1500000000000004,-69.40453,7.7221704,37.176556
127.25,-2.1500000000000004,-73.7238,7.503452,38.93599
127.3,-2.1500000000000004,-78.30478,7.4248786,40.46048
127.35000000000001,-2.1500000000000004,-83.12093,7.4522004,41.77199
127.4,-2.1500000000000004,-88.14571,7.5608873,42.88956
127.45,-2.1500000000000004,-93.35256,7.7324405,43.82945
127.5,-2.1500000000000004,-98.71493,7.9528065,44.605232
127.55,-2.1500000000000004,-104.20627,8.210795,45.227886
127.60000000000001,-2.1500000000000004,-109.80003,8.467893,45.804745
127.65,-2.1500000000000004,-115.50945,8.611788,46.71535
127.7,-2.1500000000000004,-121.46425,8.711387,47.83993
127.75,-2.1500000000000004,-127.638985,8.883628,48.768044
127.8,-2.1500000000000004,-133.99008,9.127558,49.478374
127.85,-2.1500000000000004,-140.47395,9.433209,49.98753
127.9,-2.1500000000000004,-147.04703,9.793793,50.307144
127.95,-2.1500000000000004,-153.66573,10.205326,50.444305
128.0,-2.1500000000000004,-160.28647,10.665525,50.401913
128.05,-2.1500000000000004,-166.86569,11.174332,50.17866
128.1,-2.1500000000000004,-173.35979,11.654202,49.95787
128.15,-2.1500000000000004,-179.81514,12.017353,49.97769
128.2,-2.1500000000000004,-186.30113,12.323021,50.123775
128.25,-2.1500000000000004,-192.80873,12.635605,50.2318
128.3,-2.1500000000000004,-199.32889,12.950449,50.301758
128.35,-2.1500000000000004,-205.8526,13.26306,50.333275
128.4,-2.1500000000000004,-212.37079,13.569039,50.32579
128.45,-2.1500000000000004,-218.87444,13.863863,50.27858
128.5,-2.1500000000000004,-225.35449,14.14302,50.190613
128.55,-2.1500000000000004,-231.80194,14.395588,50.072323
128.6,-2.1500000000000004,-238.21344,14.560284,50.028454
128.65,-2.1500000000000004,-244.63138,14.6309595,50.065075
128.7,-2.1500000000000004,-251.05542,14.673433,50.067726
128.75,-2.1500000000000004,-257.47208,14.708382,50.01016
128.8,-2.1500000000000004,-263.8679,14.742102,49.892666
128.85,-2.1500000000000004,-270.22934,14.78059,49.71525
128.9,-2.1500000000000004,-276.54303,14.830454,49.47735
