lon,lat,depth,strike,dip,id,alen,blen,clen,slen,dlen
126.6,1.6,9.897653579711914,12.030183792114258,13.556224822998047,126616.0,100.0,20.0,100.0,0.0,0.0
126.8,1.6,13.887479782104492,21.002944946289062,6.834991931915283,126816.0,100.0,20.0,100.0,0.0,0.0
126.6,1.8,8.718559265136719,12.532525062561035,14.526972770690918,126618.0,100.0,20.0,100.0,0.0,0.0
126.8,1.8,12.907546043395996,21.487157821655273,7.047247886657715,126818.0,100.0,20.0,100.0,0.0,0.0
126.8,2.0,11.872513771057129,20.43819808959961,7.733000755310059,126820.0,100.0,20.0,100.0,0.0,0.0
126.8,2.2,10.79635238647461,18.258235931396484,9.040413856506348,126822.0,100.0,20.0,100.0,0.0,0.0
126.8,2.4,9.637639999389648,17.099884033203125,10.56507682800293,126824.0,100.0,20.0,100.0,0.0,0.0
126.8,2.6,8.352433204650879,16.70114517211914,11.87639045715332,126826.0,100.0,20.0,100.0,0.0,0.0
126.2,-1.6,14.875948905944824,351.7436828613281,19.261486053466797,1262016.0,56.0,20.0,100.0,0.0,0.0
125.8,-1.4,0.47748857736587524,333.0224914550781,23.186294555664062,1258014.0,45.0,20.0,100.0,0.0,0.0
126.0,-1.4,9.322845458984375,339.307373046875,22.665945053100586,1260014.0,76.0,20.0,100.0,0.0,0.0
126.2,-1.4,16.97942543029785,337.5710754394531,16.590282440185547,1262014.0,100.0,20.0,100.0,0.0,0.0
126.4,-1.4,21.693523406982422,350.2957763671875,10.242854118347168,1264014.0,56.0,20.0,100.0,0.0,0.0
125.8,-1.2,3.813725709915161,346.4221496582031,16.961181640625,1258012.0,20.0,20.0,100.0,0.0,0.0
126.0,-1.2,11.920494079589844,351.32366943359375,21.168859481811523,1260012.0,100.0,20.0,100.0,0.0,0.0
126.2,-1.2,18.992841720581055,348.8489074707031,12.439001083374023,1262012.0,100.0,20.0,100.0,0.0,0.0
126.4,-1.2,22.13607406616211,3.3566243648529053,5.913212299346924,1264012.0,20.0,20.0,100.0,0.0,0.0
